N	2gram	Vinokur_Ku_1	UchenyiS
305	он не	2	1
306	явно преувеличивает	1	1
307	сказать что	1	1
308	только как	1	1
309	история литературы	2	1
310	и стилистики	1	1
311	одно из	2	1
312	в первую	4	1
313	не значит	1	1
314	он называет	1	1
315	и так	1	1
316	которых слово	1	1
317	случайно и	1	1
318	что еще	1	1
319	содержания и	1	1
320	в современном	1	1
321	не для	1	1
322	содержание и	5	1
323	в свое	2	1
324	есть наука	2	1
325	может служить	2	1
326	и лингвистической	1	1
327	но он	1	1
328	но что	1	1
329	само по	1	1
330	получают свое	1	1
331	мы можем	1	1
332	ее в	2	1
333	и делает	1	1
334	и свое	1	1
335	а это	3	1
336	не имеется	1	1
337	невозможна без	1	1
338	к проблемам	1	1
339	к этому	1	1
340	что в	17	1
341	в таком	3	1
342	все что	1	1
