N	2gram	Berdyaev_O_1	Analitik
172	открывается в	1	1
173	перед ним	1	1
174	всей мировой	1	1
175	учение о	2	1
176	имею в	1	1
177	самим собой	1	1
178	стремится к	1	1
179	речь о	1	1
180	но еще	1	1
181	вовсе не	1	1
182	ведет к	1	1
183	оба они	1	1
184	бы он	1	1
185	так для	1	1
186	на то	1	1
187	к преступлению	1	1
188	он равно	1	1
189	одно из	2	1
190	действующие лица	1	1
191	есть лишь	4	1
192	в самую	4	1
193	свобода и	2	1
194	у него	22	1
195	бы ни	1	1
196	личность и	1	1
197	цели и	1	1
198	его и	1	1
199	хотя бы	3	1
200	с ним	3	1
201	они в	1	1
202	был еще	2	1
203	так что	2	1
204	человека с	1	1
205	отличается в	1	1
206	та же	1	1
207	от него	7	1
208	в голову	1	1
209	в своей	2	1
210	места в	1	1
211	его мысли	4	1
212	лишь после	1	1
213	лишь один	1	1
214	что было	1	1
215	он сам	4	1
216	человеческих отношений	4	1
217	и всех	1	1
218	там и	1	1
219	из противоречий	1	1
220	самом начале	1	1
221	жизни в	2	1
222	о судьбе	1	1
223	у кого	2	1
224	свободы и	2	1
225	а именно	1	1
226	еще больше	1	1
227	обиженным и	1	1
228	отношение к	5	1
229	того что	3	1
230	и формы	1	1
231	в другом	2	1
232	к чему	1	1
233	особенно в	1	1
234	на самом	1	1
235	со всей	1	1
236	не имеют	1	1
237	и о	2	1
238	и мир	1	1
239	против собственной	1	1
240	в новые	1	1
241	мысли и	3	1
242	русский человек	4	1
243	и каждый	1	1
244	в уста	2	1
245	потому что	9	1
246	вот о	1	1
247	ее в	2	1
248	у нас	1	1
249	нет никакой	1	1
250	только одно	3	1
251	человека и	10	1
252	к его	1	1
253	любви и	1	1
254	того чтобы	4	1
255	своей жизни	2	1
256	что у	2	1
257	связана с	1	1
258	ведь это	2	1
259	и остроте	1	1
260	как достоевский	1	1
261	в силу	1	1
262	мир и	1	1
263	не все	2	1
264	к этой	2	1
265	а ее	1	1
266	для того	3	1
267	и есть	3	1
268	отрешиться от	1	1
269	в истории	2	1
270	должно быть	2	1
271	а с	1	1
272	он был	8	1
273	и был	1	1
274	это было	3	1
275	кто бы	1	1
276	человеческом сердце	2	1
277	из самых	1	1
278	с ними	1	1
279	типа есть	1	1
280	человека как	1	1
281	стороны с	1	1
282	сам по	1	1
283	ни у	2	1
284	этом мире	2	1
285	к другому	1	1
286	будто бы	1	1
287	мире это	1	1
288	чем у	1	1
289	открытие и	1	1
290	само по	1	1
291	сердце его	1	1
292	смерть и	1	1
293	не могут	3	1
294	которых в	1	1
295	к счастью	1	1
296	всех героев	1	1
297	а потому	1	1
298	от свободы	1	1
299	как у	1	1
300	в своих	3	1
301	и никогда	2	1
302	в записках	3	1
303	в сферу	1	1
304	остаются на	1	1
305	на периферии	2	1
306	одном из	1	1
307	ни был	1	1
308	отметить что	1	1
309	своей и	1	1
310	на этот	1	1
311	он во	1	1
312	внутренней свободы	1	1
313	он выступает	1	1
314	и до	1	1
315	и дело	1	1
316	б это	1	1
317	в свободе	3	1
318	силе и	1	1
319	природе своей	1	1
320	но от	1	1
321	все основные	1	1
322	в самой	9	1
323	заключается в	1	1
324	как будто	1	1
325	все еще	2	1
326	влюблен в	1	1
327	он любил	1	1
328	человека в	11	1
329	если бы	1	1
330	что во	1	1
331	и тогда	1	1
332	все что	3	1
333	к богу	1	1
334	но это	1	1
335	видел в	1	1
