N	2gram	Potebnia_M_1	Poddanst
368	и народной	1	1
369	что по	3	1
370	в г	2	1
371	другой стороны	5	1
372	духа а	1	1
373	только что	2	1
374	в естественных	2	1
375	и теперь	1	1
376	в этих	7	1
377	не одну	1	1
378	давно уже	1	1
379	в исторические	1	1
380	над ним	1	1
381	нет ничего	2	1
382	в каком	6	1
383	в психологии	1	1
384	в движении	2	1
385	отношением к	1	1
386	по одному	1	1
387	что все	3	1
388	этом не	1	1
389	в других	2	1
390	единства в	1	1
391	мыслей к	1	1
392	что оно	2	1
393	к сожалению	1	1
394	к этой	3	1
395	и другие	1	1
396	не есть	10	1
397	вместе с	8	1
398	что от	1	1
399	что при	5	1
400	во всяком	3	1
401	они не	1	1
402	из чего	1	1
