N	2gram	Medvedev_F_1	Problema
196	как момент	1	3
197	то ни	3	3
198	в мире	4	3
199	а как	2	3
200	с другими	4	3
201	может стать	1	3
202	и тем	1	3
203	в слове	1	3
204	несмотря на	1	3
205	том что	1	3
206	искусства не	2	3
207	почти совершенно	2	3
208	тем не	1	3
209	на него	2	3
210	как его	1	3
211	в противном	1	3
212	же время	8	3
213	не выходя	1	3
214	все то	1	3
215	слова но	1	3
216	действительностью познания	1	3
217	в применении	2	3
218	и это	2	3
219	хотя и	1	3
220	и от	7	3
221	приводит к	2	3
222	дано в	1	3
223	ясно что	3	3
224	если бы	4	3
225	но здесь	1	3
226	искусства и	5	3
227	и должно	2	3
228	к действительности	2	3
229	и содержание	2	3
230	на ее	1	3
231	творчества в	1	3
232	на почве	13	3
233	содержания но	1	3
234	этом смысле	1	3
235	одной из	2	3
236	мы увидим	4	3
237	с одной	4	3
238	со всеми	3	3
239	и должна	2	3
240	к произведению	1	3
241	как такового	2	3
242	с действительностью	1	3
243	своеобразии и	1	3
244	и даже	3	3
245	бытия в	3	3
246	оно не	4	3
247	одной стороны	4	3
248	есть лишь	2	3
249	его как	3	3
250	на фоне	3	3
251	применении к	2	3
252	и на	8	3
253	но это	3	3
254	все это	9	3
255	не является	1	3
256	за его	1	3
257	культуры и	3	3
258	об искусстве	3	3
259	и все	6	3
260	ни было	2	3
261	строго различать	1	3
262	не знает	1	3
263	должно строго	1	3
264	они не	3	3
265	смысле слова	1	2
266	произведения но	1	2
267	можно говорить	1	2
268	научное значение	1	2
269	в эстетике	2	2
270	он может	1	2
271	и есть	1	2
272	так при	1	2
273	в котором	1	2
274	содержание художественного	1	2
275	его не	2	2
276	со всех	1	2
277	и значение	1	2
278	не во	1	2
279	единство и	2	2
280	это отношение	1	2
281	всех сторон	1	2
282	в чем	1	2
283	с его	4	2
284	художник и	1	2
285	а только	2	2
286	и закономерности	3	2
287	художественных произведений	4	2
288	или иное	1	2
289	в истории	4	2
290	состав содержания	1	2
291	дело идет	3	2
292	как к	3	2
293	себе не	1	2
294	содержание не	1	2
295	вчувствования и	1	2
296	нами в	1	2
297	и те	2	2
298	на то	1	2
299	не следует	1	2
300	быть поняты	2	2
301	оно было	2	2
302	изобразительных искусствах	1	2
303	он должен	3	2
304	понятий и	1	2
305	на этом	1	2
306	всех своих	1	2
307	в каждом	3	2
308	материала и	3	2
309	входя в	1	2
310	лишь в	8	2
311	и других	3	2
312	искусства в	4	2
313	действительности в	2	2
314	и своеобразие	1	2
315	место и	1	2
316	переходим к	1	2
317	строгом смысле	2	2
318	и этической	1	2
319	как таковой	6	2
320	отнесено к	1	2
321	совершенно независимо	1	2
322	и художественно	1	2
323	своих моментах	1	2
324	нему и	1	2
325	и более	2	2
326	войти в	2	2
327	и вся	1	2
328	задачи и	4	2
329	раз и	2	2
330	она не	6	2
331	произведения это	2	2
332	вне ее	3	2
333	одна из	2	2
334	в изобразительных	1	2
335	и отдельных	1	2
336	того чтобы	1	2
337	в самой	2	2
338	положение вещей	1	2
339	познание не	1	2
340	во всем	2	2
341	а лишь	2	2
342	связи с	3	2
343	этом отношении	1	2
344	содержания как	2	2
345	у нас	5	2
346	не могут	1	2
347	есть только	1	2
348	отличается от	3	2
349	анализа и	1	2
350	что оно	1	2
351	а ее	1	2
352	в работах	1	2
353	должен быть	5	2
354	поэзии язык	1	2
355	только при	1	2
356	особенно в	3	2
357	здесь нет	1	2
358	его разновидностях	1	2
359	является конечно	2	2
360	движения и	1	2
361	и здесь	6	2
362	становится только	1	2
363	в другом	1	2
364	другими словами	1	2
365	и что	2	2
366	как чисто	1	2
367	другими областями	2	2
368	от них	1	2
369	и во	1	2
370	нем и	2	2
371	в лучшем	3	2
372	в него	2	2
373	мир в	1	2
374	того что	5	2
375	в современной	1	2
376	предмета и	1	2
377	материалу к	1	2
378	в двух	1	2
379	художественного восприятия	2	2
380	что он	3	2
381	и ее	10	2
382	себя в	1	2
383	не можем	2	2
384	в виде	1	2
385	должно иметь	1	2
386	не дает	2	2
387	с единством	1	2
388	что содержание	2	2
389	таком положении	2	2
390	что и	2	2
391	вовсе не	10	2
392	произведения и	8	2
393	лишь для	2	2
394	в особенности	3	2
395	нашем примере	1	2
396	или иной	1	2
397	здесь в	2	2
398	характерно для	1	2
399	служебной роли	1	2
400	и пр	17	2
401	не было	3	2
402	русский формальный	2	2
403	о художественном	1	2
404	но лишь	1	2
405	в россии	3	2
406	в связи	4	2
407	в частности	4	2
408	как это	6	2
409	в строгом	2	2
410	подхода к	2	2
411	из которых	1	2
412	к своему	1	2
413	нет а	1	2
414	лингвистики и	1	2
415	деятельность не	1	2
416	и смысла	1	2
417	по существу	2	2
418	зрения самого	1	2
419	своего содержания	1	2
420	можно сказать	1	2
421	лучшем случае	3	2
422	того или	2	2
423	этой науки	2	2
424	основных понятий	1	2
425	форм и	6	2
426	искусства как	2	2
427	или в	1	2
428	ни к	1	2
429	в этих	1	2
430	от ее	1	2
431	в свою	8	2
432	о сущности	1	2
433	лишь что	1	2
434	была бы	2	2
435	материал и	1	2
436	к его	1	2
437	или иного	3	2
438	его пределы	1	2
439	творчестве не	1	2
440	и другие	1	2
441	в своих	2	2
442	по поводу	1	2
443	и эта	1	2
444	к этому	1	2
445	это формы	1	1
446	а между	1	1
447	и методы	2	1
448	для построения	1	1
449	правильная постановка	1	1
450	понимания своеобразия	1	1
451	является изучение	1	1
452	тех же	2	1
453	других областей	1	1
454	это и	3	1
455	не через	1	1
456	с природой	1	1
457	и принципиально	1	1
458	чего не	1	1
459	в первом	1	1
460	из его	1	1
461	в нашу	1	1
462	все те	1	1
463	психике художника	1	1
464	задание может	1	1
465	который в	1	1
466	бы уже	1	1
467	иное познавательное	1	1
468	связан с	1	1
469	последовательностью и	1	1
470	мир не	1	1
471	вопрос о	2	1
472	ее своеобразие	1	1
473	нам в	1	1
474	в основных	1	1
475	в искусствоведении	3	1
476	во внутреннем	1	1
477	почти все	1	1
478	на себя	1	1
479	осуществляется только	1	1
480	с ее	7	1
481	жизни как	1	1
482	бы ни	5	1
483	в соотнесении	1	1
484	целого в	1	1
485	искусства есть	1	1
486	в каждой	1	1
487	организации произведения	1	1
488	не чуждо	1	1
489	ней как	1	1
490	основных чертах	1	1
491	время в	3	1
492	является таким	1	1
493	роман и	2	1
494	основанного на	1	1
495	и осмысленного	1	1
496	как таковая	1	1
497	по своему	1	1
498	во внешнем	2	1
499	и всего	1	1
500	что никаких	1	1
501	культуре как	1	1
502	ее чисто	1	1
503	в противовес	2	1
504	из художественного	1	1
505	значение и	3	1
506	в общем	3	1
507	своих последних	1	1
508	только путем	1	1
509	идет о	2	1
510	и выражения	1	1
511	своем творчестве	1	1
512	стороны и	4	1
513	общего определения	1	1
514	более и	2	1
515	ней в	1	1
516	все остальные	1	1
517	и этическую	1	1
518	понять и	1	1
519	мы назовем	1	1
520	целый ряд	3	1
521	мы различаем	1	1
522	определения его	1	1
523	эту проблему	2	1
524	ей чуждыми	1	1
525	как таковое	2	1
526	материалом и	2	1
527	есть ли	1	1
528	одного материала	1	1
529	психологии и	1	1
530	то в	1	1
531	ее целом	3	1
532	от чего	2	1
533	не приходится	2	1
534	бы и	1	1
535	в литературном	2	1
536	ни один	1	1
537	литературы они	1	1
538	формы оно	1	1
539	в этой	6	1
540	возможности от	1	1
541	но он	1	1
542	чуждыми этой	1	1
543	но ведь	2	1
544	научном произведении	1	1
545	как он	1	1
546	если он	3	1
547	и эстетика	1	1
548	направлено на	1	1
549	не могла	2	1
550	а вовсе	2	1
551	и если	2	1
552	соотнесении с	1	1
553	к искусству	1	1
554	как оно	1	1
555	формальным методом	2	1
556	быть соотнесено	1	1
557	основные положения	1	1
558	т д	8	1
559	единство в	2	1
560	они в	1	1
561	всех этих	3	1
562	нее и	1	1
563	и социальной	1	1
564	в понимании	5	1
565	не как	4	1
566	и вот	2	1
567	широком смысле	1	1
568	ни были	2	1
569	понято в	1	1
570	целом а	1	1
571	конкретном единстве	3	1
572	его от	1	1
573	продуктивная разработка	1	1
574	так например	3	1
575	серьезность и	1	1
576	в нее	1	1
577	при правильном	1	1
578	которое как	1	1
579	определить и	1	1
580	от нее	2	1
581	что является	1	1
582	непосредственно а	1	1
583	подход к	2	1
584	могла бы	2	1
585	мыслью но	1	1
586	критики и	1	1
587	они должны	1	1
588	значение в	3	1
589	произведения с	1	1
590	и каковы	2	1
591	мы уже	1	1
592	поэтике в	1	1
593	все сплошь	2	1
594	бы быть	2	1
595	закономерностью но	1	1
596	материала к	1	1
597	из разновидностей	1	1
598	направления мы	1	1
599	без нее	1	1
600	ведь в	1	1
601	отсюда отнюдь	1	1
602	отражение в	2	1
603	моменты произведения	1	1
604	с конкретным	1	1
605	материальной организации	1	1
606	для них	1	1
607	он является	1	1
608	нет в	1	1
609	это положение	1	1
610	но вся	1	1
611	связями между	1	1
612	она и	1	1
613	ни одной	1	1
614	произведения или	1	1
615	разобранные нами	1	1
616	всеми другими	1	1
617	понята и	1	1
618	их взаимоотношения	1	1
619	этого не	1	1
620	с тем	2	1
621	сущности искусства	1	1
622	нами особенность	1	1
623	и техники	2	1
624	и уже	1	1
625	двух направлениях	1	1
626	формы от	1	1
627	действительно не	1	1
628	нисколько не	2	1
629	был бы	1	1
630	искусства может	1	1
631	которую он	1	1
632	творчестве если	1	1
633	места в	2	1
634	к задачам	2	1
635	при изучении	1	1
636	получается впечатление	1	1
637	можно найти	1	1
638	не становится	1	1
639	по сравнению	1	1
640	к предмету	1	1
641	к одному	1	1
642	как совокупность	1	1
643	необходимое и	1	1
644	бы мы	1	1
645	направлен на	1	1
646	творчества все	1	1
647	истолковать как	1	1
648	как одна	1	1
649	доброе или	1	1
650	этих моментов	1	1
651	налично как	1	1
652	философской эстетике	1	1
653	художественная деятельность	1	1
654	и эти	1	1
655	том и	1	1
656	не должно	1	1
657	важно лишь	1	1
658	отличии от	2	1
659	по себе	5	1
660	как проблема	4	1
661	связей с	2	1
662	тому что	1	1
663	на один	1	1
664	всех их	1	1
665	какие бы	2	1
666	оно занимает	1	1
667	начинает проникать	2	1
668	и какие	1	1
669	содержание произведения	1	1
670	человека но	1	1
671	иной раз	1	1
672	на эстетику	1	1
673	в художественное	2	1
674	виду что	2	1
675	но для	3	1
676	как о	4	1
677	здесь лишь	2	1
678	мышления и	1	1
679	правда в	1	1
680	здесь на	1	1
681	и снова	1	1
682	та или	1	1
683	науку о	2	1
684	следовательно и	2	1
685	что язык	1	1
686	и всегда	1	1
687	и без	1	1
688	под этим	1	1
689	место во	1	1
690	всего и	1	1
691	и лишь	2	1
692	отрицательное отношение	1	1
693	или иная	1	1
694	во всей	2	1
695	и ценности	1	1
696	правда это	2	1
697	и является	2	1
698	мире и	1	1
699	сознанием и	1	1
700	нам важно	2	1
701	самой художественной	3	1
702	своеобразие не	1	1
703	в сознании	1	1
704	в процессе	9	1
705	уже и	1	1
706	однако это	1	1
707	и со	2	1
708	его отличии	1	1
709	и этически	1	1
710	от их	2	1
711	и нисколько	1	1
712	своеобразии так	1	1
713	уже о	1	1
714	данного произведения	2	1
715	и эстетическими	1	1
716	и этические	1	1
717	самостоятельности и	1	1
718	словесных произведений	1	1
719	по возможности	1	1
720	его с	2	1
721	произведения которое	1	1
722	и организуются	1	1
723	даже и	2	1
724	к утверждению	1	1
725	своем целом	2	1
726	его значение	1	1
727	поэзии как	1	1
728	формы содержанию	1	1
729	поэтического языка	1	1
730	произведений в	2	1
731	рассмотрения и	1	1
732	в беспредметных	1	1
733	метода но	1	1
734	отвлеченный от	1	1
735	зрения любой	1	1
736	свою очередь	6	1
737	связи со	3	1
738	говоря уже	1	1
739	всего этого	2	1
740	задания в	1	1
741	ни стало	2	1
742	методологического значения	1	1
743	языка и	1	1
744	характер и	1	1
745	если в	1	1
746	исторической жизни	1	1
747	или для	2	1
748	эстетику и	1	1
749	мы наблюдаем	1	1
750	и иные	1	1
751	однако эта	1	1
752	разработка истории	1	1
753	стремиться к	1	1
754	выражения и	1	1
755	как с	2	1
756	что у	1	1
757	по аналогии	3	1
758	на нее	2	1
759	поэзии со	1	1
760	было в	1	1
761	мог бы	1	1
762	произведения не	1	1
763	осуществляется в	1	1
764	глубоко и	2	1
765	искусства или	1	1
766	в научном	1	1
767	в одном	2	1
768	не были	1	1
769	вещь как	1	1
770	что дело	1	1
771	нет она	1	1
772	своеобразие и	3	1
773	которое оно	1	1
774	с предшествующим	1	1
775	даны в	1	1
776	по теории	1	1
777	мире в	1	1
778	в содержании	7	1
779	смысле и	1	1
780	поэтики на	1	1
781	эта действительность	1	1
782	о ней	1	1
783	их чисто	1	1
784	часто и	2	1
785	но необходимо	1	1
786	его художественной	3	1
787	нашей работы	3	1
788	настоящее время	10	1
789	как наиболее	1	1
790	направлений и	1	1
791	для нас	1	1
792	самой литературе	1	1
793	а также	1	1
794	художник в	2	1
795	не выходит	2	1
796	произведение является	2	1
797	и своей	1	1
798	заведомо не	1	1
799	поэтики как	1	1
800	на отдельные	1	1
801	ее от	2	1
802	вся эта	1	1
803	уже чисто	1	1
804	познание и	2	1
805	в науку	1	1
806	целом ни	1	1
807	борьба с	3	1
808	оценка в	1	1
809	и взаимодействия	1	1
810	как художественное	1	1
811	резко отличается	1	1
812	что бы	5	1
813	чисто внешним	1	1
814	возможно лишь	1	1
815	в лингвистике	1	1
816	быть и	4	1
817	на которой	1	1
818	из единства	1	1
819	к которой	1	1
820	мышления о	1	1
821	устанавливает связи	1	1
822	отвлекаясь по	1	1
823	проникать собою	1	1
824	и действительно	1	1
825	его место	2	1
826	и иными	1	1
827	глубоко различны	2	1
828	и изнутри	3	1
829	живом и	1	1
830	в контексте	1	1
831	или же	3	1
832	между этими	1	1
833	систематическое единство	1	1
834	изнутри и	1	1
835	именно на	1	1
836	делая их	1	1
837	для всех	1	1
838	уже не	2	1
839	только на	5	1
840	и чисто	2	1
841	не исчерпывает	1	1
842	произведений необходимо	1	1
843	или даже	1	1
844	в душе	2	1
845	из них	1	1
846	его и	2	1
847	и понимание	1	1
848	глаза и	1	1
849	для него	3	1
850	научного произведения	1	1
851	самого слова	1	1
852	и навсегда	1	1
853	целом и	4	1
854	или научное	1	1
855	сами по	2	1
856	организма к	1	1
857	социологический метод	5	1
858	не для	3	1
859	таковы основные	1	1
860	с этими	1	1
861	не о	3	1
862	друг друга	4	1
863	если оно	1	1
864	но что	1	1
865	только с	1	1
866	принципиальной форме	1	1
867	о другой	2	1
868	явлений в	1	1
869	художник не	1	1
870	образом не	1	1
871	на их	2	1
872	бы тогда	1	1
873	формалистов и	2	1
874	именно как	12	1
875	выходит за	1	1
876	и изучены	1	1
877	до сих	6	1
878	непосредственно в	5	1
879	или иначе	2	1
880	именно в	8	1
881	а о	1	1
882	и нельзя	1	1
883	значения или	1	1
884	оно является	1	1
885	литературное произведение	10	1
886	движения в	1	1
887	предмет и	1	1
888	только что	1	1
889	связано с	1	1
890	самом же	1	1
891	смысла и	1	1
892	нужно сказать	1	1
893	а на	1	1
894	она является	2	1
895	первая задача	1	1
896	во что	2	1
897	до конца	7	1
898	различаем в	1	1
899	культуры как	1	1
900	от эстетики	2	1
901	служебный характер	1	1
902	так называемой	1	1
903	все время	2	1
904	одну из	1	1
905	чем на	1	1
906	идет вовсе	1	1
907	сходится с	1	1
908	для историка	1	1
909	лишь следующее	1	1
910	значительно и	1	1
911	художественного целого	2	1
912	нигде не	1	1
913	искусства то	1	1
914	к особенностям	1	1
915	он нужен	1	1
916	быть адекватно	1	1
917	его между	1	1
918	форма с	1	1
919	принципы и	1	1
920	художественное значение	1	1
921	вместе с	2	1
922	и труднее	1	1
923	так же	4	1
924	и особенно	2	1
925	подлежит конечно	1	1
926	его содержание	2	1
927	всей полноте	1	1
928	направление в	3	1
929	со всею	5	1
930	для искусства	1	1
931	сравнению с	1	1
932	она есть	2	1
933	в той	1	1
934	нашу задачу	1	1
935	смысле этого	3	1
936	и исторической	1	1
937	лишенным всякой	1	1
938	образ и	1	1
939	как целое	1	1
940	историка литературы	4	1
941	есть и	1	1
942	или хотя	1	1
943	в художественную	2	1
944	языка то	1	1
945	этого слова	3	1
946	эти два	1	1
947	искусствоведения в	1	1
948	аналогии с	3	1
949	соотнесено с	1	1
950	сих пор	6	1
951	словом в	1	1
952	этого метода	1	1
953	истории того	1	1
954	конкретным миром	1	1
955	формы основное	1	1
956	в смысле	1	1
957	о мире	2	1
958	к вопросу	1	1
959	это уже	1	1
960	искусства это	1	1
961	живет и	1	1
962	как материал	1	1
963	и может	4	1
964	к тому	3	1
965	и изоляция	1	1
966	что делает	1	1
967	не подлежит	1	1
968	этом его	1	1
969	в результате	2	1
970	мира и	1	1
971	в настоящее	10	1
972	философского мировоззрения	2	1
973	может войти	2	1
974	перестать быть	1	1
975	ее и	1	1
976	этой действительности	1	1
977	понят и	1	1
978	и неясности	1	1
979	бы в	3	1
980	еще более	1	1
981	и смысл	1	1
982	с понятием	1	1
983	важнейших проблем	1	1
984	произведения можно	1	1
985	же деле	1	1
986	в мифе	1	1
987	разных сторон	1	1
988	но чисто	1	1
989	отношении к	2	1
990	тенденцией к	1	1
991	жизни в	2	1
992	значения в	1	1
993	но эта	2	1
994	не говоря	1	1
995	отношением к	1	1
996	в материальной	1	1
997	материала как	2	1
998	искусстве дело	1	1
999	входящая в	2	1
1000	но критика	1	1
1001	большое значение	1	1
1002	хотя здесь	1	1
1003	жизни а	1	1
1004	из этого	1	1
1005	формы его	1	1
1006	природы или	2	1
1007	искусства является	1	1
1008	свое своеобразие	1	1
1009	изобразительных искусств	3	1
1010	в которой	4	1
1011	в действительности	2	1
1012	к чисто	1	1
1013	жизни и	7	1
1014	к этой	4	1
1015	особенно отчетливо	1	1
1016	поэтики в	1	1
1017	предполагает уже	2	1
1018	это в	1	1
1019	это понятие	1	1
1020	форма должна	1	1
