N	2gram	Nazirov_Tv_2	SlovoVZh
233	самый принцип	1	1
234	русской литературе	1	1
235	к которой	1	1
236	сознания не	1	1
237	конечном счете	1	1
238	менее всего	1	1
239	крайней мере	2	1
240	непосредственно в	1	1
241	что они	4	1
242	именно в	6	1
243	стал бы	1	1
244	нем и	1	1
245	и она	1	1
246	в одной	3	1
247	в лице	4	1
248	и мир	1	1
249	не зная	1	1
250	второй план	1	1
251	в современной	1	1
252	поле зрения	1	1
253	перед нами	1	1
254	нас за	2	1
255	но тот	1	1
256	хотя и	4	1
257	тот же	1	1
258	ли он	1	1
259	себе не	1	1
260	как нечто	1	1
261	более глубокую	1	1
262	его место	1	1
263	можно в	1	1
264	по мнению	3	1
265	в обществе	1	1
266	отказывается от	2	1
267	что это	1	1
268	в целом	6	1
269	позиции автора	1	1
270	очень важным	2	1
271	не то	1	1
272	себя в	2	1
273	думать что	1	1
274	поэтов но	1	1
275	литературы в	1	1
276	не можем	1	1
277	во многих	2	1
278	в большинстве	1	1
279	героя с	2	1
280	в виде	2	1
281	бы подобна	1	1
282	что она	4	1
283	на этих	1	1
284	слова не	1	1
285	не из	1	1
286	или даже	2	1
287	при помощи	2	1
288	его и	2	1
289	и их	1	1
290	творчестве достоевского	4	1
291	всяком случае	2	1
292	лице ее	2	1
293	в одном	2	1
294	и вот	1	1
295	вовсе не	2	1
296	ничего общего	1	1
297	у нее	3	1
298	друг друга	2	1
299	как его	1	1
300	бытия и	1	1
301	у него	6	1
302	из нее	1	1
303	оценки этого	1	1
304	эта же	1	1
305	том же	2	1
306	включает и	2	1
307	и только	2	1
308	что все	1	1
309	этой задачи	2	1
310	в другом	1	1
311	или наконец	2	1
312	должно быть	1	1
313	входит в	1	1
314	и мы	3	1
315	было бы	1	1
316	к которому	2	1
317	и прежде	1	1
318	что для	1	1
319	основном его	1	1
320	для них	1	1
321	но уже	3	1
322	не было	2	1
323	рядом с	2	1
324	а с	3	1
325	это прежде	2	1
326	не знает	1	1
327	из подполья	6	1
328	в ее	2	1
329	читателя и	1	1
330	которой он	2	1
331	несмотря на	1	1
332	в субъект	1	1
333	же не	2	1
334	в истории	2	1
335	и тогда	2	1
336	остается в	1	1
337	но можно	1	1
338	себя на	2	1
339	мы видели	1	1
340	всего нужно	1	1
341	в идиоте	1	1
342	но если	2	1
343	в частности	2	1
344	то он	1	1
345	автора с	1	1
346	нас не	1	1
347	и без	2	1
348	это делает	1	1
349	только его	1	1
350	то есть	5	1
351	к одному	1	1
352	не могут	1	1
353	так мы	2	1
354	и независимо	1	1
355	что я	2	1
356	признать что	1	1
357	он будет	1	1
358	художественное восприятие	1	1
359	наряду с	7	1
360	является только	1	1
361	но эта	2	1
362	и отнюдь	1	1
363	сами по	1	1
364	по крайней	2	1
365	из этой	2	1
366	и относительно	1	1
367	произведения в	1	1
368	на ранних	2	1
369	с так	1	1
370	зрения и	1	1
371	по мере	1	1
372	между людьми	2	1
373	но прежде	2	1
374	только для	2	1
375	суждения о	1	1
376	в высшей	1	1
377	для определения	2	1
378	в обоих	1	1
379	самого начала	1	1
380	как о	2	1
381	в русской	2	1
382	она должна	1	1
383	осталось в	1	1
384	не является	3	1
385	в основе	2	1
386	находившихся в	1	1
387	он еще	2	1
388	чем не	1	1
389	его поэтических	1	1
390	человека для	1	1
391	такое понимание	1	1
392	в результате	1	1
393	человек и	1	1
394	же время	7	1
395	от него	1	1
396	к поэзии	1	1
397	человека или	1	1
398	еще более	1	1
399	не должен	1	1
400	поэт и	1	1
401	дана в	1	1
402	а лишь	1	1
403	же он	1	1
404	это человек	1	1
405	связи с	1	1
406	участие в	1	1
407	для анализа	2	1
408	в искусстве	2	1
409	здесь же	1	1
410	в свою	1	1
411	этого развития	1	1
412	это уже	2	1
413	быть понята	1	1
414	как будто	1	1
415	жизни в	3	1
416	и русских	1	1
417	в области	1	1
418	виде какой-нибудь	1	1
419	приближается к	1	1
420	может и	1	1
421	явно не	1	1
422	записок из	1	1
423	с ней	1	1
424	у нас	2	1
425	только как	1	1
426	самой своей	3	1
427	или иного	1	1
428	героя в	4	1
429	в окончательном	2	1
430	включает в	2	1
431	частности в	1	1
432	что оно	1	1
433	но эти	2	1
434	к другим	1	1
435	стороны искусства	1	1
436	в таком	3	1
437	во всяком	2	1
438	к тому	1	1
