N	2gram	Vinokur_St_3	Sovremen
191	без труда	2	1
192	эти качества	1	1
193	все его	1	1
194	быть в	1	1
195	же время	3	1
196	что его	2	1
197	это означало	1	1
198	его в	1	1
199	с его	3	1
200	во всех	2	1
201	пр но	1	1
202	данные которые	1	1
203	но не	2	1
204	к этому	3	1
205	которых в	1	1
206	мы будем	1	1
207	но как	2	1
208	точка зрения	4	1
209	если в	2	1
210	во втором	2	1
211	а потому	2	1
212	ним и	1	1
213	во всей	1	1
214	крайней мере	4	1
215	вообще и	1	1
216	этой группы	1	1
217	которая и	1	1
218	мы снова	1	1
219	все время	2	1
220	чем же	1	1
221	идет о	1	1
222	человека как	1	1
223	независимо от	5	1
224	опирается на	1	1
225	к которому	3	1
226	к нему	4	1
227	более и	2	1
228	известном смысле	1	1
229	один из	2	1
230	кроме того	3	1
231	одной из	2	1
232	ли он	1	1
233	только в	6	1
234	то он	2	1
235	он уже	1	1
236	до наших	1	1
237	в известном	1	1
238	остановиться на	1	1
239	всего необходимо	1	1
240	и тот	2	1
241	конечно не	1	1
242	да еще	1	1
243	и у	2	1
244	западной европе	1	1
245	в следующих	2	1
246	ни одного	1	1
247	в начале	4	1
248	и если	3	1
249	а это	1	1
250	в такого	1	1
251	в данной	1	1
252	он не	5	1
253	и еще	1	1
254	и их	1	1
255	по существу	1	1
256	вовсе не	2	1
257	как его	1	1
258	но что	1	1
259	не случайно	1	1
260	какой бы	1	1
261	одной и	1	1
262	жизни был	1	1
263	кто этот	1	1
264	в очень	1	1
265	это значит	1	1
266	не из	1	1
267	и только	2	1
268	а затем	1	1
269	из приведенных	1	1
270	и может	2	1
271	в другом	3	1
272	одной стороны	3	1
273	чем в	1	1
274	до сих	2	1
275	с другой	5	1
276	как у	1	1
277	нельзя сказать	3	1
278	именно в	1	1
279	по своим	1	1
280	сказать несколько	1	1
281	этом смысле	4	1
282	что один	1	1
283	должен был	2	1
284	такое же	2	1
285	на которые	1	1
286	его с	1	1
287	в ином	1	1
288	только одно	1	1
289	ни в	5	1
290	но уже	1	1
291	он начал	1	1
292	нет в	3	1
293	нужно сказать	2	1
294	не было	4	1
295	рядом с	1	1
296	для своего	1	1
297	этого не	1	1
298	несмотря на	3	1
299	жизни но	2	1
300	т.е он	1	1
301	должно быть	1	1
302	первое и	1	1
303	их на	1	1
304	в связи	3	1
305	том что	15	1
306	в эту	4	1
307	все более	2	1
308	том как	1	1
309	и при	1	1
310	сказать так	1	1
311	так же	1	1
312	в такой	2	1
313	означало бы	1	1
314	почти не	1	1
315	то его	1	1
316	xix века	4	1
317	и значит	1	1
318	в данном	1	1
319	последнее в	1	1
320	в течение	4	1
321	и той	1	1
322	не отнимает	1	1
323	совершенно иными	1	1
324	но эта	1	1
325	которые в	2	1
326	а потом	1	1
327	по крайней	4	1
328	и более	3	1
329	там где	1	1
330	по себе	1	1
331	xix в	1	1
332	в своем	1	1
333	как например	8	1
334	несколько слов	2	1
335	и нет	1	1
336	время из	1	1
337	другой такой	1	1
338	сих пор	2	1
339	но они	2	1
340	с ним	1	1
341	xviii века	1	1
342	что эта	2	1
343	и тогда	2	1
344	но для	1	1
345	свое время	1	1
346	говорить что	1	1
347	не имеет	2	1
348	например у	1	1
349	дело в	1	1
350	это уже	1	1
351	не является	3	1
352	он с	1	1
353	только не	1	1
354	вытекает из	1	1
355	никогда не	2	1
356	или в	2	1
357	и всегда	2	1
358	это совершенно	1	1
359	под углом	1	1
360	другое дело	3	1
361	это как	1	1
362	на язык	3	1
363	в отдельных	4	1
364	или нет	1	1
365	углом зрения	1	1
366	приводится по	1	1
367	все они	3	1
368	и его	3	1
369	связи с	3	1
370	ничто не	1	1
371	на такой	1	1
372	наших дней	1	1
373	но это	4	1
374	этой области	2	1
375	и из	1	1
376	а о	1	1
377	невозможно они	1	1
378	не знает	1	1
379	сказать что	4	1
380	и для	4	1
381	но можно	1	1
382	очень часто	1	1
383	в духе	2	1
384	в то	7	1
385	в свое	1	1
386	отметить что	5	1
387	в какой	3	1
388	назвать в	1	1
389	той или	1	1
390	в своих	8	1
391	и эта	1	1
392	два основных	1	1
393	на это	2	1
394	которая не	1	1
395	все что	1	1
396	они не	1	1
397	из многих	1	1
