N	2gram	Kanaev_Sov_1	Stilisti
414	мало для	1	1
415	зрения с	1	1
416	уже совершенно	1	1
417	из приведенных	1	1
418	с общим	2	1
419	мы это	1	1
420	до сих	1	1
421	с другой	1	1
422	здесь в	1	1
423	все равно	1	1
424	являются чистейшей	1	1
425	такое же	1	1
426	на этот	2	1
427	всего мы	1	1
428	на эту	1	1
429	не допускает	1	1
430	может иметь	2	1
431	в самый	1	1
432	бы ее	1	1
433	же делает	1	1
434	без помощи	1	1
435	тот факт	1	1
436	в нормальных	1	1
437	в течение	1	1
438	познакомиться с	1	1
439	возможность и	2	1
440	наконец мы	1	1
441	еще раз	1	1
442	благодаря этому	1	1
443	именно в	1	1
444	не будем	2	1
445	говорить что	1	1
446	является ли	1	1
447	это уже	1	1
448	указать на	1	1
449	всегда будет	1	1
450	в результате	6	1
451	другое дело	1	1
452	это как	1	1
453	что в	2	1
454	еще более	2	1
455	вполне достаточно	1	1
456	а о	1	1
457	но если	1	1
458	наконец не	2	1
459	может ведь	1	1
460	природы не	1	1
461	состоит из	3	1
462	своего предмета	2	1
463	совершенно не	2	1
464	происходящего в	1	1
465	отношению к	1	1
466	это и	1	1
467	только о	1	1
468	в действительности	1	1
469	просто не	1	1
470	двух частей	1	1
471	но еще	1	1
472	но каким	1	1
473	заключать в	1	1
474	в таком	2	1
475	все что	1	1
