N	2gram	Tiupa_Lite_2	Tragedij
276	связи с	1	1
277	не нужен	1	1
278	что на	1	1
279	в области	4	1
280	перед ним	2	1
281	это могло	1	1
282	по нашему	1	1
283	могут быть	2	1
284	насилия и	1	1
285	в недрах	1	1
286	и т.д	7	1
287	всего что	1	1
288	с образом	2	1
289	как мы	1	1
290	и о	1	1
291	того чтобы	1	1
292	стихах и	1	1
293	как система	1	1
294	в душу	1	1
295	человека с	1	1
296	эти строки	2	1
297	можно было	1	1
298	на нее	1	1
299	отождествляется с	1	1
300	в последующих	1	1
301	и глубоким	1	1
302	меня как	1	1
303	быть может	3	1
304	а по	1	1
305	это мне	1	1
306	себя а	1	1
307	вот почему	1	1
308	случае как	1	1
309	другие и	1	1
310	но мы	1	1
311	творческий процесс	1	1
312	после того	1	1
313	а также	2	1
314	от него	1	1
315	восходит к	2	1
316	мы вновь	1	1
317	я вижу	2	1
318	все время	1	1
319	общим местом	1	1
320	что вот	1	1
321	в жизнь	1	1
322	х годов	3	1
323	в литературе	1	1
324	того что	5	1
325	он есть	1	1
326	его собственная	1	1
327	в новой	1	1
328	он стал	1	1
329	во всем	1	1
330	в обществе	1	1
331	что ж	1	1
332	с одной	7	1
333	мировой революции	1	1
334	есть в	1	1
335	верует в	1	1
336	я я	2	1
337	только на	1	1
338	дело с	1	1
339	свидетельствует о	2	1
340	что писал	1	1
341	черты лица	1	1
342	него нет	1	1
343	одно из	2	1
344	сердце мое	1	1
345	могло бы	2	1
346	слова в	1	1
347	т п	2	1
348	чтобы она	1	1
349	его речь	1	1
350	не для	1	1
351	русский язык	1	1
352	жизни на	2	1
353	и мой	1	1
354	рядом с	1	1
355	в особенности	1	1
356	никого не	1	1
357	с другим	2	1
358	именно в	1	1
359	что не	2	1
360	только по	1	1
361	не было	2	1
362	и стал	1	1
363	в образах	2	1
364	нашему мнению	1	1
365	а не	20	1
366	именно так	1	1
367	этом случае	2	1
368	более чем	1	1
369	н толстой	1	1
370	о счастье	1	1
371	о себе	3	1
372	эти слова	1	1
373	вместе с	5	1
374	исходит от	1	1
375	и потому	1	1
376	создает и	1	1
377	над ним	2	1
378	наряду с	1	1
379	при которой	2	1
380	это его	2	1
381	он тот	1	1
382	с этой	2	1
383	и от	1	1
384	одна великолепная	1	1
385	из трех	1	1
386	годов в	1	1
387	не является	2	1
388	при таком	1	1
389	в результате	2	1
390	это как	2	1
391	а к	2	1
392	бы в	1	1
393	в целый	1	1
394	конце концов	1	1
395	хотя бы	2	1
396	что ты	2	1
397	я в	7	1
398	обстоит дело	1	1
399	в стихах	8	1
400	над собою	1	1
401	к ее	1	1
402	жизни в	4	1
403	к числу	1	1
404	с сыном	1	1
405	героя и	1	1
406	опять к	1	1
407	из тех	2	1
408	к женщине	1	1
409	ко всему	2	1
410	есть и	1	1
411	труда в	1	1
412	на груди	1	1
413	время он	1	1
414	к этой	2	1
415	разговоре с	2	1
416	и эта	1	1
