N	2gram	Nazirov_Tv_2	OGranits
266	другой так	1	1
267	сильнее и	2	1
268	только с	2	1
269	еще одну	1	1
270	и никогда	1	1
271	в чистую	1	1
272	отличие от	2	1
273	в изолированном	1	1
274	ни о	1	1
275	же не	2	1
276	черновых набросках	1	1
277	и здесь	1	1
278	его в	3	1
279	к которому	2	1
280	в предисловии	1	1
281	представляет собою	1	1
282	заключается в	1	1
283	в античной	3	1
284	ведь в	1	1
285	лежит в	1	1
286	для них	1	1
287	из нее	1	1
288	нужно сказать	1	1
289	не было	2	1
290	позиции в	1	1
291	которой он	2	1
292	как ни	1	1
293	все время	2	1
294	отнюдь не	4	1
295	должно быть	1	1
296	менее всего	1	1
297	все произведение	1	1
298	такой же	2	1
299	автора и	1	1
300	и тогда	2	1
301	если не	4	1
302	и некоторых	2	1
303	есть одно	1	1
304	но при	1	1
305	иметь характер	1	1
306	и вполне	1	1
307	связь с	2	1
308	но если	2	1
309	отчасти в	1	1
310	эти слова	1	1
311	нее как	1	1
312	и особенно	1	1
313	наконец даже	1	1
314	в такой	2	1
315	как это	1	1
316	однако этот	3	1
317	представление о	7	1
318	в отличие	2	1
319	в которых	3	1
320	мысли и	1	1
321	предисловии к	1	1
322	он говорит	1	1
323	здесь он	1	1
324	к этому	3	1
325	такого рода	1	1
326	и вот	1	1
327	и более	1	1
328	сквозь нее	1	1
329	их в	2	1
330	своего времени	1	1
331	где нет	2	1
332	иная но	1	1
333	в последнем	1	1
334	зрения и	1	1
335	этого слова	1	1
336	только то	1	1
337	тому что	1	1
338	себе я	1	1
339	в черновых	2	1
340	письма к	3	1
341	между людьми	2	1
342	вплоть до	1	1
343	но это	5	1
344	о значении	1	1
345	в начале	3	1
346	всего его	1	1
347	виду что	1	1
348	в то	10	1
349	как о	2	1
350	к другим	1	1
351	одна из	3	1
352	от матери	1	1
353	она ни	1	1
354	произведений и	1	1
355	форме в	1	1
356	объекта и	1	1
357	которой вообще	1	1
358	ее и	1	1
359	же время	7	1
360	в основе	2	1
361	находит свое	1	1
362	вообще в	1	1
363	от него	1	1
364	исследователя но	1	1
365	а лишь	1	1
366	говоря словами	1	1
367	потому что	7	1
368	связи с	1	1
369	для анализа	2	1
370	что вообще	1	1
371	его явления	1	1
372	быть понята	1	1
373	не вполне	1	1
374	об этом	4	1
375	не вводит	1	1
376	это все	2	1
377	и несколько	1	1
378	не знает	1	1
379	сказать что	1	1
380	видим у	1	1
381	он называет	1	1
382	но когда	1	1
383	метафоры и	1	1
384	во все	1	1
385	чрезвычайно ценные	1	1
386	ее восприятия	1	1
387	ли не	2	1
388	с его	1	1
389	воплощенная в	1	1
390	вместе с	3	1
391	например в	5	1
392	по поводу	1	1
