N	2gram	Trubetskoy_1	KFilosof
321	зависит от	2	1
322	ценностями но	1	1
323	на ее	1	1
324	так чтобы	3	1
325	только при	1	1
326	исходить из	1	1
327	когда оно	1	1
328	связь с	1	1
329	по количеству	1	1
330	на то	5	1
331	была бы	1	1
332	одного и	1	1
333	работая над	1	1
334	человеческой жизни	1	1
335	с ней	1	1
336	настоящее время	2	1
337	которых как	1	1
338	в большинстве	3	1
339	в заблуждение	2	1
340	в теоретически	1	1
341	быть признан	3	1
342	они будут	2	1
343	ним в	1	1
344	к такому	2	1
345	бы ни	2	1
346	же будет	1	1
347	а скорее	1	1
348	и теперь	1	1
349	и во	3	1
350	но мы	3	1
351	другом в	1	1
352	соображениям совершенно	1	1
353	другом случае	2	1
354	приходится признать	1	1
355	и сама	1	1
356	это в	2	1
357	то есть	1	1
358	всех остальных	1	1
359	это будет	1	1
360	бы признать	1	1
361	сказать только	1	1
362	об отдельных	1	1
363	случае когда	1	1
364	отказа от	1	1
365	об этом	1	1
366	между прочим	1	1
367	точке зрения	3	1
368	если он	1	1
369	ли окажется	1	1
370	и культуры	1	1
371	утверждение и	1	1
372	и культура	1	1
373	не можем	2	1
374	вся его	1	1
375	когда он	1	1
376	по своей	1	1
377	отдельного человека	1	1
378	смысле этого	1	1
379	ничем не	1	1
380	одной из	3	1
381	этого не	2	1
382	что ее	1	1
383	на чем	1	1
384	но только	1	1
385	как не	1	1
386	что может	3	1
387	превращается в	1	1
388	оказались бы	1	1
389	еще на	1	1
390	и от	2	1
391	бы для	2	1
392	культуры в	3	1
393	отношения к	2	1
394	этот выход	1	1
395	как понятие	1	1
396	следовательно и	2	1
397	которые как	1	1
398	по соображениям	2	1
399	целое как	1	1
400	являются лишь	1	1
401	к тому	7	1
402	и поскольку	1	1
403	к ней	1	1
404	и религии	1	1
405	значительной степени	1	1
406	и даже	2	1
407	глубоко различны	1	1
408	это отнюдь	1	1
409	она требует	1	1
410	в истинности	1	1
411	в этих	2	1
412	из которых	5	1
413	культурного творчества	1	1
414	на все	1	1
415	к такой	1	1
416	нет ибо	1	1
417	противоречие между	1	1
418	и к	6	1
419	подход к	1	1
420	и будет	1	1
421	сознании в	1	1
422	они не	1	1
423	по самому	2	1
424	противном случае	1	1
425	нас от	1	1
426	с ее	1	1
427	и живет	1	1
428	это положение	1	1
429	т.е как	1	1
430	освободиться от	1	1
431	ее в	2	1
432	с которым	1	1
433	на почве	2	1
434	любви к	2	1
435	и говорить	1	1
436	к его	1	1
437	своей жизни	1	1
438	не нужна	2	1
439	эта задача	1	1
440	говоря о	2	1
441	а за	1	1
442	входящего в	1	1
443	свою очередь	1	1
444	в противном	1	1
445	иной культурной	1	1
446	остается в	2	1
447	мы должны	7	1
448	и о	2	1
449	ее истинности	1	1
450	тем же	1	1
451	не за	1	1
452	а только	1	1
453	культуры с	2	1
454	в тон	1	1
455	один из	1	1
456	самому своему	2	1
457	в истории	1	1
458	всю свою	2	1
459	же и	1	1
460	при таком	1	1
461	от своего	1	1
462	всяком случае	6	1
463	совершенно посторонним	1	1
464	и таким	1	1
465	в противоречие	2	1
466	к признанию	1	1
467	их и	1	1
468	том случае	4	1
469	осуществить свою	1	1
470	видеть в	2	1
471	то все	1	1
472	любви и	1	1
473	что все	3	1
474	ту же	1	1
475	которая сама	1	1
476	и то-то	1	1
477	жизни при	1	1
478	собой и	3	1
479	как высшую	1	1
480	и начало	1	1
481	что эти	1	1
482	этим самым	1	1
483	это единственная	1	1
484	только не	1	1
485	одна из	3	1
486	мы уже	2	1
487	их не	2	1
488	значит иметь	1	1
489	права и	1	1
490	но из	1	1
491	согласиться с	2	1
492	в настоящее	2	1
493	том же	2	1
494	быть таким	1	1
495	подлежит сомнению	1	1
496	и рядом	1	1
497	противоречие с	2	1
498	показать что	1	1
499	этих случаях	1	1
500	прав на	1	1
501	в самом	3	1
502	только для	2	1
503	только к	3	1
504	эти положения	1	1
505	не для	1	1
506	такой же	1	1
507	оставаясь в	1	1
508	переходит в	1	1
509	причем все	1	1
510	возможно и	1	1
511	мы можем	2	1
512	есть общая	1	1
513	она и	1	1
514	лучшем случае	3	1
515	она не	2	1
516	не являются	1	1
517	этих разных	1	1
518	также и	1	1
519	более что	1	1
520	в данной	1	1
521	не просто	2	1
522	из всех	2	1
523	и оба	1	1
524	он принимает	1	1
525	с этим	2	1
526	за границей	1	1
527	несмотря на	3	1
528	их в	2	1
529	бы его	2	1
530	помнить что	2	1
531	в различных	1	1
532	от возможных	1	1
533	культурном творчестве	1	1
534	себя из	1	1
535	практически не	1	1
536	друг друга	3	1
537	для каждого	1	1
538	от них	1	1
539	здесь же	1	1
540	признать что	6	1
541	и кровью	1	1
542	столь же	1	1
543	не могло	1	1
544	все они	3	1
545	же самое	1	1
546	элементов из	1	1
547	здесь дело	1	1
548	в духе	1	1
549	не был	1	1
550	сознании и	1	1
551	все что	4	1
552	все равно	1	1
553	этот человек	2	1
554	всего в	1	1
555	прочим и	1	1
556	всего этого	1	1
557	не подлежит	2	1
558	не следует	1	1
559	они имеют	1	1
560	образом в	1	1
561	он должен	5	1
562	есть единственное	1	1
563	чем ближе	1	1
564	и должно	2	1
565	которых он	1	1
566	оно может	1	1
567	эту мысль	1	1
568	если мы	1	1
569	другим и	1	1
570	есть только	1	1
571	эта последняя	1	1
572	а во	1	1
573	так как	4	1
574	не является	1	1
575	только на	2	1
576	именно вследствие	1	1
577	остается только	1	1
578	он как	1	1
579	ее не	1	1
580	ни один	1	1
581	ни на	1	1
582	она может	3	1
583	быть совершено	1	1
584	есть проблема	1	1
585	в лучшем	3	1
586	мысль о	1	1
587	различны в	1	1
588	основе его	1	1
589	к единой	2	1
590	и по	3	1
591	мог бы	1	1
592	и теоретическая	1	1
593	данного человека	1	1
594	в зависимости	1	1
595	он будет	4	1
