N	2gram	Tiupa_Disk_2	EvropaiC
293	со стороны	10	1
294	мира в	3	1
295	первый взгляд	2	1
296	как в	8	1
297	однако не	1	1
298	перед нами	3	1
299	и как	3	1
300	что входит	1	1
301	в этот	1	1
302	себе как	1	1
303	ни одна	1	1
304	рассказ о	2	1
305	себе те	1	1
306	задний план	1	1
307	но именно	1	1
308	одному из	1	1
309	роли в	1	1
310	и еще	1	1
311	в принципе	2	1
312	к одному	1	1
313	смертью в	1	1
314	произведения в	1	1
315	одно и	2	1
316	различие между	1	1
317	входит в	2	1
318	лишь на	1	1
319	этот человек	2	1
320	она и	1	1
321	этого не	1	1
322	на друга	1	1
323	ряде других	1	1
324	искать в	1	1
325	в своей	6	1
326	нас не	1	1
327	как все	2	1
328	не к	2	1
329	жизни с	1	1
330	традиции все	1	1
331	строго говоря	1	1
332	и другого	2	1
333	как другие	1	1
334	и той	1	1
335	в опыте	1	1
336	состоит в	16	1
337	по крайней	1	1
338	их в	2	1
339	ставит себя	1	1
340	что этот	1	1
341	необходимо чтобы	1	1
342	случае мы	1	1
343	все три	1	1
344	самого начала	1	1
345	как о	1	1
346	я буду	1	1
347	к этим	1	1
348	отрешиться от	1	1
349	немцев и	1	1
350	та или	1	1
351	не имели	1	1
352	в общих	1	1
353	дело в	2	1
354	с остальными	1	1
355	с нами	1	1
356	таким путем	1	1
357	же остается	1	1
358	к ней	1	1
359	роковым образом	1	1
360	и его	3	1
361	со своим	2	1
362	дела как	1	1
363	именно такой	1	1
364	культуры где	1	1
365	уже о	1	1
366	начиная с	1	1
367	это по	1	1
368	и другой	1	1
369	не знаем	1	1
370	да и	1	1
371	только еще	1	1
372	числе и	1	1
373	живет и	1	1
374	частной жизни	2	1
375	т.е в	1	1
376	для себя	2	1
377	приходит к	1	1
378	но при	2	1
379	тоже весьма	1	1
380	говоря уже	1	1
381	здесь не	2	1
382	из главных	1	1
383	среде и	1	1
384	мысль о	3	1
385	с самого	1	1
386	так в	1	1
387	приводит к	3	1
388	роль в	4	1
389	в культуре	1	1
390	как с	1	1
391	вопрос этот	1	1
392	хранит в	1	1
393	можно только	1	1
394	не были	1	1
395	своей собственной	1	1
396	ничего не	1	1
397	или иной	3	1
398	другом месте	1	1
399	время в	2	1
400	никак не	1	1
401	поездки в	1	1
402	в значительной	1	1
403	или иная	1	1
404	от них	1	1
405	решающую роль	1	1
406	общих чертах	2	1
407	на одном	1	1
408	ним и	1	1
409	этом и	1	1
410	без которого	1	1
411	крайней мере	1	1
412	целого а	1	1
413	и следовательно	1	1
414	и всякое	2	1
415	заключающие в	1	1
416	но тут	1	1
417	в современной	1	1
418	один из	1	1
419	себя с	2	1
420	как сам	1	1
421	менее в	1	1
422	каждый момент	1	1
423	как нечто	1	1
424	к их	2	1
425	каждом шагу	1	1
426	позиции и	1	1
427	поэтому и	1	1
428	конец и	1	1
429	же большинство	1	1
430	согласно с	1	1
431	с которыми	1	1
432	в качестве	16	1
433	же и	1	1
434	для всех	1	1
435	может один	1	1
436	на всем	1	1
437	он усматривает	1	1
438	уже не	3	1
439	только на	1	1
440	распространенный но	1	1
441	время этого	1	1
442	и со	1	1
443	для меня	1	1
444	друг друга	1	1
445	не случайно	1	1
446	случае не	1	1
447	ценностей согласно	1	1
448	тем что	1	1
449	в других	1	1
450	следует признать	3	1
451	но из	1	1
452	были бы	1	1
453	из двух	3	1
454	как сильно	1	1
455	ней и	1	1
456	и даже	1	1
457	эти две	1	1
458	и между	1	1
459	еще и	1	1
460	и развития	1	1
461	к его	4	1
462	или о	1	1
463	с ней	2	1
464	точке зрения	1	1
465	а сам	2	1
466	до конца	1	1
467	а не	14	1
468	миром в	1	1
469	именно поэтому	1	1
470	параллель в	1	1
471	на новую	1	1
472	должна была	1	1
473	о возможности	1	1
474	ибо это	1	1
475	к жизни	3	1
476	укладу жизни	2	1
477	могут быть	3	1
478	а потом	2	1
479	общения с	1	1
480	человек с	1	1
481	жизни во	1	1
482	на пути	1	1
483	оба они	1	1
484	пока еще	2	1
485	всего в	1	1
486	ли в	1	1
487	чужой психики	1	1
488	еще более	1	1
489	будто бы	1	1
490	с ума	1	1
491	или не	1	1
492	в памяти	1	1
493	в равной	1	1
494	и непонятного	1	1
495	даже при	1	1
496	жизни в	3	1
497	не говоря	1	1
498	же будет	1	1
499	сказать что	1	1
500	не быть	1	1
501	жизни постоянно	1	1
502	что ни	2	1
503	с каждым	1	1
504	в голову	1	1
505	своих частей	1	1
506	ее в	1	1
507	в своих	6	1
508	том числе	1	1
