N	2gram	Propp_Russ_2	SlovoVZh
312	о чем	4	1
313	так называемый	1	1
314	на эту	2	1
315	этом основании	1	1
316	него не	1	1
317	в изучении	1	1
318	всех других	1	1
319	и тогда	1	1
320	ему но	1	1
321	остается в	1	1
322	близка к	1	1
323	но можно	2	1
324	для этой	3	1
325	и становится	1	1
326	не раскрывает	1	1
327	мы видели	7	1
328	или менее	1	1
329	это на	1	1
330	знают только	1	1
331	но если	3	1
332	на который	1	1
333	нас не	2	1
334	другая сторона	1	1
335	относятся к	1	1
336	она в	1	1
337	ненависть к	1	1
338	нашу задачу	1	1
339	но эта	1	1
340	которые в	1	1
341	моментов в	2	1
342	и должна	1	1
343	можно наблюдать	1	1
344	случае мы	1	1
345	на другое	1	1
346	в различные	1	1
347	в европейских	1	1
348	только для	1	1
349	и таким	1	1
350	в который	1	1
351	с которой	1	1
352	в противном	1	1
353	как о	1	1
354	в русской	1	1
355	в науке	1	1
356	не является	1	1
357	в основе	1	1
358	время как	1	1
359	того чтобы	6	1
360	в игру	1	1
361	примерно в	1	1
362	найти в	1	1
363	в коем	1	1
364	в качестве	3	1
365	от него	1	1
366	же степени	1	1
367	указывали что	1	1
368	тем более	1	1
369	мы должны	1	1
370	по своей	1	1
371	же он	1	1
372	связи с	2	1
373	можно только	1	1
374	в свою	1	1
375	как будто	1	1
376	этом отношении	1	1
377	жизни в	2	1
378	форма все	1	1
379	представлять себе	1	1
380	с ней	5	1
381	у нас	4	1
382	только как	2	1
383	они как	1	1
384	и оно	1	1
385	тем это	2	1
386	все то	2	1
387	когда мы	2	1
388	время не	1	1
389	же случае	1	1
390	и эта	1	1
391	в таком	4	1
392	во всяком	1	1
