N	2gram	Savitsky_P_1	KulturaY
154	с тем	3	2
155	как и	1	2
156	и еще	1	2
157	в отличие	1	2
158	в которых	5	2
159	и более	1	2
160	тем самым	3	2
161	в отношении	10	2
162	что эта	1	2
163	она не	1	2
164	всего что	1	2
165	когда в	1	2
166	по сравнению	2	2
167	в современной	1	2
168	тех пор	1	2
169	с ними	3	2
170	их не	1	2
171	с одной	3	2
172	большинстве случаев	1	2
173	при отсутствии	1	2
174	никогда не	1	2
175	в живом	1	2
176	но есть	1	2
177	в частности	2	2
178	ни на	1	2
179	представить себе	1	2
180	в иных	1	2
181	ли не	1	2
182	между прочим	2	2
183	о котором	1	2
184	чтобы понять	1	2
185	не более	1	2
186	мы должны	4	2
187	только как	1	2
188	темы и	1	2
189	к действию	1	2
190	это в	1	2
191	мысль и	1	2
192	с утверждением	1	1
193	и без	3	1
194	в сочетание	1	1
195	раньше в	1	1
196	в котором	4	1
197	смысл этого	1	1
198	и утверждается	1	1
199	есть не	2	1
200	мы не	3	1
201	есть нечто	2	1
202	выразилось в	1	1
203	почти исключительно	1	1
204	мы и	1	1
205	при сохранении	1	1
206	подчеркнуть что	1	1
207	не исчезнет	1	1
208	он был	1	1
209	столь же	3	1
210	время в	2	1
211	с его	1	1
212	это имеет	1	1
213	россии и	4	1
214	но как	1	1
215	в противоречии	1	1
216	в общем	2	1
217	совершенно ясно	1	1
218	более как	1	1
219	к сожалению	1	1
220	в рамках	1	1
221	что именно	1	1
222	вот как	1	1
223	как к	1	1
224	такова же	1	1
225	всех стран	1	1
226	помнить что	2	1
227	власть и	1	1
228	кто не	1	1
229	и как	3	1
230	что по	1	1
231	ничего более	1	1
232	до тех	1	1
233	и к	4	1
234	не очень	1	1
235	в себя	1	1
236	в которой	1	1
237	исключительно на	1	1
238	и настоятельна	1	1
239	в статьях	1	1
240	чуть ли	1	1
241	из этих	1	1
242	во многих	1	1
243	в известном	1	1
244	в себе	3	1
245	в наших	1	1
246	не могла	1	1
247	как оно	1	1
248	мы можем	1	1
249	можно характеризовать	1	1
250	какой бы	1	1
251	прежде чем	1	1
252	котором говорит	1	1
253	в каждом	1	1
254	глубоко в	1	1
255	того кто	1	1
256	почти невозможно	1	1
257	из всех	1	1
258	этого процесса	1	1
259	е к	1	1
260	есть несколько	1	1
261	с чрезвычайно	1	1
262	в последние	2	1
263	далеко не	1	1
264	русской культуры	1	1
265	и уже	1	1
266	и некоторых	1	1
267	являются наиболее	1	1
268	но до	1	1
269	и при	1	1
270	уже несколько	1	1
271	в положительном	1	1
272	место в	1	1
273	когда и	1	1
274	к своеобразным	1	1
275	творчества и	2	1
276	быть может	6	1
277	и вся	1	1
278	коммунизма но	1	1
279	что есть	1	1
280	xviii века	1	1
281	тогда когда	1	1
282	одна из	2	1
283	знать что	2	1
284	с и	1	1
285	то главным	1	1
286	недостаточно для	1	1
287	они являются	1	1
288	оно есть	1	1
289	следует понимать	1	1
290	наша задача	1	1
291	каким оно	1	1
292	д а	3	1
293	и именно	1	1
294	слова но	2	1
295	в наши	1	1
296	не есть	1	1
297	все еще	1	1
298	где он	1	1
299	в настоящий	3	1
300	с ее	1	1
301	что составляет	1	1
302	в ее	2	1
303	на основе	1	1
304	общекультурное значение	2	1
305	только то	1	1
306	идет речь	1	1
307	уяснить себе	1	1
308	не с	1	1
309	по природе	1	1
310	что дело	1	1
311	что от	1	1
312	в эпоху	1	1
313	внимание к	1	1
314	тем чем	1	1
315	находится в	1	1
316	но нужно	1	1
317	тех кто	4	1
318	о в	5	1
319	настоящее время	1	1
320	в случаях	1	1
321	с того	1	1
322	пор пока	1	1
323	в значительной	2	1
324	русской интеллигенции	1	1
325	стороны есть	1	1
326	бы часть	1	1
327	область где	1	1
328	переходит в	1	1
329	увидеть и	1	1
330	вслед за	3	1
331	глаза на	1	1
332	в ком	1	1
333	м и	2	1
334	известном смысле	1	1
335	обе эти	1	1
336	традиции в	1	1
337	в какой	1	1
338	и весьма	2	1
339	например с	1	1
340	и такое	1	1
341	одних и	2	1
342	или его	1	1
343	тот или	1	1
344	именно на	1	1
345	собою как	1	1
346	в большинстве	1	1
347	есть проблема	1	1
348	в виде	2	1
349	д не	1	1
350	и наше	1	1
351	одно из	1	1
352	говорить об	1	1
353	иначе как	1	1
354	сами по	3	1
355	эти могут	1	1
356	к ним	1	1
357	противоречии с	1	1
358	в других	1	1
359	изменения эти	1	1
360	и только	1	1
361	нужно было	2	1
362	возможно что	1	1
363	или иной	1	1
364	и несравненно	1	1
365	каком смысле	1	1
366	одной стороны	3	1
367	поскольку она	1	1
368	отношения в	1	1
369	отношением к	1	1
370	и я	1	1
371	с которым	1	1
372	в одно	1	1
373	более чем	2	1
374	партии в	1	1
375	суждений о	2	1
376	за тем	1	1
377	усомниться в	1	1
378	что явление	1	1
379	иной вопрос	1	1
380	в европе	2	1
381	сравнению с	1	1
382	верить что	1	1
383	наряду с	3	1
384	ведет к	1	1
385	жива и	1	1
386	к чему	2	1
387	она есть	3	1
388	в это	1	1
389	которые были	1	1
390	совершенно явственно	1	1
391	тем и	1	1
392	и скоро	1	1
393	она может	1	1
394	в настоящее	1	1
395	давно уже	1	1
396	везде и	1	1
397	в ряду	2	1
398	же судьба	1	1
399	тем более	2	1
400	в свете	1	1
401	только что	1	1
402	в этих	1	1
403	может и	2	1
404	который не	1	1
405	или иным	1	1
406	с о	2	1
407	возможно также	1	1
408	ли они	1	1
409	и другие	1	1
410	именно здесь	1	1
411	понимать что	1	1
412	сущности не	1	1
413	как на	2	1
414	они не	1	1
