N	2gram	Vinokur_St_1	NovoeSre
221	эпохи не	3	1
222	то время	2	1
223	он в	1	1
224	из этих	6	1
225	вероятно будут	1	1
226	в известном	1	1
227	этой системе	1	1
228	же и	4	1
229	людовика xiv	1	1
230	и у	2	1
231	уже в	2	1
232	вопроса о	3	1
233	свидетельствует о	2	1
234	вообще не	2	1
235	в статье	7	1
236	из них	8	1
237	для того	10	1
238	это тем	1	1
239	и их	2	1
240	всяком случае	6	1
241	и когда	1	1
242	нуждается в	1	1
243	слова в	1	1
244	сами по	1	1
245	в конце	3	1
246	не для	2	1
247	но ведь	8	1
248	и исключительно	1	1
249	которые могут	1	1
250	смысле как	1	1
251	тем что	5	1
252	от того	1	1
253	в основу	4	1
254	но все	4	1
255	значительной степени	1	1
256	том случае	1	1
257	не были	1	1
258	возможно что	3	1
259	а по	1	1
260	и идейной	1	1
261	говорим о	1	1
262	и из	1	1
263	на ее	1	1
264	лишь те	1	1
265	было бы	17	1
266	какой-либо смысл	1	1
267	что не	3	1
268	ней нужно	1	1
269	обратиться к	1	1
270	что будет	1	1
271	для них	1	1
272	связано с	1	1
273	не верит	1	1
274	превращается в	2	1
275	а на	3	1
276	они не	1	1
277	в этой	11	1
278	не на	1	1
279	всю жизнь	1	1
280	не всегда	2	1
281	не быть	1	1
282	отказаться от	1	1
283	и поставил	1	1
284	что мы	5	1
285	не больше	1	1
286	ближе к	1	1
287	и ему	1	1
288	перед собой	2	1
289	себя на	1	1
290	в этих	2	1
291	во время	3	1
292	уже давно	1	1
293	но если	4	1
294	и сейчас	4	1
295	будет в	1	1
296	знаний о	1	1
297	в такой	2	1
298	во времена	4	1
299	в котором	5	1
300	времени вот	1	1
301	мы в	1	1
302	не столько	1	1
303	нет ни	2	1
304	не должно	1	1
305	у нас	11	1
306	оно существует	1	1
307	в зависимости	1	1
308	другой же	1	1
309	времени не	4	1
310	но он	2	1
311	и более	2	1
312	их в	2	1
313	что этот	2	1
314	получает свое	1	1
315	том смысле	2	1
316	быть не	1	1
317	по себе	1	1
318	в это	1	1
319	в той	6	1
320	нас к	1	1
321	и очень	4	1
322	будто бы	3	1
323	нет никакого	1	1
324	рода в	2	1
325	и стремится	1	1
326	сих пор	7	1
327	так как	5	1
328	истории но	1	1
329	должны быть	3	1
330	к вопросу	1	1
331	в сущности	2	1
332	не по	3	1
333	протяжении всей	1	1
334	и имеет	1	1
335	до сих	7	1
336	же стороны	1	1
337	которая в	1	1
338	но также	9	1
339	всего что	1	1
340	а во	3	1
341	они являются	1	1
342	или нет	1	1
343	явление в	1	1
344	есть такой	1	1
345	и его	8	1
346	а также	2	1
347	них нельзя	1	1
348	истории как	1	1
349	и общего	1	1
350	потребность в	1	1
351	гораздо больше	2	1
352	с окончанием	3	1
353	в области	14	1
354	в период	1	1
355	в каком	3	1
356	ему не	1	1
357	от всех	1	1
358	того же	3	1
359	характерны для	1	1
360	есть только	2	1
361	и вполне	3	1
362	в которой	4	1
363	числе и	2	1
364	на путь	1	1
365	быть признана	1	1
366	например во	2	1
367	во всяком	6	1
368	того времени	5	1
369	есть обязанность	1	1
370	оно не	1	1
371	который не	2	1
372	как на	1	1
373	том числе	2	1
