N	2gram	Berdyaev_N_1	slovoVRo
171	должно быть	4	2
172	одна из	2	2
173	потому что	4	2
174	основе их	1	2
175	от всякого	2	2
176	сказать что	3	2
177	все категории	2	2
178	и через	1	1
179	лишь там	1	1
180	и есть	10	1
181	и до	1	1
182	не имеют	2	1
183	ведь и	2	1
184	из всех	1	1
185	со всех	4	1
186	место в	2	1
187	но она	2	1
188	всех сторон	4	1
189	стоят на	2	1
190	на их	1	1
191	только изнутри	1	1
192	есть своя	1	1
193	силы и	2	1
194	менее всего	1	1
195	в новом	2	1
196	отличие от	1	1
197	ориентироваться в	1	1
198	в свои	2	1
199	характер и	1	1
200	и такое	1	1
201	в значительной	1	1
202	эпоху не	1	1
203	тему и	1	1
204	всего как	1	1
205	отнесены к	1	1
206	и объединения	1	1
207	в этот	1	1
208	о самом	1	1
209	в этой	1	1
210	все ее	1	1
211	что она	2	1
212	не значит	3	1
213	к одному	1	1
214	не к	2	1
215	свою энергию	1	1
216	жизнью и	1	1
217	оно должно	1	1
218	по всем	1	1
219	есть еще	1	1
220	и было	2	1
221	нашего времени	2	1
222	принадлежит конечно	1	1
223	в нее	1	1
224	в основу	1	1
225	человека в	1	1
226	значительной степени	1	1
227	в состоянии	1	1
228	них не	1	1
229	и явлениях	1	1
230	и правды	1	1
231	которая в	1	1
232	в жизни	5	1
233	ни в	6	1
234	этого не	1	1
235	сферах жизни	1	1
236	и того	1	1
237	но если	1	1
238	отцы и	1	1
239	не столько	1	1
240	в отличие	1	1
241	мир и	2	1
242	но во	1	1
243	обращение к	2	1
244	и более	1	1
245	и вся	1	1
246	не менее	4	1
247	и развивается	1	1
248	того чтобы	2	1
249	не признают	1	1
250	по своей	1	1
251	привело к	1	1
252	людей и	1	1
253	во всем	1	1
254	вот что	1	1
255	так называемый	1	1
256	века не	1	1
257	в каком	1	1
258	замкнутой и	1	1
259	к той	1	1
260	всего они	1	1
261	есть только	1	1
262	во все	1	1
263	быть отнесены	1	1
264	всегда есть	1	1
265	социальные и	1	1
266	он создает	1	1
267	на это	1	1
268	но сама	1	1
269	должен быть	5	1
270	и это	2	1
271	россию и	1	1
272	в виду	1	1
273	сознание должно	1	1
274	культуры и	7	1
275	приводит к	1	1
276	переход к	2	1
277	и которые	1	1
278	того и	1	1
279	по-новому и	1	1
280	для этого	2	1
281	смысле и	1	1
282	погружается в	1	1
283	движения и	1	1
284	только так	1	1
285	не был	1	1
286	союзы и	1	1
287	и что	2	1
288	должен вступить	1	1
289	воспринимаются как	1	1
290	это было	3	1
291	на всех	1	1
292	нуждается в	1	1
293	к своеобразному	1	1
294	и только	1	1
295	совершенно невозможно	1	1
296	может иметь	1	1
297	и она	1	1
298	дня а	1	1
299	вступить в	1	1
300	в эти	1	1
301	есть в	2	1
302	отнести к	1	1
303	вернуться к	2	1
304	к своим	1	1
305	и их	1	1
306	к ним	3	1
307	протекающей в	1	1
308	от того	1	1
309	эти формы	3	1
310	нет и	2	1
311	социальная жизнь	1	1
312	сторонами жизни	1	1
313	в высшем	1	1
314	он часто	1	1
315	себя и	1	1
316	что не	1	1
317	социальной жизни	1	1
318	на смену	1	1
319	был в	1	1
320	ничем не	1	1
321	как ни	1	1
322	долгое время	1	1
323	когда она	1	1
324	что мы	1	1
325	ближе к	1	1
326	он и	1	1
327	и ему	1	1
328	вступает в	1	1
329	нет ничего	1	1
330	ничего нет	1	1
331	вместе с	2	1
332	до этого	1	1
333	нужно отнести	1	1
334	эпох и	1	1
335	быть не	1	1
336	в это	1	1
337	и нет	1	1
338	но это	6	1
339	глубины и	2	1
340	в более	1	1
341	за его	1	1
342	лежал в	1	1
343	жизнью в	2	1
344	есть уже	1	1
345	потребность в	1	1
346	лишь те	1	1
347	не знает	6	1
348	от всех	1	1
349	равно как	2	1
350	есть и	1	1
351	жизни и	8	1
352	и периодов	1	1
353	свое и	1	1
354	который не	1	1
355	значение в	1	1
356	как на	1	1
357	все что	1	1
358	они не	1	1
