N	2gram	Ircho_Kome_2	NovoeSre
238	возможно что	3	1
239	а по	1	1
240	пришли к	1	1
241	и из	1	1
242	знает что	1	1
243	на ее	1	1
244	нельзя сказать	1	1
245	было бы	8	1
246	в отличие	2	1
247	что не	1	1
248	а на	2	1
249	в этой	3	1
250	не на	1	1
251	этого не	1	1
252	не всегда	2	1
253	жизнь в	1	1
254	отказаться от	1	1
255	и античной	1	1
256	ее на	1	1
257	бог и	2	1
258	огромную роль	1	1
259	не больше	1	1
260	ближе к	1	1
261	он и	1	1
262	и еще	2	1
263	себя на	1	1
264	в эту	1	1
265	в этих	4	1
266	во время	6	1
267	но если	3	1
268	и особенно	3	1
269	в традиционные	2	1
270	на это	2	1
271	во времена	1	1
272	к себе	1	1
273	в котором	3	1
274	всего они	1	1
275	только для	1	1
276	ничего нет	1	1
277	одну из	1	1
278	не столько	1	1
279	нет ни	1	1
280	власть над	1	1
281	у нас	1	1
282	в силу	2	1
283	не удалось	2	1
284	времени не	1	1
285	и более	1	1
286	их в	1	1
287	и потеряли	1	1
288	времени а	1	1
289	в состоянии	1	1
290	быть не	1	1
291	по себе	1	1
292	демократии в	2	1
293	в это	2	1
294	в той	2	1
295	за право	1	1
296	и очень	1	1
297	будто бы	1	1
298	сих пор	2	1
299	так как	4	1
300	принадлежащими к	1	1
301	оба они	1	1
302	человека не	1	1
303	она могла	1	1
304	служить только	1	1
305	в сущности	1	1
306	в более	1	1
307	не по	4	1
308	это уже	1	1
309	между небом	1	1
310	от жизни	1	1
311	до сих	2	1
312	из их	1	1
313	античному миру	1	1
314	крестьяне и	1	1
315	римской империи	2	1
316	бы он	1	1
317	она с	1	1
318	и его	12	1
319	а также	1	1
320	вот этот	1	1
321	них нельзя	1	1
322	к античности	1	1
323	так называемый	1	1
324	все более	1	1
325	женщины в	1	1
326	речи о	1	1
327	или к	1	1
328	быть сам	1	1
329	в области	1	1
330	нет ничего	1	1
331	в период	3	1
332	в каком	1	1
333	та или	1	1
334	в свою	1	1
335	от всех	2	1
336	того же	3	1
337	в речах	2	1
338	и вполне	1	1
339	и всех	1	1
340	в которой	5	1
341	числе и	1	1
342	жизни мы	1	1
343	во всяком	2	1
344	того времени	3	1
345	случае если	1	1
346	как на	1	1
347	все что	1	1
348	том числе	3	1
