N	2gram	Tiupa_Disk_2	VelikijI
176	по словам	2	1
177	слова не	2	1
178	о которой	1	1
179	чего бы	1	1
180	искать в	1	1
181	чем у	1	1
182	вовсе не	1	1
183	не для	1	1
184	отношение к	2	1
185	нашего времени	1	1
186	бытия и	2	1
187	не случайно	1	1
188	этом мире	2	1
189	на этом	1	1
190	человека в	4	1
191	то ни	1	1
192	в состоянии	1	1
193	не были	1	1
194	и с	2	1
195	ней и	1	1
196	с другой	5	1
197	есть не	1	1
198	в глазах	1	1
199	близок к	1	1
200	лишь на	1	1
201	и быть	1	1
202	к миру	1	1
203	еще и	1	1
204	бытия в	1	1
205	нового времени	5	1
206	отказавшись от	1	1
207	к человеку	1	1
208	она и	1	1
209	человеческой жизни	2	1
210	человека не	1	1
211	жизни но	3	1
212	о чем	2	1
213	и своим	1	1
214	и было	1	1
215	более глубокое	1	1
216	в одно	1	1
217	стороны в	1	1
218	вместе с	2	1
219	как это	1	1
220	за которым	2	1
221	то есть	12	1
222	мы в	1	1
223	и столь	1	1
224	в которых	1	1
225	ведет к	3	1
226	в одном	4	1
227	а потом	2	1
228	в мир	1	1
229	по крайней	1	1
230	происхождения и	1	1
231	человек с	1	1
232	мира с	2	1
233	и смерти	1	1
234	с этой	1	1
235	на пути	1	1
236	любви и	1	1
237	ни для	4	1
238	из нас	1	1
239	о мире	1	1
240	роковым образом	1	1
241	и именно	1	1
242	указать на	2	1
243	но она	3	1
244	мы все	1	1
245	и от	1	1
246	и всегда	1	1
247	мира и	4	1
248	которая в	2	1
249	ничего не	1	1
250	в разных	1	1
251	того как	1	1
252	жизни не	2	1
253	может быть	16	1
254	в третьем	1	1
255	как она	1	1
256	во всем	1	1
257	будто бы	1	1
258	можно признать	3	1
259	на него	1	1
260	к жизни	3	1
261	звучит в	1	1
262	жизни в	3	1
263	что на	2	1
264	может и	2	1
265	о своем	1	1
266	другой стороны	2	1
267	не быть	1	1
268	но все	1	1
269	к этому	4	1
270	от слова	1	1
271	его с	1	1
272	свободного выбора	1	1
273	в искусстве	1	1
274	в своих	6	1
275	в процессе	1	1
276	это в	2	1
277	в противоположность	5	1
278	себя и	1	1
279	она не	1	1
280	разных концах	1	1
