N	2gram	Kanaev_Sov_1	Komedia
162	в области	3	2
163	он называет	1	2
164	если же	2	2
165	и это	1	2
166	как мы	2	2
167	роль в	2	2
168	можно было	1	2
169	в другом	1	2
170	аналогии с	1	2
171	и во	2	2
172	в конечном	1	2
173	все время	1	2
174	тот же	2	2
175	должен быть	1	2
176	по мнению	2	2
177	уже в	3	2
178	если мы	4	2
179	этот раз	1	2
180	мы знаем	2	2
181	себе такую	1	2
182	не было	1	2
183	а на	2	2
184	и особенно	1	2
185	из которых	2	2
186	не могут	2	2
187	возможность и	2	2
188	по существу	1	2
189	этом случае	1	2
190	является ли	1	2
191	и все	3	2
192	нет никаких	1	2
193	не будет	1	2
194	а о	1	2
195	между ними	1	2
196	совершенно не	2	2
197	равно как	1	2
198	в свое	1	2
199	в своих	1	2
200	в таком	2	2
201	и наиболее	1	1
202	жизни где	1	1
203	с жизнью	1	1
204	в объяснении	1	1
205	а из	1	1
206	в первом	3	1
207	к другому	1	1
208	и до	1	1
209	в зависимости	4	1
210	мы имеем	1	1
211	и само	1	1
212	это совершенно	1	1
213	и наш	1	1
214	вопрос о	4	1
215	именно к	1	1
216	совсем иное	1	1
217	для нашей	1	1
218	зависимости от	4	1
219	развития с	1	1
220	в большинстве	1	1
221	он сам	1	1
222	все эти	5	1
223	но не	1	1
224	но как	1	1
225	если в	1	1
226	независимо от	1	1
227	и наконец	5	1
228	в действительности	1	1
229	нашего столетия	1	1
230	в этот	1	1
231	роль играет	1	1
232	да еще	1	1
233	в нашем	2	1
234	из этих	2	1
235	и те	1	1
236	по крайней	1	1
237	образом из	1	1
238	к одному	1	1
239	прошлого века	1	1
240	на этом	2	1
241	в каждом	8	1
242	что все	2	1
243	значение в	2	1
244	конечно в	2	1
245	той же	2	1
246	обоих случаях	1	1
247	образом если	1	1
248	объяснение для	1	1
249	во многом	1	1
250	его и	1	1
251	для них	1	1
252	позволяет ему	1	1
253	нет в	1	1
254	для своего	1	1
255	этого не	1	1
256	а потом	1	1
257	такой же	2	1
258	ибо при	1	1
259	работы в	1	1
260	таким же	1	1
261	человек и	1	1
262	мы конечно	1	1
263	это делает	1	1
264	бы к	1	1
265	то его	1	1
266	в отличие	2	1
267	знаем что	2	1
268	точку зрения	4	1
269	которые в	1	1
270	такую же	1	1
271	времени не	1	1
272	и вся	1	1
273	время из	1	1
274	в обоих	1	1
275	свое время	1	1
276	раз ему	1	1
277	iii наконец	1	1
278	ходом развития	1	1
279	и снова	1	1
280	он с	1	1
281	остановимся здесь	1	1
282	на котором	2	1
283	и по	2	1
284	но очень	2	1
285	с новой	1	1
286	одному и	1	1
287	тем легче	1	1
288	ли это	1	1
289	с другом	2	1
290	если у	1	1
291	не давая	1	1
292	могут быть	2	1
293	что наш	1	1
294	затем он	1	1
295	что при	2	1
296	правда не	1	1
297	и от	1	1
298	и может	1	1
299	те же	1	1
300	времени и	2	1
301	когда в	1	1
302	это только	1	1
303	мы в	1	1
304	из одного	2	1
305	в настоящее	2	1
306	входящих в	1	1
307	этого объяснения	1	1
308	и начало	1	1
309	нечто совсем	1	1
310	то они	1	1
311	и та	1	1
312	настоящее время	2	1
313	все его	1	1
314	всей ситуации	1	1
315	может не	3	1
316	как нет	1	1
317	которых в	1	1
318	во втором	1	1
319	ее на	2	1
320	крайней мере	1	1
321	в ту	1	1
322	развития но	2	1
323	на которой	1	1
324	мы видим	2	1
325	ли он	1	1
326	только в	1	1
327	реагирует на	1	1
328	со всеми	2	1
329	и все-таки	1	1
330	и у	1	1
331	только на	1	1
332	ни одного	1	1
333	не из	1	1
334	и ищет	1	1
335	в ином	1	1
336	и их	1	1
337	пока не	1	1
338	как его	1	1
339	не случайно	1	1
340	в некоторых	2	1
341	существо и	1	1
342	известных нам	2	1
343	с общим	2	1
344	из двух	3	1
345	виде и	1	1
346	ей не	1	1
347	остается еще	1	1
348	на которых	1	1
349	вторая половина	2	1
350	наконец не	2	1
351	не допускает	1	1
352	действия в	1	1
353	так называемых	3	1
354	он уже	1	1
355	и потому	3	1
356	мы опять	1	1
357	такого рода	2	1
358	некоторое время	2	1
359	быть только	1	1
360	образом на	1	1
361	друг с	2	1
362	еще раз	1	1
363	я мог	1	1
364	он должен	2	1
365	не знаем	2	1
366	произойти в	1	1
367	или в	1	1
368	это как	1	1
369	она уже	1	1
370	себя самого	1	1
371	для нас	3	1
372	все они	1	1
373	жизни в	1	1
374	сказать что	1	1
375	и только	1	1
376	самое что	1	1
377	жизни и	4	1
378	но еще	1	1
379	и эта	1	1
380	существу не	1	1
381	они относятся	1	1
382	можно назвать	2	1
383	они не	1	1
384	ничего общего	1	1
