N	2gram	Tiupa_Anal_3	VLabPisa
554	общественных отношений	1	1
555	из наиболее	1	1
556	на себя	2	1
557	хотя в	2	1
558	фабулы в	1	1
559	так или	1	1
560	но пожалуй	1	1
561	борьбы и	1	1
562	совершенно очевидно	2	1
563	в глаза	2	1
564	искусства и	1	1
565	вот основные	1	1
566	может иметь	1	1
567	или иначе	1	1
568	обратимся к	1	1
569	не способен	1	1
570	характерно что	1	1
571	а по	1	1
572	что во	1	1
573	от всего	1	1
574	в сферу	1	1
575	превратилась в	1	1
576	речь идет	1	1
577	является в	1	1
578	силу его	1	1
579	это указание	1	1
580	к числу	2	1
581	говорил о	1	1
582	применении к	1	1
583	но это	1	1
584	не обязательно	1	1
585	а если	1	1
586	той или	3	1
587	в данном	4	1
588	в свою	5	1
