N	2gram	Tiupa_Anal_2	OGranits
104	в которую	1	2
105	в данном	8	2
106	в этом	18	2
107	автора героя	1	2
108	в полном	1	2
109	в том	12	2
110	мы видим	1	2
111	тот же	1	2
112	с ними	3	2
113	произведения мы	1	2
114	в действительности	3	2
115	или иного	3	2
116	во времени	2	2
117	в интонации	1	2
118	в целом	8	2
119	и тем	4	2
120	все эти	1	2
121	с одной	5	2
122	уже в	1	2
123	в нем	1	2
124	при этом	10	2
125	для него	4	2
126	в другом	1	2
127	вовсе не	2	2
128	тем что	3	2
129	в них	1	2
130	объект и	1	2
131	с другой	6	2
132	а как	2	2
133	в самом	6	2
134	входит в	1	2
135	того или	3	2
136	одной стороны	4	2
137	соответствии с	2	2
138	литературное произведение	3	2
139	более того	1	2
140	а не	10	2
141	другой стороны	2	2
142	не мог	3	2
143	несмотря на	3	2
144	в связи	1	2
145	том что	12	2
146	от своего	2	2
147	и при	1	2
148	конечно мы	1	2
149	и ее	1	2
150	так же	2	2
151	в отношении	1	2
152	и помимо	1	2
153	но такое	1	2
154	своего рода	12	2
155	который мы	1	2
156	в тех	1	2
157	литературного произведения	16	2
158	с этой	1	2
159	слова и	1	2
160	не менее	4	2
161	не имеет	2	2
162	замкнутого круга	1	2
163	собственно говоря	2	2
164	бы в	3	2
165	и является	4	2
166	а в	3	2
167	еще в	2	2
168	героя и	1	2
169	и к	5	2
170	имеет место	4	2
171	могут быть	10	2
172	к тому	7	2
173	оно предстает	1	1
174	также и	1	1
175	и уж	1	1
176	зависимость от	1	1
177	в виду	1	1
178	того же	4	1
179	и сами	1	1
180	своем составе	3	1
181	выражения в	1	1
182	как известно	1	1
183	на основе	2	1
184	в организации	3	1
185	здесь и	1	1
186	в себя	4	1
187	и до	2	1
188	можно лишь	1	1
189	ведь и	2	1
190	едва ли	3	1
191	мышления но	1	1
192	не дано	2	1
193	в образе	1	1
194	можно было	3	1
195	в несколько	1	1
196	особенно в	7	1
197	в борьбе	2	1
198	мы имеем	3	1
199	или их	2	1
200	на первом	1	1
201	и о	1	1
202	в синтаксисе	1	1
203	на место	1	1
204	до такой	1	1
205	темы в	1	1
206	никоим образом	1	1
207	другое дело	1	1
208	разговорного языка	1	1
209	из одного	1	1
210	по себе	2	1
211	его за	1	1
212	на себя	5	1
213	с ее	2	1
214	сводится к	3	1
215	из того	1	1
216	событий и	1	1
217	но даже	1	1
218	ему в	3	1
219	наблюдателя не	1	1
220	в мире	6	1
221	и он	2	1
222	всем протяжении	1	1
223	внимание на	2	1
224	конечно никто	1	1
225	своей истории	1	1
226	и что	1	1
227	отдельном случае	1	1
228	еще не	2	1
229	игре на	1	1
230	данности произведения	1	1
231	на втором	1	1
232	к счастью	1	1
233	от логики	1	1
234	нам представляется	1	1
235	столь же	4	1
236	времени в	4	1
237	же самые	1	1
238	тем как	1	1
239	в конечном	3	1
240	произведения его	1	1
241	появляется и	1	1
242	к нему	1	1
243	воздействия на	1	1
244	совсем не	1	1
245	но не	4	1
246	то он	1	1
247	борьба с	3	1
248	может и	1	1
249	борьбе с	2	1
250	же является	2	1
251	художественного впечатления	17	1
252	тут же	1	1
253	и речи	1	1
254	подражание ему	1	1
255	ограниченного числа	1	1
256	на то	2	1
257	даже для	1	1
258	один и	1	1
259	каждом отдельном	1	1
260	в художественной	1	1
261	на словах	1	1
262	и эстетического	1	1
263	в своем	4	1
264	по своей	1	1
265	что касается	3	1
266	один из	2	1
267	которые и	2	1
268	тех случаях	1	1
269	явления как	1	1
270	и как	1	1
271	его к	1	1
272	одной из	3	1
273	этот вопрос	1	1
274	если наконец	1	1
275	более или	1	1
276	осмысливает его	1	1
277	не должна	1	1
278	который в	1	1
279	в значительной	2	1
280	не приходится	1	1
281	и оба	1	1
282	в литературоведении	1	1
283	ни одна	1	1
284	в этой	9	1
285	для всех	2	1
286	с их	2	1
287	и тот	1	1
288	с одним	1	1
289	на всем	1	1
290	сливаются в	1	1
291	если конечно	1	1
292	только на	3	1
293	если он	1	1
294	себя и	1	1
295	вследствие этого	2	1
296	и если	3	1
297	что она	2	1
298	в статье	1	1
299	наш анализ	1	1
300	этого процесса	1	1
301	или даже	2	1
302	именно та	1	1
303	его и	1	1
304	конечном счете	2	1
305	речи вообще	1	1
306	одно из	2	1
307	в понимании	1	1
308	состоит в	8	1
309	переходит от	2	1
310	художественного высказывания	2	1
311	внутренней речи	4	1
312	в конце	4	1
313	только с	1	1
314	картины мира	2	1
315	каждый из	1	1
316	подобно тому	3	1
317	отличие от	2	1
318	на этом	4	1
319	его можно	1	1
320	имеется еще	1	1
321	или иных	2	1
322	образом не	1	1
323	угадывается в	1	1
324	ни о	3	1
325	же не	2	1
326	в совершенно	1	1
327	что такой	1	1
328	к другому	1	1
329	мы это	1	1
330	в лирике	1	1
331	и здесь	1	1
332	его в	2	1
333	если говорить	2	1
334	целая система	1	1
335	ко второму	1	1
336	организации художественного	3	1
337	заключается в	1	1
338	членения и	1	1
339	только к	1	1
340	только одно	1	1
341	обратиться к	1	1
342	все равно	1	1
343	далеко не	1	1
344	в ритме	2	1
345	которой он	1	1
346	он и	2	1
347	же точно	1	1
348	выбор слова	3	1
349	долгое время	1	1
350	отнюдь не	8	1
351	же самый	1	1
352	для человека	1	1
353	такой же	1	1
354	автора и	3	1
355	и тогда	1	1
356	если не	1	1
357	и некоторых	1	1
358	с первых	1	1
359	или менее	1	1
360	но при	1	1
361	вступает в	2	1
362	но если	1	1
363	внимания к	1	1
364	эти слова	1	1
365	синтаксическая конструкция	1	1
366	и особенно	4	1
367	ко всем	1	1
368	в такой	1	1
369	как это	6	1
370	которого является	1	1
371	системе языка	1	1
372	то можно	1	1
373	в отличие	2	1
374	в столь	2	1
375	такой степени	1	1
376	здесь он	1	1
377	к этому	2	1
378	такого рода	2	1
379	это единая	1	1
380	тому как	3	1
381	для данного	1	1
382	объединены в	1	1
383	и там	1	1
384	времени не	1	1
385	высказывания и	2	1
386	тем не	3	1
387	речи в	2	1
388	и более	1	1
389	в ряду	1	1
390	и наоборот	2	1
391	зрения и	1	1
392	этого слова	3	1
393	только то	1	1
394	в контексте	5	1
395	тому что	1	1
396	что те	1	1
397	вплоть до	1	1
398	но это	1	1
399	в начале	1	1
400	точно и	1	1
401	экспрессивную интонацию	1	1
402	обратимся к	1	1
403	виду что	1	1
404	и другое	1	1
405	в то	2	1
406	как о	3	1
407	к другим	1	1
408	одна из	1	1
409	эстетическим объектом	1	1
410	знает категории	1	1
411	тех или	2	1
412	которых он	1	1
413	случаях когда	1	1
414	объекта и	2	1
415	синтаксической конструкции	1	1
416	при таком	2	1
417	в разных	1	1
418	как система	5	1
419	этом событии	1	1
420	или в	3	1
421	именно с	1	1
422	при наличии	1	1
423	же время	2	1
424	и ритм	1	1
425	отметить еще	1	1
426	тем более	1	1
427	от него	1	1
428	за исключением	1	1
429	говоря словами	1	1
430	это слово	1	1
431	только что	1	1
432	потому что	1	1
433	связи с	1	1
434	же слова	1	1
435	для анализа	1	1
436	что вообще	1	1
437	и систематизации	1	1
438	счете к	1	1
439	о неизбежном	2	1
440	в системе	1	1
441	этом отношении	3	1
442	не вполне	1	1
443	об этом	1	1
444	этот не	1	1
445	от первого	1	1
446	и несколько	1	1
447	не знает	3	1
448	языка в	1	1
449	сказать что	2	1
450	предположение о	1	1
451	речи и	2	1
452	ритма и	3	1
453	быть произнесены	1	1
454	но когда	1	1
455	которого только	1	1
456	во все	1	1
457	ли не	2	1
458	с его	1	1
459	же самое	1	1
460	должны быть	1	1
461	всего в	2	1
462	вместе с	2	1
463	смысла художественного	1	1
464	по поводу	3	1
465	что при	1	1
466	этой точки	1	1
