N	2gram	Kanaev_Sov_1	VerxiiNi
134	только не	1	2
135	же время	1	2
136	ли это	1	2
137	не могут	2	2
138	отличается от	3	2
139	той или	1	2
140	ничего общего	1	2
141	всегда останется	1	2
142	приводит к	2	2
143	должны признать	1	2
144	у всех	3	2
145	быть и	2	2
146	один из	1	2
147	тот же	2	2
148	положение в	1	2
149	и действительно	1	2
150	со всеми	2	2
151	конечно не	1	2
152	уже в	3	2
153	в начале	1	2
154	мы можем	6	2
155	или иной	2	2
156	и из	1	2
157	именно в	1	2
158	по своим	1	2
159	к которому	1	2
160	прежде всего	5	2
161	не было	1	2
162	может ли	1	2
163	и все	3	2
164	и особенно	1	2
165	без помощи	1	2
166	по существу	1	2
167	благодаря этому	1	2
168	влечет за	1	2
169	поэтому что	1	2
170	же самое	2	2
171	при таком	3	2
172	в эту	1	2
173	ни было	1	2
174	в свою	2	2
175	в процессе	1	2
176	сказать что	1	2
177	жизни и	4	2
178	можно назвать	2	2
179	все что	1	2
180	как известно	2	1
181	можно говорить	1	1
182	в этот	1	1
183	появляются новые	1	1
184	живое существо	1	1
185	самом деле	2	1
186	он может	3	1
187	при нормальном	4	1
188	мы получили	1	1
189	это и	1	1
190	но тем	1	1
191	мере в	1	1
192	и есть	2	1
193	тем же	2	1
194	в первом	3	1
195	и до	1	1
196	все те	2	1
197	и могут	1	1
198	этом направлении	1	1
199	мы уже	1	1
200	той же	2	1
201	их и	1	1
202	это совершенно	1	1
203	мы не	9	1
204	что уже	1	1
205	совершенно так	1	1
206	именно к	1	1
207	существенно отличается	1	1
208	к началу	1	1
209	в будущем	1	1
210	кто же	1	1
211	в ней	1	1
212	на них	1	1
213	быть в	1	1
214	что его	1	1
215	природы и	1	1
216	видели что	3	1
217	произошло в	1	1
218	по отношению	1	1
219	представители этой	1	1
220	более как	1	1
221	отличие от	2	1
222	один и	1	1
223	идет о	1	1
224	некоторое время	2	1
225	более и	1	1
226	сам может	1	1
227	к чему	2	1
228	не приходится	1	1
229	та же	1	1
230	что роль	1	1
231	в нашем	2	1
232	не более	1	1
233	и тот	1	1
234	вследствие этого	1	1
235	так сказать	2	1
236	на его	2	1
237	и таких	1	1
238	он должен	2	1
239	к одному	1	1
240	дела не	1	1
241	в корне	1	1
242	и более	1	1
243	будет продолжаться	1	1
244	на этом	2	1
245	что она	3	1
246	предполагается что	1	1
247	человека в	1	1
248	факт что	1	1
249	от старого	1	1
250	и некоторой	1	1
251	на этой	3	1
252	его в	1	1
253	есть не	1	1
254	это не	4	1
255	было бы	3	1
256	части одной	1	1
257	что один	1	1
258	весь мир	1	1
259	к области	1	1
260	ни в	1	1
261	нет в	1	1
262	она и	1	1
263	как и	6	1
264	оно имеет	1	1
265	чем в	1	1
266	должно быть	1	1
267	действительно если	1	1
268	что такое	2	1
269	таким же	1	1
270	в такой	1	1
271	в отличие	2	1
272	природы но	1	1
273	но эта	1	1
274	их в	4	1
275	по себе	1	1
276	этой области	1	1
277	но они	1	1
278	что с	1	1
279	в деталях	1	1
280	ничего не	6	1
281	видим что	1	1
282	образом он	1	1
283	собой поэтому	1	1
284	ничто не	1	1
285	эту сторону	1	1
286	и несколько	1	1
287	у нас	3	1
288	когда мы	3	1
289	могут быть	2	1
290	не знаем	2	1
291	этого и	1	1
292	на это	1	1
293	с ее	1	1
294	свою очередь	2	1
295	данном случае	1	1
296	роль в	2	1
297	виде мы	1	1
298	том как	1	1
299	между собой	3	1
300	он сам	1	1
301	из одного	2	1
302	с ним	1	1
303	но такая	1	1
304	и должно	1	1
305	то они	1	1
306	настоящее время	2	1
307	одного из	1	1
308	может не	3	1
309	в вопросах	1	1
310	и во	2	1
311	выбор и	1	1
312	в которую	2	1
313	во втором	1	1
314	а потому	1	1
315	свободно выбирать	1	1
316	во всей	1	1
317	в ту	1	1
318	и следовательно	1	1
319	и другую	1	1
320	и прежде	1	1
321	совсем не	1	1
322	мы видим	2	1
323	этот вопрос	1	1
324	но этим	1	1
325	целого и	1	1
326	и его	1	1
327	не можем	7	1
328	только на	1	1
329	чтобы он	1	1
330	в ином	1	1
331	конечно нет	1	1
332	под ногами	1	1
333	мы знаем	2	1
334	который как	2	1
335	себе в	1	1
336	и их	1	1
337	период развития	2	1
338	сами по	1	1
339	у него	2	1
340	в очень	1	1
341	из двух	3	1
342	продолжаться но	1	1
343	нельзя сказать	1	1
344	положение на	1	1
345	такое же	1	1
346	и пр	2	1
347	на эту	1	1
348	действия в	1	1
349	так называемых	3	1
350	с помощью	4	1
351	нет никаких	1	1
352	все более	1	1
353	тот факт	1	1
354	при которых	1	1
355	с этим	2	1
356	без труда	1	1
357	в данном	1	1
358	там где	1	1
359	человека и	1	1
360	терминологии и	1	1
361	такой же	2	1
362	на которой	1	1
363	но это	1	1
364	измененном виде	1	1
365	верхняя часть	1	1
366	но для	1	1
367	понятия и	1	1
368	говорить что	1	1
369	кроме того	1	1
370	от конца	1	1
371	не является	1	1
372	жизни вот	1	1
373	которых он	1	1
374	его с	1	1
375	это как	1	1
376	в настоящее	2	1
377	она уже	1	1
378	это уже	1	1
379	не представляет	1	1
380	все они	1	1
381	этот раз	1	1
382	теперь же	2	1
383	же в	1	1
384	могли быть	1	1
385	природы не	1	1
386	состоит из	3	1
387	совершенно не	2	1
388	в свое	1	1
389	есть то	1	1
390	в своих	1	1
391	они относятся	1	1
392	значение в	2	1
393	они не	1	1
