N	2gram	Losev_Vesc_1	TeoriaLi
205	или иначе	4	2
206	во втором	2	2
207	жизни –	1	2
208	в аспекте	1	2
209	к смыслу	1	2
210	тот или	1	2
211	с одной	3	2
212	что сама	1	2
213	суть то	1	2
214	в конце	2	2
215	во всей	1	2
216	и даже	6	2
217	со стороны	5	2
218	в данный	1	2
219	а именно	1	2
220	себя и	4	2
221	одной стороны	3	2
222	и составляет	1	2
223	не на	1	2
224	человеческой жизни	1	2
225	о чем	1	2
226	вместе с	1	2
227	так же	1	2
228	из которых	1	2
229	в той	3	2
230	могут быть	1	2
231	к тому	3	2
232	– уже	2	2
233	собственно говоря	4	2
234	жизни в	1	2
235	что он	1	2
236	– как	7	2
237	только к	2	1
238	можно говорить	2	1
239	также что	1	1
240	также и	6	1
241	в сфере	4	1
242	человека и	1	1
243	связана с	1	1
244	же по	1	1
245	и есть	26	1
246	вмещает в	1	1
247	к другому	1	1
248	из его	2	1
249	едва ли	1	1
250	действительности и	5	1
251	той же	2	1
252	же как	1	1
253	говоря и	1	1
254	вопрос о	1	1
255	из своих	1	1
256	единство и	1	1
257	чтобы не	1	1
258	– тоже	1	1
259	от всего	12	1
260	жизнь однако	1	1
261	весьма узко	1	1
262	не вполне	2	1
263	и такой	1	1
264	но чтобы	1	1
265	предстает как	1	1
266	пребывания в	1	1
267	момент в	6	1
268	думаю что	1	1
269	проявляет себя	1	1
270	внимание и	1	1
271	как смысл	2	1
272	на их	2	1
273	бы то	4	1
274	в различных	1	1
275	– а	2	1
276	– можно	1	1
277	внутренняя форма	1	1
278	коем случае	1	1
279	не таково	1	1
280	оно –	3	1
281	нет не	1	1
282	для обозначения	1	1
283	если в	1	1
284	искусство в	1	1
285	с совершенно	1	1
286	с собою	6	1
287	имя в	1	1
288	на то	4	1
289	еще один	1	1
290	отнюдь не	5	1
291	в истории	1	1
292	всего к	1	1
293	мере в	1	1
294	личность как	2	1
295	независимо от	5	1
296	и где	1	1
297	переживания и	2	1
298	чего нет	1	1
299	могли бы	1	1
300	неизмеримо более	1	1
301	силе и	1	1
302	или иную	2	1
303	вещи но	14	1
304	то в	4	1
305	к чему	1	1
306	общение с	9	1
307	что это	13	1
308	состоит как	1	1
309	момент его	1	1
310	из этих	1	1
311	одном случае	1	1
312	раз в	1	1
313	ее как	2	1
314	если он	1	1
315	не могла	1	1
316	что она	15	1
317	но именно	2	1
318	в реальной	1	1
319	занимала столь	1	1
320	в понимании	1	1
321	свою собственную	1	1
322	в силу	3	1
323	по существу	2	1
324	в первом	2	1
325	содержит в	4	1
326	с максимальной	1	1
327	других типов	1	1
328	внутри себя	3	1
329	подобно тому	4	1
330	образа и	1	1
331	является не	1	1
332	себя самой	2	1
333	именно это	1	1
334	то ни	4	1
335	не будет	12	1
336	что все	2	1
337	свое имя	1	1
338	различие между	2	1
339	не сможет	2	1
340	времени и	1	1
341	было бы	14	1
342	должен был	1	1
343	в обыденной	1	1
344	жизни что	1	1
345	внутреннее и	1	1
346	она и	1	1
347	с тем	5	1
348	как видно	1	1
349	он и	1	1
350	когда я	5	1
351	предстают перед	1	1
352	же я	1	1
353	но если	8	1
354	таким же	1	1
355	это ощущение	1	1
356	и без	3	1
357	в котором	3	1
358	еще нет	1	1
359	жизненный опыт	1	1
360	себе а	1	1
361	от его	2	1
362	действительность в	2	1
363	– только	4	1
364	действительности –	2	1
365	втором случае	1	1
366	другой –	1	1
367	этих моментов	1	1
368	и более	1	1
369	чем собственно	1	1
370	с такими	1	1
371	особенность и	1	1
372	необходимо для	1	1
373	понимания это	1	1
374	случае мы	1	1
375	и вся	1	1
376	то с	3	1
377	у нее	1	1
378	чистом виде	1	1
379	я для	1	1
380	ее не	2	1
381	с которой	1	1
382	она могла	2	1
383	по крайней	4	1
384	дело в	4	1
385	одна из	5	1
386	и сама	3	1
387	бытия и	2	1
388	того и	2	1
389	только и	2	1
390	жизни не	1	1
391	в самой	2	1
392	нее нет	1	1
393	имя как	4	1
394	ничто не	2	1
395	ту или	2	1
396	как я	4	1
397	из того	2	1
398	и делает	2	1
399	не является	1	1
400	однако это	2	1
401	ему не	1	1
402	не мыслится	1	1
403	у нас	7	1
404	только мы	2	1
405	в коем	1	1
406	образом что	1	1
407	когда мы	6	1
408	ли не	1	1
409	его с	1	1
410	исчезает и	1	1
411	оно не	3	1
412	на это	4	1
413	она не	4	1
414	частности –	1	1
415	говорит о	1	1
416	обычно в	1	1
417	должен быть	2	1
418	и кому	1	1
419	из всего	1	1
420	как мы	4	1
421	вещами и	2	1
422	а затем	2	1
423	того чтобы	3	1
424	основной закон	1	1
425	это еще	1	1
426	имеет значение	1	1
427	на основе	1	1
428	только при	1	1
429	его поступки	1	1
430	в собственном	2	1
431	то или	2	1
432	чтобы быть	3	1
433	только то	2	1
434	то время	1	1
435	значение в	1	1
436	и совершенно	1	1
437	с собой	2	1
438	можно было	2	1
439	стороны не	1	1
440	здесь как	1	1
441	с самим	4	1
442	в окружающей	1	1
443	жизнь и	1	1
444	является в	2	1
445	для этого	4	1
446	быть или	1	1
447	к языку	1	1
448	с ним	8	1
449	– независимо	1	1
450	с человеком	1	1
451	первом случае	2	1
452	искусства и	1	1
453	на вопрос	1	1
454	определенным образом	6	1
455	никак не	3	1
456	не содержит	3	1
457	как ее	2	1
458	одного из	1	1
459	я если	1	1
460	основе своей	2	1
461	я помню	1	1
462	и который	1	1
463	может не	2	1
464	в сущности	4	1
465	или –	1	1
466	как внутреннее	1	1
467	тут? я	1	1
468	не уничтожается	2	1
469	нуждается в	1	1
470	ним и	1	1
471	и только	3	1
472	крайней мере	4	1
473	– то	2	1
474	другом –	1	1
475	один из	3	1
476	но с	2	1
477	д и	5	1
478	оно и	4	1
479	в двух	1	1
480	ее к	2	1
481	тот же	3	1
482	тем или	1	1
483	его чувства	1	1
484	образ –	3	1
485	даже если	1	1
486	ее смысл	2	1
487	или его	1	1
488	смысле –	1	1
489	теперь в	1	1
490	со всеми	1	1
491	собою как	1	1
492	так что	5	1
493	из которого	1	1
494	же и	1	1
495	внимание в	1	1
496	для всех	1	1
497	это ни	1	1
498	есть в	1	1
499	с нею	18	1
500	если мы	8	1
501	только на	3	1
502	пусть это	1	1
503	существенное для	1	1
504	но самое	2	1
505	не дает	1	1
506	имя личности	1	1
507	из них	4	1
508	это требует	1	1
509	только одно	2	1
510	одно из	1	1
511	и их	7	1
512	никто не	1	1
513	представить себе	1	1
514	и прежде	1	1
515	в одном	2	1
516	части и	1	1
517	относится не	2	1
518	так как	7	1
519	тому же	1	1
520	ту сторону	1	1
521	без этого	2	1
522	случае не	1	1
523	не говорит	2	1
524	ее на	1	1
525	но из	1	1
526	для того	2	1
527	ее понимания	2	1
528	другого и	1	1
529	на ее	3	1
530	не обязательно	1	1
531	в уме	3	1
532	еще и	8	1
533	души и	1	1
534	и внешнее	1	1
535	вне моего	1	1
536	относится как	1	1
537	и пр	6	1
538	превращается в	1	1
539	не было	1	1
540	не сама	2	1
541	из наиболее	1	1
542	принадлежит не	1	1
543	зависит от	1	1
544	с которым	1	1
545	же точно	2	1
546	и я	1	1
547	и исторической	1	1
548	когда же	1	1
549	могут служить	1	1
550	в ряду	1	1
551	в бытии	1	1
552	что из	2	1
553	ближе к	1	1
554	его как	1	1
555	в одно	1	1
556	и ему	1	1
557	если не	3	1
558	к сфере	1	1
559	о различных	1	1
560	от ее	6	1
561	к бытию	1	1
562	и пусть	1	1
563	было и	2	1
564	тому как	4	1
565	есть как	3	1
566	перестают быть	1	1
567	ее восприятия	1	1
568	реальность и	1	1
569	да и	3	1
570	узко и	1	1
571	степени и	2	1
572	в это	1	1
573	с этой	4	1
574	и формы	2	1
575	быть и	1	1
576	все это	5	1
577	точно и	1	1
578	если ее	1	1
579	является как	1	1
580	каждой из	2	1
581	это уже	1	1
582	к реальному	1	1
583	делает ее	1	1
584	и от	3	1
585	в результате	3	1
586	о котором	1	1
587	которая в	1	1
588	это энергия	1	1
589	себя самого	2	1
590	это может	2	1
591	в третьем	1	1
592	из своего	1	1
593	бы в	5	1
594	он –	1	1
595	стороны в	1	1
596	между вещами	1	1
597	и отвечает	2	1
598	с другими	8	1
599	своей внутренней	1	1
600	ни было	4	1
601	же в	1	1
602	мы видим	2	1
603	не есть	49	1
604	к самому	1	1
605	является его	1	1
606	может и	1	1
607	с ней	2	1
608	две стороны	1	1
609	не быть	3	1
610	от всех	4	1
611	совершенно не	5	1
612	согласен с	1	1
613	я это	1	1
614	из этого	1	1
615	только о	1	1
616	что такое	12	1
617	если она	1	1
618	жизни и	2	1
619	ее в	1	1
620	и другие	1	1
621	в своих	1	1
622	по поводу	1	1
623	можно назвать	1	1
624	все что	1	1
625	этой точки	1	1
