N	2gram	Propp_Morf_1	Poddanst
180	в какой	3	1
181	не связаны	1	1
182	духа в	1	1
183	но как	2	1
184	в которой	3	1
185	вопрос вопрос	1	1
186	что это	1	1
187	прошлому хотя	1	1
188	формы в	1	1
189	могли бы	1	1
190	представляет собой	17	1
191	из этих	1	1
192	если мы	5	1
193	в эти	1	1
194	себя в	1	1
195	что его	2	1
196	только один	1	1
197	во многих	1	1
198	в большинстве	3	1
199	только на	1	1
200	этот вывод	1	1
201	на то	2	1
202	если он	1	1
203	но на	1	1
204	т д	39	1
205	связывается с	2	1
206	из этой	1	1
207	одно из	1	1
208	свои собственные	1	1
209	эти могут	1	1
210	что каждая	1	1
211	друг друга	3	1
212	чтобы в	1	1
213	мы можем	2	1
214	чтобы это	1	1
215	и по	2	1
216	дело идет	1	1
217	прежде чем	3	1
218	с собой	3	1
219	одно и	1	1
220	момент когда	2	1
221	многих других	1	1
222	в каждом	1	1
223	представляют собой	11	1
224	а затем	4	1
225	тем в	1	1
226	общий вопрос	1	1
227	связанные с	1	1
228	из двух	2	1
229	большинстве случаев	3	1
230	ясно что	5	1
231	его в	2	1
232	ощущается как	1	1
233	и иных	2	1
234	совершенно ясно	1	1
235	например с	2	1
236	а с	2	1
237	что не	1	1
238	в это	1	1
239	в ином	2	1
240	но есть	3	1
241	по всему	2	1
242	из нее	1	1
243	е а	2	1
244	церковь и	1	1
245	далеко не	5	1
246	не исключает	2	1
247	в этой	2	1
248	на основании	1	1
249	как и	3	1
250	ведет к	1	1
251	мы вполне	1	1
252	и многие	1	1
253	нисколько не	1	1
254	когда в	1	1
255	или менее	2	1
256	в ходе	4	1
257	и при	1	1
258	так же	3	1
259	всяком случае	2	1
260	что именно	1	1
261	в данном	1	1
262	вопрос о	7	1
263	в церковь	1	1
264	можно говорить	1	1
265	и охватывает	1	1
266	думается что	1	1
267	теми же	1	1
268	в отдельности	1	1
269	и более	1	1
270	там где	5	1
271	друг с	1	1
272	и наоборот	4	1
273	может идти	1	1
274	к следующему	1	1
275	ни были	1	1
276	стремления к	1	1
277	от тех	1	1
278	и другим	3	1
279	тех частей	1	1
280	ее нужно	1	1
281	в формах	1	1
282	что эта	2	1
283	она не	2	1
284	что с	1	1
285	но для	2	1
286	она должна	1	1
287	р м	1	1
288	случаях когда	2	1
289	того чтобы	3	1
290	эта задача	1	1
291	она может	1	1
292	не имеет	2	1
293	рассматривать как	1	1
294	в результате	7	1
295	о котором	1	1
296	в настоящее	3	1
297	это сделать	1	1
298	исторической действительности	1	1
299	иными словами	1	1
300	не сумеем	2	1
301	не более	1	1
302	и притом	1	1
303	как явление	1	1
304	в наши	1	1
305	в г	1	1
306	другой стороны	4	1
307	только что	2	1
308	в этих	13	1
309	подобных целей	1	1
310	к соединению	1	1
311	в каком	2	1
312	есть у	1	1
313	в момент	1	1
314	исходить из	1	1
315	по одному	1	1
316	есть и	4	1
317	в других	3	1
318	ни к	2	1
319	начала в	1	1
320	более широкой	1	1
321	к этой	1	1
322	в поиски	3	1
323	котором говорит	1	1
324	и другие	6	1
325	не есть	1	1
326	все еще	3	1
327	что от	1	1
328	ее по	3	1
329	что при	2	1
330	во всяком	2	1
331	они не	1	1
