N	2gram	Savitsky_E_1	Marksizm
267	или в	2	2
268	мира и	3	2
269	значения для	2	2
270	в свою	3	2
271	но если	5	2
272	жизни и	2	2
273	это так	3	2
274	к этой	1	2
275	в своих	2	2
276	в таком	3	2
277	том числе	1	2
278	но более	1	1
279	находятся на	1	1
280	но кроме	1	1
281	также и	7	1
282	например в	1	1
283	доступ в	1	1
284	и то	2	1
285	отметим что	1	1
286	получает в	1	1
287	многих отношениях	1	1
288	может по	1	1
289	от своей	1	1
290	и до	1	1
291	являющаяся в	1	1
292	исходит из	1	1
293	из всех	3	1
294	или наоборот	1	1
295	что между	1	1
296	которую мы	5	1
297	поэтому если	1	1
298	среды и	1	1
299	почти все	1	1
300	тех иногда	1	1
301	говорить о	1	1
302	в деле	3	1
303	и другая	2	1
304	вместо того	1	1
305	социальной группы	1	1
306	в каждой	1	1
307	может дать	1	1
308	на них	2	1
309	он сам	2	1
310	оценок и	1	1
311	столь же	5	1
312	культурной ценности	3	1
313	с его	1	1
314	чуть ли	1	1
315	различия между	1	1
316	на основе	2	1
317	но как	2	1
318	в общем	3	1
319	то такой	1	1
320	и будет	1	1
321	значение имеет	1	1
322	относится к	1	1
323	его на	2	1
324	ней в	1	1
325	хотя и	2	1
326	могли бы	1	1
327	и всецело	2	1
328	и наконец	2	1
329	более или	1	1
330	или иную	3	1
331	представленная в	1	1
332	за свои	1	1
333	та же	1	1
334	как то	1	1
335	что это	2	1
336	в этой	2	1
337	в известном	3	1
338	в последнее	1	1
339	всех перечисленных	1	1
340	прав и	1	1
341	с их	1	1
342	нами в	1	1
343	бы только	1	1
344	во многих	4	1
345	и если	2	1
346	мы совершенно	1	1
347	главным образом	2	1
348	ведь и	2	1
349	большей или	1	1
350	все другие	2	1
351	поскольку он	2	1
352	к какой-либо	1	1
353	всех этих	1	1
354	не значит	1	1
355	прочим и	2	1
356	ни была	1	1
357	в россии	5	1
358	все ее	1	1
359	вообще не	3	1
360	две проблемы	1	1
361	какой бы	2	1
362	и по	5	1
363	наконец его	1	1
364	значительной степени	1	1
365	сделать из	1	1
366	бы они	1	1
367	ли для	1	1
368	как они	1	1
369	в совершенно	1	1
370	значение в	1	1
371	в предыдущем	4	1
372	ставится вопрос	1	1
373	к определению	1	1
374	своей особой	1	1
375	которая как	1	1
376	та и	1	1
377	человечества но	1	1
378	лишь на	1	1
379	истории и	1	1
380	и тем	3	1
381	каком же	1	1
382	она и	1	1
383	них то	1	1
384	сущность этого	1	1
385	с тем	3	1
386	одна и	2	1
387	всегда и	1	1
388	мы видели	3	1
389	отказаться от	1	1
390	здесь можно	1	1
391	еще в	1	1
392	как таковой	1	1
393	и различие	1	1
394	в других	2	1
395	или менее	1	1
396	все более	9	1
397	рассматривает как	1	1
398	может лишь	1	1
399	если и	1	1
400	или точнее	2	1
401	представить себе	1	1
402	сам и	1	1
403	и процесс	1	1
404	как совокупность	4	1
405	или вернее	2	1
406	далее в	1	1
407	для всякого	1	1
408	сведена к	1	1
409	этого содержания	1	1
410	мы отметим	1	1
411	которые в	1	1
412	творчества и	1	1
413	друг другу	1	1
414	же может	1	1
415	освободиться от	1	1
416	тем самым	5	1
417	с теми	1	1
418	тогда когда	2	1
419	и имеет	2	1
420	из их	1	1
421	логики а	1	1
422	в разных	1	1
423	проблемы и	2	1
424	в самой	1	1
425	того в	1	1
426	к определенному	1	1
427	в русском	1	1
428	к ней	4	1
429	по своей	2	1
430	такая же	1	1
431	потому что	3	1
432	бы по	1	1
433	иную эпоху	1	1
434	же по	1	1
435	от конкретных	1	1
436	с изменениями	1	1
437	с другом	3	1
438	только наиболее	1	1
439	стороны и	6	1
440	можно поставить	1	1
441	всего в	2	1
442	одну и	2	1
443	той или	4	1
444	людей в	1	1
445	значение как	1	1
446	существует только	1	1
447	в применении	3	1
448	тех изменений	1	1
449	всех случаях	3	1
450	из всего	1	1
451	не делает	1	1
452	то она	1	1
453	от друга	2	1
454	здесь говорить	1	1
455	идеологическим и	1	1
456	воспринять как	1	1
457	к какой	1	1
458	последнее время	1	1
459	ли с	1	1
460	котором мы	1	1
461	по природе	1	1
462	осуществляется в	1	1
463	имеется в	1	1
464	в осуществлении	1	1
465	для этого	1	1
466	и сменяют	1	1
467	в определенной	1	1
468	может в	1	1
469	слово на	1	1
470	для мышления	1	1
471	не означает	2	1
472	и что	2	1
473	находятся в	1	1
474	идет о	3	1
475	ее и	1	1
476	аналогии с	1	1
477	в значительной	2	1
478	не выходит	1	1
479	затем в	1	1
480	в которую	1	1
481	к нему	2	1
482	осязать в	1	1
483	к идеологии	2	1
484	homo sapiens	1	1
485	противоположных направлениях	1	1
486	отметить что	3	1
487	во всей	2	1
488	также в	2	1
489	в ту	1	1
490	в лучшем	1	1
491	в каких	1	1
492	ее например	1	1
493	в каждую	1	1
494	в точном	1	1
495	среде а	1	1
496	мы видим	2	1
497	речи о	1	1
498	с ними	1	1
499	именно о	1	1
500	мы увидим	1	1
501	смысле является	1	1
502	или же	1	1
503	бы ни	3	1
504	от них	3	1
505	с одной	8	1
506	к какому	1	1
507	уже не	1	1
508	уже в	1	1
509	значение и	1	1
510	это значение	1	1
511	рано или	2	1
512	при помощи	2	1
513	связывается с	1	1
514	ту или	3	1
515	в одном	2	1
516	техники и	4	1
517	значении которое	1	1
518	не о	1	1
519	времени она	1	1
520	само по	4	1
521	спросить действительно	1	1
522	как естественная	1	1
523	друг от	2	1
524	определяется в	1	1
525	к двум	1	1
526	образом к	1	1
527	или поздно	2	1
528	одной стороны	8	1
529	со стороны	5	1
530	выходит за	1	1
531	эти две	1	1
532	или меньшей	1	1
533	и области	3	1
534	на которые	1	1
535	что для	1	1
536	отдельные индивиды	1	1
537	в любой	1	1
538	же обстоит	1	1
539	она является	1	1
540	принадлежит не	1	1
541	так называемой	1	1
542	не допускает	1	1
543	него не	1	1
544	что мы	1	1
545	приближены к	1	1
546	в xviii	1	1
547	входить в	1	1
548	ответить на	1	1
549	ко всем	1	1
550	отдельных областей	1	1
551	как это	4	1
552	в рамках	1	1
553	имеются в	1	1
554	но не	5	1
555	их к	1	1
556	к жизни	1	1
557	а если	1	1
558	она есть	1	1
559	в той	5	1
560	применении к	3	1
561	его жизни	1	1
562	в пределы	3	1
563	и всей	1	1
564	для понимания	2	1
565	мы же	1	1
566	друг с	3	1
567	значит что	1	1
568	многих других	1	1
569	это значит	2	1
570	мы сказали	1	1
571	ли не	1	1
572	эти два	1	1
573	на пути	1	1
574	в гораздо	2	1
575	и каждая	2	1
576	между прочим	7	1
577	чем та	1	1
578	народа и	1	1
579	в более	1	1
580	вопрос в	1	1
581	строить не	1	1
582	известной степени	3	1
583	в обмене	1	1
584	идеологии на	1	1
585	при таком	1	1
586	в силах	1	1
587	значение лишь	1	1
588	более всего	1	1
589	в большей	1	1
590	здесь на	1	1
591	же к	2	1
592	следующей за	1	1
593	обстоит дело	3	1
594	же касается	1	1
595	бы на	1	1
596	и другие	1	1
597	идеологическом смысле	1	1
598	с ней	1	1
599	но этот	1	1
600	в последнем	1	1
601	иметь не	1	1
602	не способны	1	1
603	ее в	3	1
604	можно назвать	1	1
605	и законченной	1	1
606	этой точки	5	1
607	гораздо более	1	1
608	областей и	3	1
