N	2gram	Losev_Vlad_3	Poddanst
102	духа и	1	2
103	и весьма	3	2
104	истина эта	1	2
105	к чему	1	2
106	думать что	1	2
107	но о	3	2
108	в начале	2	2
109	и других	1	2
110	в его	14	2
111	из них	2	2
112	в виде	13	2
113	не к	2	2
114	в силу	2	2
115	и вот	1	2
116	как раз	10	2
117	в последние	1	2
118	в статье	1	2
119	и с	9	2
120	именно в	3	2
121	и мы	1	2
122	iii в	1	2
123	мира с	1	2
124	и тем	3	2
125	в жизни	2	2
126	для них	1	2
127	в них	1	2
128	церкви и	3	2
129	не было	5	2
130	а не	8	2
131	должно быть	5	2
132	нужно было	1	2
133	в европе	2	2
134	не столько	3	2
135	не будем	1	2
136	друг другу	1	2
137	для тех	2	2
138	что из	1	2
139	не менее	9	2
140	все это	1	2
141	между прочим	5	2
142	не о	2	2
143	на этих	1	2
144	одна из	1	2
145	и право	1	2
146	да и	6	2
147	еще более	1	2
148	для нас	5	2
149	может и	1	2
150	в частности	1	2
151	как на	3	2
152	том числе	1	2
153	гласит что	1	1
154	также что	1	1
155	также и	17	1
156	проблема эта	1	1
157	же как	3	1
158	теми кто	1	1
159	не очень	2	1
160	и веры	1	1
161	и то	9	1
162	тем и	1	1
163	как известно	1	1
164	можно дать	1	1
165	нового не	1	1
166	в иных	1	1
167	в себя	1	1
168	по преимуществу	2	1
169	к жизни	1	1
170	должна быть	2	1
171	стремиться к	1	1
172	был и	2	1
173	только а	1	1
174	поскольку она	1	1
175	его нет	1	1
176	те же	1	1
177	не с	4	1
178	особенно в	1	1
179	христианства в	1	1
180	и само	2	1
181	как таковую	1	1
182	еще в	5	1
183	к первому	2	1
184	тем чем	2	1
185	находится в	3	1
186	не вполне	2	1
187	оно есть	6	1
188	на себя	2	1
189	с ее	1	1
190	мы и	2	1
191	и здесь	6	1
192	вопроса и	1	1
193	может не	1	1
194	настоящее время	3	1
195	и что	8	1
196	государство и	1	1
197	притом в	1	1
198	еще не	4	1
199	и на	6	1
200	она всегда	1	1
201	он был	2	1
202	мира а	1	1
203	с того	1	1
204	без которой	2	1
205	утверждается что	1	1
206	последняя и	1	1
207	с его	2	1
208	вопросу о	1	1
209	к истине	1	1
210	и главное	1	1
211	смысле не	1	1
212	не все	3	1
213	борьбе с	1	1
214	что и	7	1
215	отличие от	3	1
216	не просто	10	1
217	востока и	1	1
218	и чем	1	1
219	все существующее	1	1
220	сущность в	1	1
221	в истории	5	1
222	а она	1	1
223	эта проблема	1	1
224	тех пор	1	1
225	как начало	1	1
226	известном смысле	1	1
227	мира который	1	1
228	мысль и	1	1
229	все же	4	1
230	и где	1	1
231	наше сознание	1	1
232	у в	1	1
233	мы видим	1	1
234	более или	5	1
235	в какой	2	1
236	веры в	1	1
237	и живое	1	1
238	и греческой	1	1
239	тяготеет к	1	1
240	в самом	4	1
241	только то	2	1
242	но как	2	1
243	в которой	2	1
244	бы и	4	1
245	что это	9	1
246	их не	1	1
247	из этих	3	1
248	если мы	4	1
249	леонтьева и	1	1
250	в эти	1	1
251	в известном	1	1
252	соловьев и	12	1
253	и любви	1	1
254	что его	2	1
255	мира но	1	1
256	уже в	3	1
257	говорить об	1	1
258	только на	5	1
259	на то	4	1
260	но на	2	1
261	наш взгляд	1	1
262	личный опыт	1	1
263	веры и	1	1
264	можно думать	2	1
265	соловьева и	11	1
266	только к	2	1
267	тем чтобы	1	1
268	мы знаем	3	1
269	нужно говорить	1	1
270	идеи и	2	1
271	как область	1	1
272	не как	2	1
273	иначе как	1	1
274	последние годы	1	1
275	богов и	1	1
276	что каждая	1	1
277	друг друга	2	1
278	чтобы в	1	1
279	и только	3	1
280	каково же	1	1
281	само по	3	1
282	какой бы	1	1
283	на наш	1	1
284	и по	2	1
285	одно и	2	1
286	широкого размаха	1	1
287	для философии	1	1
288	бы это	2	1
289	и признаки	1	1
290	представляют собой	1	1
291	как автор	1	1
292	возможно что	1	1
293	или иной	1	1
294	из всех	1	1
295	на этой	1	1
296	ясно что	1	1
297	его в	2	1
298	в душе	1	1
299	человеческая воля	1	1
300	бы эти	1	1
301	сущности а	1	1
302	а с	4	1
303	в природе	1	1
304	и истина	1	1
305	были в	2	1
306	в это	2	1
307	которая и	1	1
308	каком смысле	1	1
309	к более	1	1
310	кто не	1	1
311	далеко не	3	1
312	в этой	8	1
313	идеи в	1	1
314	признавать что	1	1
315	как и	7	1
316	с которым	1	1
317	имеет к	1	1
318	в свете	1	1
319	к стремлению	1	1
320	во христе	1	1
321	это освобождение	1	1
322	должна относиться	1	1
323	нисколько не	3	1
324	когда в	1	1
325	в одно	2	1
326	начал со	1	1
327	вселенской церкви	1	1
328	и еще	2	1
329	всемирной истории	1	1
330	или менее	5	1
331	что если	4	1
332	в творчестве	1	1
333	что истина	2	1
334	и при	1	1
335	бытия как	1	1
336	работы в	1	1
337	не дается	2	1
338	так же	8	1
339	представить себе	1	1
340	всяком случае	3	1
341	прийти к	1	1
342	того чем	1	1
343	место в	1	1
344	в отличие	3	1
345	знаем что	2	1
346	бы мы	1	1
347	в данном	5	1
348	вопрос о	4	1
349	только идея	1	1
350	предстоит в	1	1
351	можно говорить	1	1
352	эта не	1	1
353	науки и	1	1
354	думается что	1	1
355	эти черты	1	1
356	и более	2	1
357	того кто	1	1
358	распадается на	1	1
359	в древней	1	1
360	и вся	2	1
361	от тех	1	1
362	этой области	1	1
363	что есть	3	1
364	и другим	1	1
365	в основном	4	1
366	как живую	1	1
367	стремление к	1	1
368	что эта	2	1
369	с которой	1	1
370	она не	2	1
371	что с	1	1
372	иной раз	6	1
373	не будут	1	1
374	есть прежде	2	1
375	но для	3	1
376	правде и	2	1
377	которые были	2	1
378	этом смысле	3	1
379	она должна	2	1
380	должны в	1	1
381	только мы	1	1
382	миру в	1	1
383	можно судить	1	1
384	того чтобы	3	1
385	проблема и	1	1
386	об отношении	2	1
387	не имеет	4	1
388	никогда не	11	1
389	и всегда	2	1
390	в результате	4	1
391	в настоящее	3	1
392	чтобы понять	1	1
393	о сущем	1	1
394	и притом	3	1
395	полноты и	1	1
396	что по	1	1
397	будут и	1	1
398	другой стороны	2	1
399	только что	2	1
400	и теперь	1	1
401	в этих	2	1
402	чем оно	1	1
403	нет ничего	2	1
404	в каком	4	1
405	конечно и	1	1
406	и политики	1	1
407	есть у	1	1
408	в философии	3	1
409	половины xix	1	1
410	отношением к	1	1
411	только как	1	1
412	о духе	1	1
413	исходить из	1	1
414	является и	1	1
415	относиться к	1	1
416	что все	7	1
417	живого и	1	1
418	есть и	4	1
419	ни к	2	1
420	духовный опыт	1	1
421	в трех	1	1
422	к сожалению	1	1
423	к этой	2	1
424	ни на	2	1
425	и другие	1	1
426	не есть	10	1
427	вместе с	7	1
428	все еще	1	1
429	что при	1	1
430	который не	1	1
431	в последующие	1	1
432	во всяком	3	1
433	они не	1	1
434	гораздо более	1	1
