N	2gram	Propp_Russ_1	VrazhdaK
116	его и	2	2
117	к ним	3	2
118	с которым	1	2
119	о чем	3	2
120	начиная с	3	2
121	в честь	3	2
122	не может	4	2
123	вместе с	10	2
124	и а	4	2
125	ii этот	1	2
126	в среде	1	2
127	довольно много	2	2
128	в это	3	2
129	но это	4	2
130	что я	1	2
131	же в	1	2
132	а в	9	2
133	а н	18	2
134	в период	1	2
135	в свою	3	2
136	как известно	2	1
137	можно говорить	2	1
138	он черпал	1	1
139	также и	1	1
140	подтверждается тем	1	1
141	того же	1	1
142	н ф	1	1
143	е годы	2	1
144	ему не	1	1
145	по преимуществу	1	1
146	в их	4	1
147	по его	1	1
148	из всех	1	1
149	полагает что	6	1
150	еще до	2	1
151	говорить о	1	1
152	в разные	2	1
153	ему в	1	1
154	был еще	1	1
155	в числе	2	1
156	и был	1	1
157	это время	2	1
158	него он	1	1
159	и пытался	1	1
160	одном из	1	1
161	на них	1	1
162	крестьян и	1	1
163	по своему	1	1
164	а следовательно	1	1
165	как правило	3	1
166	в петербурге	1	1
167	совсем не	1	1
168	но не	2	1
169	не все	1	1
170	если в	3	1
171	как показал	1	1
172	тут же	2	1
173	в е	2	1
174	что они	7	1
175	на стол	4	1
176	искал в	1	1
177	как по	2	1
178	же с	1	1
179	независимо от	2	1
180	как в	5	1
181	с этим	2	1
182	некоторое время	1	1
183	сходство между	2	1
184	и наконец	1	1
185	состояло в	2	1
186	что это	3	1
187	в целом	2	1
188	не был	1	1
189	за это	1	1
190	и и	2	1
191	тому же	1	1
192	во многих	5	1
193	превращен в	1	1
194	этот вывод	1	1
195	как он	2	1
196	в названных	1	1
197	в первой	1	1
198	всех этих	2	1
199	чем у	2	1
200	на первое	1	1
201	в силу	2	1
202	ее своей	1	1
203	называя его	1	1
204	совпадают с	3	1
205	их и	3	1
206	года на	2	1
207	было бы	1	1
208	в жизни	2	1
209	типичен для	1	1
210	писал о	1	1
211	не всегда	1	1
212	которой он	1	1
213	он и	1	1
214	в москве	3	1
215	в развитии	1	1
216	года и	1	1
217	такой же	2	1
218	одного и	1	1
219	в этих	3	1
220	или вообще	1	1
221	и их	4	1
222	год а	1	1
223	записи в	1	1
224	всяком случае	1	1
225	могли иметь	1	1
226	этому же	2	1
227	как указывает	1	1
228	вторая часть	1	1
229	представление о	3	1
230	далее в	2	1
231	своего рода	3	1
232	не будем	3	1
233	ряда других	1	1
234	ее для	1	1
235	тем не	3	1
236	не могли	1	1
237	с такими	1	1
238	что этот	4	1
239	связь этого	1	1
240	всех их	1	1
241	вплоть до	4	1
242	но они	3	1
243	не имеет	6	1
244	русский народ	1	1
245	было не	1	1
246	из их	1	1
247	следовательно и	1	1
248	все свои	1	1
249	ничего не	3	1
250	того как	5	1
251	того в	1	1
252	в окно	2	1
253	это слово	1	1
254	потому что	10	1
255	до того	2	1
256	этом отношении	1	1
257	не знали	2	1
258	такие же	1	1
259	тем это	1	1
260	в духе	1	1
261	могут быть	2	1
262	ли не	1	1
263	сходство с	2	1
264	же только	1	1
265	уже на	1	1
266	ничего общего	2	1
267	не совсем	4	1
268	у себя	1	1
269	свою очередь	2	1
270	только при	1	1
271	не могло	1	1
272	м е	4	1
273	но мы	1	1
274	идет не	1	1
275	то время	1	1
276	и сам	1	1
277	так и	7	1
278	не с	3	1
279	было в	1	1
280	еще в	4	1
281	вошел в	1	1
282	во второй	1	1
283	жизнь и	1	1
284	быть может	1	1
285	и вообще	1	1
286	год в	2	1
287	во всяком	1	1
288	можно объяснить	2	1
289	это влияние	1	1
290	второй половине	1	1
291	нас в	1	1
292	к нему	1	1
293	во всех	4	1
294	от них	3	1
295	говорить об	1	1
296	полагали что	2	1
297	из своего	1	1
298	во всей	1	1
299	в форме	1	1
300	также в	3	1
301	в свете	2	1
302	к которому	1	1
303	имеется в	1	1
304	этих строк	1	1
305	один из	8	1
306	сразу же	1	1
307	оказалось что	1	1
308	он уже	1	1
309	и раньше	1	1
310	в качестве	3	1
311	своем дневнике	1	1
312	сколько в	1	1
313	и ненависти	1	1
314	прямо в	1	1
315	к своим	1	1
316	что для	1	1
317	говорит о	1	1
318	в одном	3	1
319	привела к	1	1
320	каждый из	1	1
321	не сохранилось	1	1
322	не просто	2	1
323	от того	1	1
324	перед ними	1	1
325	ф м	1	1
326	давно был	1	1
327	в особенности	2	1
328	что пишет	1	1
329	так не	1	1
330	и из	3	1
331	такое же	2	1
332	тогда же	1	1
333	из сибири	5	1
334	воспоминания о	2	1
335	а п	2	1
336	только по	2	1
337	что им	1	1
338	на этот	3	1
339	до конца	2	1
340	и самый	1	1
341	обычно не	2	1
342	безо всякой	1	1
343	себя на	1	1
344	в частности	2	1
345	уверенности что	1	1
346	года когда	1	1
347	в цель	1	1
348	или по	1	1
349	из которых	1	1
350	предположить что	2	1
351	не дают	1	1
352	первое место	1	1
353	того что	4	1
354	н и	1	1
355	в основном	3	1
356	с последним	1	1
357	между прочим	2	1
358	но для	1	1
359	под влиянием	1	1
360	к вопросу	2	1
361	ближе к	1	1
362	марта и	1	1
363	и другими	2	1
364	о котором	1	1
365	это как	1	1
366	тот кто	1	1
367	хотя и	2	1
368	христа и	3	1
369	к русским	1	1
370	уже давно	1	1
371	нам не	1	1
372	быть и	2	1
373	а б	1	1
374	только как	1	1
375	только о	1	1
376	жизни и	1	1
377	которому в	1	1
378	как на	1	1
379	в таком	1	1
380	точно так	1	1
381	все что	1	1
382	они не	1	1
