N	2gram	Savitsky_P_1	Literetu
211	бытия как	1	1
212	в других	1	1
213	числе и	1	1
214	в наши	1	1
215	в последующие	1	1
216	и о	5	1
217	того чтобы	1	1
218	и правит	1	1
219	вечности и	1	1
220	на основе	1	1
221	в собственном	1	1
222	как по	1	1
223	мысль о	2	1
224	государства в	1	1
225	только то	1	1
226	культуры и	1	1
227	в пределах	8	1
228	культуры на	1	1
229	на нее	1	1
230	на заре	1	1
231	как таковую	1	1
232	в сочетании	2	1
233	и наряду	1	1
234	в глубинах	2	1
235	гордыня и	1	1
236	находится в	1	1
237	сводится к	3	1
238	как мастер	1	1
239	притом в	1	1
240	пор пока	1	1
241	не властно	1	1
242	грань между	1	1
243	переходит в	1	1
244	выступает как	1	1
245	в преодолении	1	1
246	и мы	2	1
247	тех пор	1	1
248	и слабость	1	1
249	богом и	1	1
250	в эти	1	1
251	человека с	1	1
252	только на	1	1
253	тем чтобы	1	1
254	не все	1	1
255	эстетических достоинств	1	1
256	где бы	2	1
257	мир в	1	1
258	да в	1	1
259	во всей	2	1
260	до тех	1	1
261	в исторической	1	1
262	или иной	1	1
263	не просто	1	1
264	именно в	2	1
265	в психологии	1	1
266	а с	1	1
267	к более	1	1
268	кто не	1	1
269	и умножить	1	1
270	как явление	1	1
271	к победе	1	1
272	в ряду	2	1
273	мыслилась как	1	1
274	что мы	3	1
275	не об	1	1
276	россия в	3	1
277	в творчестве	1	1
278	так же	1	1
279	усомниться в	1	1
280	в перспективе	2	1
281	и потому	4	1
282	со столь	1	1
283	наряду с	3	1
284	в тот	2	1
285	в развитии	1	1
286	и менее	1	1
287	в своем	4	1
288	в это	1	1
289	для тех	2	1
290	его в	1	1
291	в основном	1	1
292	в смысле	6	1
293	в недрах	2	1
294	и где	1	1
295	и другим	1	1
296	всего что	1	1
297	еще более	2	1
298	ни к	1	1
299	бы за	1	1
300	исключительно в	2	1
301	в ходе	1	1
302	отношении к	5	1
303	нет ничего	1	1
304	к истокам	1	1
305	только как	1	1
306	переход от	2	1
307	культуры в	2	1
308	имеет не	2	1
309	есть и	1	1
310	в делах	1	1
311	частности в	1	1
312	а я	5	1
313	который не	1	1
314	русской литературы	1	1
315	они не	1	1
316	гораздо более	1	1
