N	2gram	Losev_Vlad_1	VelikijI
266	не для	1	1
267	отношение к	3	1
268	в недостаточной	1	1
269	но что	3	1
270	бытия и	1	1
271	у него	15	1
272	и по	8	1
273	на этом	2	1
274	он так	2	1
275	и вместе	1	1
276	ее на	1	1
277	человека в	1	1
278	наука не	1	1
279	для того	2	1
280	то ни	1	1
281	в состоянии	1	1
282	не были	2	1
283	и с	14	1
284	было не	1	1
285	с другой	3	1
286	кто знает	1	1
287	которого не	1	1
288	его личности	1	1
289	есть не	1	1
290	еще и	7	1
291	и тем	1	1
292	были в	2	1
293	даже что	1	1
294	говорит о	1	1
295	формах в	1	1
296	был в	3	1
297	мы скажем	1	1
298	тогда говорил	1	1
299	человеческой жизни	1	1
300	и уже	1	1
301	с которым	2	1
302	жизнь в	2	1
303	для чего	1	1
304	было для	1	1
305	жизни но	1	1
306	о чем	1	1
307	только несколько	1	1
308	выше всех	1	1
309	и своим	1	1
310	него не	3	1
311	него в	2	1
312	таким же	1	1
313	бог есть	1	1
314	вместе с	3	1
315	так же	1	1
316	как это	7	1
317	то есть	3	1
318	это сделали	1	1
319	еще с	1	1
320	мира вне	1	1
321	у нас	6	1
322	в изображении	1	1
323	он говорит	2	1
324	с такой	1	1
325	что тот	1	1
326	в одном	1	1
327	но я	3	1
328	а потом	1	1
329	в тот	2	1
330	нелюбовь к	1	1
331	человек с	1	1
332	свобода и	1	1
333	этого слова	1	1
334	с этой	1	1
335	и очень	3	1
336	раз и	3	1
337	на пути	1	1
338	любви и	1	1
339	в атмосфере	1	1
340	людям в	1	1
341	ничего кроме	1	1
342	на два	1	1
343	не по	2	1
344	боролся с	1	1
345	с уважением	1	1
346	указать на	2	1
347	но она	3	1
348	не существует	1	1
349	нам и	1	1
350	и от	5	1
351	тот день	1	1
352	найти в	1	1
353	и всегда	3	1
354	которая в	1	1
355	ничего не	3	1
356	человек и	1	1
357	в разных	1	1
358	может быть	6	1
359	вообще в	1	1
360	конце концов	3	1
361	во всем	4	1
362	вот что	3	1
363	основанной на	1	1
364	там он	1	1
365	на него	3	1
366	к жизни	2	1
367	но вот	1	1
368	уже и	2	1
369	связь с	1	1
370	жизни в	1	1
371	что на	2	1
372	человека что	1	1
373	хотели бы	3	1
374	о своем	1	1
375	и права	1	1
376	другой стороны	3	1
377	радость что	1	1
378	социализма и	1	1
379	и дал	1	1
380	но все	1	1
381	людей но	1	1
382	к этому	6	1
383	тайны и	1	1
384	в окончательном	1	1
385	и другие	1	1
386	в своих	5	1
387	слова с	1	1
388	и эта	1	1
389	в противоположность	1	1
390	но к	1	1
391	себя и	1	1
392	она не	1	1
393	и находить	1	1
