N	2gram	Medvedev_V_1	Tvorches
167	т п	9	2
168	человека таким	1	2
169	одна из	4	2
170	в основе	1	2
171	от жизни	1	2
172	но только	1	2
173	к ней	1	2
174	свидетельствует о	1	2
175	действий в	1	2
176	личности в	1	2
177	в духе	1	2
178	нет ни	2	2
179	могут быть	5	2
180	к тому	4	2
181	с традицией	1	2
182	в жизни	2	2
183	это время	1	2
184	в виду	4	2
185	данном случае	1	2
186	в в	1	2
187	мысль о	2	2
188	приводит к	5	2
189	так и	5	2
190	об этом	9	2
191	еще в	1	2
192	можно сказать	4	2
193	может не	2	2
194	и та	1	2
195	что его	2	2
196	переходит в	1	2
197	что и	3	2
198	во всей	2	2
199	крайней мере	2	2
200	вслед за	2	2
201	и мир	3	2
202	значит что	2	2
203	его произведений	2	2
204	в качестве	11	2
205	же и	2	2
206	и у	2	2
207	от других	1	2
208	при помощи	3	2
209	из них	9	2
210	не означает	1	2
211	свободе воли	1	2
212	ф м	1	2
213	только на	1	2
214	этой проблемы	3	2
215	именно в	2	2
216	своего собственного	1	2
217	что не	3	2
218	что для	3	2
219	в образах	1	2
220	зависит от	2	2
221	мира в	1	2
222	было в	2	2
223	в частности	11	2
224	вместе с	7	2
225	в него	1	2
226	еще более	1	2
227	перед нами	4	2
228	на эти	2	2
229	причем в	1	2
230	или в	3	2
231	ее и	1	2
232	из себя	2	2
233	только что	4	2
234	личности и	1	2
235	в стихах	1	2
236	сказать что	5	2
237	в глаза	1	2
238	одновременно и	1	2
239	в творческой	4	2
240	к этому	9	2
241	как известно	2	1
242	этого в	1	1
243	в сфере	2	1
244	же как	2	1
245	в движение	1	1
246	чтобы не	2	1
247	и через	2	1
248	связана с	2	1
249	и есть	5	1
250	эта теория	2	1
251	очень много	1	1
252	этого мира	1	1
253	и впечатления	2	1
254	видения мира	1	1
255	и этот	2	1
256	уже по	2	1
257	также и	2	1
258	их и	4	1
259	всей ее	1	1
260	мы имеем	3	1
261	что если	1	1
262	единство и	1	1
263	не слишком	1	1
264	время как	1	1
265	говорить о	2	1
266	образом уже	1	1
267	но даже	3	1
268	то это	2	1
269	этом плане	1	1
270	разобраться в	2	1
271	не способен	1	1
272	жизни это	1	1
273	проявляется в	1	1
274	чем отличается	1	1
275	еще не	2	1
276	по этому	9	1
277	он был	1	1
278	между собой	1	1
279	воображение и	2	1
280	как один	1	1
281	во всех	6	1
282	сознания а	1	1
283	это имеет	1	1
284	его сознания	1	1
285	по отношению	7	1
286	к творчеству	1	1
287	а и	1	1
288	некоторые черты	1	1
289	как верно	1	1
290	воплощенной в	1	1
291	к сожалению	2	1
292	в истории	1	1
293	как говорит	5	1
294	с этим	3	1
295	своем творчестве	3	1
296	в художественном	10	1
297	кроме того	1	1
298	частей и	1	1
299	сознания в	1	1
300	целый ряд	1	1
301	что по	1	1
302	к этой	1	1
303	и к	3	1
304	или иную	1	1
305	всего лишь	3	1
306	при создании	3	1
307	бы и	6	1
308	к необходимости	1	1
309	под ним	1	1
310	формы в	1	1
311	романов тургенева	1	1
312	говоря если	1	1
313	он в	1	1
314	все эти	6	1
315	его содержания	1	1
316	чуть ли	2	1
317	в известном	1	1
318	этого образа	1	1
319	достоевского таким	1	1
320	имеем в	1	1
321	тому же	1	1
322	мнение что	1	1
323	борьба противоположностей	1	1
324	если он	1	1
325	н в	1	1
326	и если	1	1
327	три года	2	1
328	очень важную	1	1
329	в статье	4	1
330	да и	1	1
331	т д	14	1
332	одного лица	1	1
333	всех этих	2	1
334	не значит	1	1
335	сознает свою	1	1
336	идеи и	6	1
337	собой не	1	1
338	что еще	1	1
339	на этом	1	1
340	его можно	1	1
341	заключает в	1	1
342	с законами	1	1
343	искусстве это	1	1
344	а вместе	1	1
345	же не	1	1
346	им как	2	1
347	активности сознания	1	1
348	обусловлена и	1	1
349	его не	3	1
350	отнюдь нет	3	1
351	в несколько	1	1
352	рождается из	2	1
353	его в	3	1
354	это было	1	1
355	заключается в	2	1
356	это состояние	1	1
357	года на	1	1
358	было бы	7	1
359	то все	1	1
360	роль в	4	1
361	внутренне противоречив	1	1
362	приходит в	1	1
363	рассудком и	2	1
364	война и	2	1
365	ни в	1	1
366	для них	1	1
367	в них	4	1
368	он же	5	1
369	эти годы	1	1
370	показывает что	1	1
371	с этой	1	1
372	с тем	3	1
373	в действии	1	1
374	он и	2	1
375	не заметить	1	1
376	духовной жизни	1	1
377	пародия на	2	1
378	их на	1	1
379	от возможности	1	1
380	отрыве от	1	1
381	что такое	2	1
382	рассказа о	1	1
383	и ее	4	1
384	что до	1	1
385	не решена	1	1
386	над своими	2	1
387	не самый	1	1
388	завершается эта	1	1
389	и эдгар	1	1
390	для многих	2	1
391	может вызвать	1	1
392	образом и	1	1
393	замысел и	2	1
394	всех против	1	1
395	в философии	4	1
396	в прямом	1	1
397	как от	2	1
398	том же	6	1
399	что этот	1	1
400	по себе	2	1
401	а вот	2	1
402	тому что	6	1
403	изоляции от	1	1
404	этой области	3	1
405	роль играют	1	1
406	вплоть до	2	1
407	дня и	1	1
408	в таких	1	1
409	что эта	1	1
410	не имеет	1	1
411	что их	1	1
412	к этим	2	1
413	на него	1	1
414	в процессе	16	1
415	в плане	5	1
416	и имеет	1	1
417	этой схемы	1	1
418	это мы	3	1
419	для творчества	1	1
420	нельзя не	1	1
421	шел в	2	1
422	казалось бы	1	1
423	вот это	2	1
424	не вполне	2	1
425	жизни не	1	1
426	в самой	1	1
427	на себя	1	1
428	учения о	1	1
429	сложность и	1	1
430	в русском	1	1
431	это описание	1	1
432	фантазии а	1	1
433	в другую	2	1
434	и чувства	1	1
435	со своим	2	1
436	на некоторые	1	1
437	только с	2	1
438	в области	2	1
439	ли это	2	1
440	у нас	2	1
441	он вполне	1	1
442	один раз	1	1
443	уже о	1	1
444	начиная с	2	1
445	не могут	7	1
446	мало чем	1	1
447	принимается за	1	1
448	содержание в	1	1
449	что оно	3	1
450	бы он	1	1
451	что на	1	1
452	эдгар по	1	1
453	если же	1	1
454	она не	3	1
455	его художественной	1	1
456	сквозь призму	1	1
457	и это	1	1
458	эта мысль	1	1
459	в конце	3	1
460	но по	1	1
461	стихах и	1	1
462	свою очередь	1	1
463	внимание на	1	1
464	братьев карамазовых	2	1
465	всего этого	1	1
466	в ее	4	1
467	для характеристики	1	1
468	что делать?	1	1
469	другой стороны	8	1
470	вспомним хотя	1	1
471	реальной действительности	10	1
472	только не	2	1
473	только то	2	1
474	мы наблюдаем	2	1
475	однако эта	1	1
476	прямом смысле	1	1
477	если они	1	1
478	что у	2	1
479	решающую роль	1	1
480	что может	1	1
481	в образе	2	1
482	и опирается	1	1
483	самого автора	1	1
484	это вовсе	1	1
485	в социальном	1	1
486	утверждает что	3	1
487	часто в	1	1
488	говорил еще	1	1
489	но у	1	1
490	жизнь и	1	1
491	по мере	1	1
492	в таком	1	1
493	связанное с	2	1
494	в действительной	1	1
495	маркс и	1	1
496	произведение из	1	1
497	прямо и	1	1
498	никак не	1	1
499	и что	1	1
500	религии и	1	1
501	и просто	2	1
502	с того	1	1
503	все его	2	1
504	кажется что	1	1
505	как было	1	1
506	и многих	1	1
507	из главнейших	1	1
508	как у	2	1
509	знает что	1	1
510	души по	1	1
511	том или	1	1
512	между тем	5	1
513	от них	2	1
514	это указание	1	1
515	вообще и	2	1
516	под именем	1	1
517	так говорит	1	1
518	и самые	1	1
519	бросается в	1	1
520	действительности не	1	1
521	сновидения и	2	1
522	реальные события	1	1
523	каждого человека	1	1
524	как он	2	1
525	с ними	4	1
526	грань между	1	1
527	всех его	2	1
528	с одной	2	1
529	вот что	9	1
530	итак свобода	1	1
531	к идее	1	1
532	апреля года	2	1
533	даже целые	1	1
534	не знать	1	1
535	по законам	1	1
536	которых можно	1	1
537	не все	1	1
538	но с	2	1
539	слова не	1	1
540	рассказывает о	4	1
541	был прав	1	1
542	мышления и	1	1
543	протекать в	1	1
544	его и	1	1
545	разума и	3	1
546	ту или	1	1
547	мы знаем	3	1
548	и главным	2	1
549	ведь это	1	1
550	в прозе	1	1
551	могло бы	2	1
552	в одном	4	1
553	сами по	1	1
554	к ним	1	1
555	но что	1	1
556	от апреля	2	1
557	отметить что	2	1
558	заметить что	1	1
559	тем что	1	1
560	даже и	3	1
561	не противоречит	1	1
562	не было	7	1
563	нет нужды	1	1
564	без всякой	1	1
565	развития в	1	1
566	видим что	1	1
567	и из	1	1
568	до сих	1	1
569	его произведении	1	1
570	совершенно точно	1	1
571	эдгара по	1	1
572	для этого	1	1
573	чем он	1	1
574	достоевского л	1	1
575	представляет собою	11	1
576	по выражению	1	1
577	наконец в	1	1
578	себя и	1	1
579	говорят об	1	1
580	этом у	1	1
581	естественно что	2	1
582	шкловский в	1	1
583	и их	3	1
584	одной стороны	2	1
585	связи с	4	1
586	он только	1	1
587	мир а	1	1
588	на этот	1	1
589	а наоборот	1	1
590	и самый	1	1
591	жизнь в	1	1
592	п к	1	1
593	так называемой	1	1
594	о чем	2	1
595	романы достоевского	1	1
596	идет в	1	1
597	другие в	1	1
598	из элементов	2	1
599	него в	3	1
600	как это	12	1
601	из действительной	1	1
602	если так	1	1
603	по своему	1	1
604	в сферу	1	1
605	самого себя	2	1
606	у этого	1	1
607	это значит	1	1
608	человеческой психики	1	1
609	толстого в	3	1
610	л толстой	10	1
611	материал для	1	1
612	ли не	2	1
613	слова и	1	1
614	сейчас же	1	1
615	художественное произведение	5	1
616	и некоторые	1	1
617	сих пор	1	1
618	только для	1	1
619	о его	2	1
620	отличается от	2	1
621	между прочим	2	1
622	же самое	2	1
623	признается в	1	1
624	как раз	3	1
625	пока еще	2	1
626	вне его	2	1
627	и сам	1	1
628	в более	1	1
629	и борьба	1	1
630	процессе художественного	3	1
631	жорж санд	4	1
632	форм и	1	1
633	в связи	3	1
634	но на	1	1
635	в точном	2	1
636	еще раз	1	1
637	во время	3	1
638	от него	1	1
639	о достоевском	1	1
640	у которого	1	1
641	конце концов	2	1
642	ее основных	1	1
643	все они	2	1
644	стихотворения и	1	1
645	же в	6	1
646	романа и	1	1
647	хотя в	1	1
648	в искусстве	6	1
649	и вдруг	1	1
650	в целях	2	1
651	этот вопрос	3	1
652	необходимое условие	1	1
653	связанный с	1	1
654	убедительность и	1	1
655	от всех	1	1
656	развитие образа	1	1
657	равно как	4	1
658	природе и	1	1
659	к его	2	1
660	важную в	1	1
661	отношению к	7	1
662	т е	18	1
663	бы его	1	1
664	исключительное значение	1	1
665	в какой	1	1
666	о нем	1	1
667	художественного творчества	18	1
668	во сне	21	1
