N	2gram	Nazirov_Tv_1	TeoriaLi
385	и против	2	1
386	в таких	1	1
387	ее не	1	1
388	быть без	1	1
389	все мы	1	1
390	по крайней	2	1
391	не имеет	1	1
392	дело в	3	1
393	одна из	2	1
394	писал он	1	1
395	к этим	1	1
396	которого он	2	1
397	свободы и	2	1
398	героев и	3	1
399	пространственно-временное единство	1	1
400	нельзя не	1	1
401	народной жизни	1	1
402	жизни не	1	1
403	в самой	1	1
404	от него	1	1
405	связи с	1	1
406	анекдота не	1	1
407	ту или	1	1
408	и генерализации	1	1
409	возможно в	1	1
410	в большой	1	1
411	не по	3	1
412	и делает	1	1
413	однако это	1	1
414	в падении	1	1
415	у нас	1	1
416	в момент	4	1
417	не могут	1	1
418	ли не	1	1
419	указывает на	1	1
420	вырождается в	1	1
421	в каждом	3	1
422	оно не	1	1
423	быть назван	1	1
424	она не	1	1
425	время они	1	1
426	говорит о	3	1
427	а затем	2	1
428	по-разному в	1	1
429	меня в	1	1
430	людей в	2	1
431	это еще	1	1
432	к нам	1	1
433	в собственном	1	1
434	по сути	4	1
435	мысль о	2	1
436	реальной действительности	1	1
437	только то	1	1
438	стыда за	1	1
439	значение в	1	1
440	своего достоинства	1	1
441	особенно в	1	1
442	с самим	1	1
443	живет в	2	1
444	в композиции	1	1
445	начала и	1	1
446	и религии	1	1
447	жизнь и	1	1
448	для этого	1	1
449	к языку	1	1
450	с ним	3	1
451	означает что	1	1
452	настоящее время	2	1
453	никак не	1	1
454	одного из	2	1
455	может не	2	1
456	в сущности	1	1
457	и многих	1	1
458	вопросу о	1	1
459	под именем	1	1
460	первой главе	1	1
461	и авторской	1	1
462	жизни он	2	1
463	в которую	1	1
464	эти два	1	1
465	стоит и	1	1
466	нуждается в	1	1
467	героев в	2	1
468	крайней мере	2	1
469	чем и	1	1
470	выступает как	1	1
471	наконец в	1	1
472	перед тем	2	1
473	художественном мире	1	1
474	человека как	2	1
475	глядя на	1	1
476	с лизой	1	1
477	жизнь на	2	1
478	один из	4	1
479	но с	1	1
480	в двух	2	1
481	эстетической ценности	1	1
482	тот же	2	1
483	и роман	1	1
484	в какой	1	1
485	путь к	1	1
486	даже если	1	1
487	их не	1	1
488	что ж	1	1
489	который в	3	1
490	со всеми	3	1
491	так что	2	1
492	от одной	1	1
493	же и	2	1
494	для всех	1	1
495	если мы	1	1
496	только на	2	1
497	из них	2	1
498	одно из	1	1
499	и их	1	1
500	ведь это	1	1
501	и мир	2	1
502	свободу от	2	1
503	в одном	1	1
504	в пространстве	2	1
505	и личной	1	1
506	так как	3	1
507	тому же	1	1
508	к ним	1	1
509	входят в	1	1
510	человек как	3	1
511	в первую	1	1
512	лишь один	1	1
513	представляют собой	1	1
514	каждое человеческое	1	1
515	он же	1	1
516	губы так	1	1
517	как у	1	1
518	отказаться от	2	1
519	с той	1	1
520	в уме	1	1
521	на чем	1	1
522	души и	1	1
523	мира это	1	1
524	что для	2	1
525	превращается в	1	1
526	не было	1	1
527	природе и	1	1
528	стремится к	3	1
529	зависит от	2	1
530	означало бы	1	1
531	с которым	2	1
532	жизнь в	1	1
533	в комнате	1	1
534	и я	1	1
535	когда же	1	1
536	быть определен	1	1
537	за свою	1	1
538	его как	2	1
539	в одно	2	1
540	время для	1	1
541	в связи	1	1
542	с помощью	1	1
543	закономерно приводит	1	1
544	что свобода	1	1
545	до этого	2	1
546	но кто	1	1
547	в одной	2	1
548	сути дела	3	1
549	будущее в	1	1
550	куда же	1	1
551	с некоторыми	1	1
552	одновременно и	2	1
553	было и	1	1
554	в мир	2	1
555	да и	1	1
556	у зеркала	1	1
557	пошлости и	1	1
558	авторская позиция	1	1
559	с этой	1	1
560	художественное произведение	1	1
561	известном смысле	1	1
562	к объекту	1	1
563	каждом человеке	2	1
564	к преступлению	1	1
565	должен слиться	1	1
566	о его	1	1
567	все это	10	1
568	я от	2	1
569	принципиально новой	1	1
570	и зло	1	1
571	к вопросу	1	1
572	мы по	1	1
573	является как	1	1
574	это уже	5	1
575	времени его	1	1
576	для автора	2	1
577	и от	4	1
578	все они	1	1
579	о котором	2	1
580	которая в	1	1
581	в настоящее	1	1
582	принимается за	1	1
583	места в	1	1
584	между вещами	2	1
585	действительной жизни	3	1
586	ни было	1	1
587	же в	1	1
588	не есть	1	1
589	в стихах	2	1
590	может и	1	1
591	от всех	1	1
592	не сами	1	1
593	автора в	1	1
594	согласен с	1	1
595	о литературе	1	1
596	я это	1	1
597	его произведений	2	1
598	что такое	1	1
599	просто не	3	1
600	жизни и	3	1
601	ее в	3	1
602	и другие	3	1
603	в своих	5	1
604	в таком	1	1
605	не принять	1	1
606	точно так	2	1
