N	2gram	Propp_Isto_6	Tragedij
266	он бы	1	1
267	могут быть	3	1
268	силой что	1	1
269	что оно	4	1
270	его с	3	1
271	за что	2	1
272	не есть	2	1
273	что при	2	1
274	утверждать что	2	1
275	где он	2	1
276	с образом	1	1
277	того самого	1	1
278	как мы	4	1
279	и о	1	1
280	того чтобы	1	1
281	человека с	1	1
282	с собой	2	1
283	можно было	2	1
284	в борьбе	1	1
285	когда в	2	1
286	а там	2	1
287	на них	1	1
288	стремление к	1	1
289	только за	1	1
290	а по	1	1
291	вот почему	3	1
292	это происходит	1	1
293	на вопрос	1	1
294	но мы	2	1
295	после того	2	1
296	с того	1	1
297	а также	4	1
298	от него	3	1
299	восходит к	1	1
300	способ создания	1	1
301	это была	1	1
302	между тем	1	1
303	теперь уже	1	1
304	им всем	1	1
305	отметить что	2	1
306	говорит он	2	1
307	в форме	2	1
308	все время	2	1
309	того что	2	1
310	он есть	1	1
311	сердца но	1	1
312	наблюдать и	1	1
313	мы видим	5	1
314	с ними	2	1
315	только сам	1	1
316	что даже	1	1
317	только в	5	1
318	как нечто	1	1
319	приходит в	2	1
320	с одной	7	1
321	именно на	2	1
322	есть в	1	1
323	этого мотива	4	1
324	и глаза	1	1
325	каким же	1	1
326	эти черты	1	1
327	дело с	1	1
328	чтобы он	1	1
329	рассказывает о	1	1
330	характерно что	1	1
331	одно из	1	1
332	всяком случае	2	1
333	и должна	1	1
334	ее не	3	1
335	к ним	1	1
336	ту сторону	1	1
337	и вместе	1	1
338	в особенности	1	1
339	никого не	2	1
340	даже не	1	1
341	на противоположном	1	1
342	и эту	1	1
343	именно в	1	1
344	близок к	2	1
345	на неудачу	1	1
346	и знает	1	1
347	что не	2	1
348	социальной жизни	1	1
349	не было	3	1
350	а на	1	1
351	попал в	3	1
352	на этот	1	1
353	а не	2	1
354	его как	1	1
355	на смерть	1	1
356	одну из	4	1
357	точности соответствует	1	1
358	этом случае	6	1
359	в связи	1	1
360	только раз	1	1
361	более чем	1	1
362	вместе с	8	1
363	эта связь	6	1
364	над ним	1	1
365	видит в	1	1
366	наряду с	3	1
367	смысле этого	1	1
368	не удалось	1	1
369	него есть	1	1
370	нам еще	2	1
371	этого слова	1	1
372	с этой	2	1
373	и от	3	1
374	на одной	1	1
375	в книге	4	1
376	не является	1	1
377	я знаю	1	1
378	причем в	1	1
379	это может	1	1
380	из себя	1	1
381	бы в	1	1
382	мог быть	1	1
383	превратился в	3	1
384	только что	2	1
385	обстоит дело	1	1
386	за этим	1	1
387	еще ничего	1	1
388	к женщине	1	1
389	в точности	1	1
390	в иной	1	1
391	эти же	1	1
392	т е	22	1
393	что под	1	1
394	есть и	4	1
395	время он	1	1
396	но еще	1	1
397	к этой	1	1
398	в сибири	1	1
399	вдруг на	1	1
400	и эта	3	1
401	это в	1	1
402	рот и	1	1
403	во всяком	2	1
