N	2gram	Propp_Russ_1	Tragedij
211	говорится о	2	1
212	в развитии	1	1
213	года и	1	1
214	или вообще	1	1
215	нас другой	1	1
216	но если	1	1
217	и при	1	1
218	взгляд на	1	1
219	во времена	1	1
220	и цель	1	1
221	не столько	1	1
222	представление о	3	1
223	должны были	2	1
224	начнем с	1	1
225	и один	1	1
226	тем не	3	1
227	и бьет	1	1
228	не могли	1	1
229	с такими	1	1
230	iii и	1	1
231	тому что	4	1
232	что христос	1	1
233	не менее	3	1
234	вплоть до	4	1
235	она не	2	1
236	считает что	1	1
237	того как	5	1
238	помещик в	1	1
239	это хорошо	1	1
240	значение этого	1	1
241	упоминается в	1	1
242	судя по	2	1
243	и всегда	1	1
244	или как	1	1
245	детей и	2	1
246	к ней	2	1
247	для нас	6	1
248	и теперь	1	1
249	особое значение	1	1
250	связи с	4	1
251	хозяина и	1	1
252	что на	4	1
253	в области	3	1
254	вопросу об	1	1
255	такая точка	1	1
256	могут быть	2	1
257	сходство с	2	1
258	что наш	1	1
259	его с	4	1
260	женщины на	1	1
261	как мы	10	1
262	и о	1	1
263	у себя	1	1
264	всего этого	1	1
265	с собой	4	1
266	можно было	1	1
267	на них	1	1
268	быть может	1	1
269	стремление к	1	1
270	является по	1	1
271	вот почему	1	1
272	но мы	1	1
273	встреча не	1	1
274	он повторил	1	1
275	после того	2	1
276	и который	1	1
277	а также	3	1
278	важнее для	1	1
279	чтобы не	1	1
280	от него	1	1
281	связь между	2	1
282	между тем	7	1
283	нуждается в	1	1
284	содержала и	1	1
285	в форме	1	1
286	в настоящей	1	1
287	о своих	1	1
288	свою рану	1	1
289	нет он	1	1
290	того что	4	1
291	был более	1	1
292	оказалось что	1	1
293	мы видим	2	1
294	и ненависть	1	1
295	согласиться с	1	1
296	с ними	5	1
297	только сам	1	1
298	только в	4	1
299	вот что	1	1
300	есть в	1	1
301	был заимствован	1	1
302	только на	3	1
303	свидетельствует о	1	1
304	за счет	2	1
305	в общем	1	1
306	него нет	1	1
307	одно из	5	1
308	на первую	1	1
309	и их	4	1
310	всяком случае	1	1
311	слова в	3	1
312	т п	1	1
313	чтобы она	1	1
314	и должна	1	1
315	они сами	1	1
316	с этими	1	1
317	к ним	3	1
318	в особенности	2	1
319	совершенно ином	1	1
320	из сибири	5	1
321	что не	1	1
322	объясняется тем	1	1
323	обратиться к	1	1
324	только по	2	1
325	не было	2	1
326	на этот	3	1
327	а не	2	1
328	с которым	1	1
329	с наступлением	1	1
330	его как	2	1
331	на смерть	1	1
332	в и	17	1
333	этом случае	5	1
334	в связи	4	1
335	себя на	1	1
336	вместе с	10	1
337	и потому	2	1
338	эта связь	1	1
339	в духе	1	1
340	может так	1	1
341	наряду с	1	1
342	в той	1	1
343	этого слова	3	1
344	с последним	1	1
345	на одной	1	1
346	не является	1	1
347	тем и	2	1
348	при таком	1	1
349	это как	1	1
350	тот кто	1	1
351	а к	1	1
352	в двух	1	1
353	это часто	1	1
354	к числу	1	1
355	в период	1	1
356	в иной	1	1
357	ко всему	1	1
358	т е	17	1
359	есть и	1	1
360	всегда была	1	1
361	в сибири	2	1
362	а нечто	1	1
363	во всяком	1	1
