N	2gram	Propp_Morf_1	VerxiiNi
265	нему в	1	1
266	что его	2	1
267	в чем	1	1
268	что вполне	1	1
269	друг к	2	1
270	произошло в	1	1
271	же она	2	1
272	по отношению	4	1
273	а и	3	1
274	вступают в	3	1
275	представители этой	1	1
276	более как	1	1
277	что так	1	1
278	отличие от	1	1
279	супруг супруга	1	1
280	что они	2	1
281	себя в	1	1
282	как по	1	1
283	в одной	1	1
284	как в	3	1
285	отсутствие некоторых	1	1
286	определить в	1	1
287	более и	1	1
288	что касается	1	1
289	могли бы	1	1
290	следует сказать	1	1
291	то в	3	1
292	к чему	3	1
293	не приходится	1	1
294	та же	2	1
295	формы в	1	1
296	то время	3	1
297	в нашем	3	1
298	не более	1	1
299	и тот	1	1
300	имеем в	6	1
301	если он	1	1
302	на его	4	1
303	в нашей	1	1
304	он должен	2	1
305	к разным	1	1
306	и более	1	1
307	чтобы в	1	1
308	постольку поскольку	1	1
309	на этом	3	1
310	прежде чем	3	1
311	а остальные	1	1
312	что она	2	1
313	прилетает к	1	1
314	сделать из	2	1
315	части которые	1	1
316	и детализации	1	1
317	бы быть	1	1
318	а по	3	1
319	говорить не	1	1
320	ли этот	2	1
321	его в	2	1
322	входит в	2	1
323	это было	3	1
324	это не	6	1
325	было бы	3	1
326	части одной	1	1
327	лишь на	2	1
328	чаще всего	7	1
329	из первых	2	1
330	песнь в	1	1
331	ни в	1	1
332	о характере	2	1
333	нет в	1	1
334	о которых	1	1
335	друга что	1	1
336	как видно	1	1
337	как и	3	1
338	во внимание	1	1
339	этим и	1	1
340	оно имеет	1	1
341	чем в	1	1
342	должно быть	1	1
343	героем и	1	1
344	или вообще	1	1
345	в своей	1	1
346	что такое	3	1
347	еще недостаточно	1	1
348	остались только	1	1
349	никто не	3	1
350	и леший	1	1
351	то для	1	1
352	и животным	1	1
353	есть величина	1	1
354	но эта	1	1
355	их в	1	1
356	однако в	2	1
357	не должно	1	1
358	даже в	1	1
359	заставляет его	2	1
360	сам он	3	1
361	от тех	1	1
362	вообще невозможно	1	1
363	если вообще	1	1
364	но они	1	1
365	что с	1	1
366	дело не	2	1
367	и отсюда	1	1
368	того как	2	1
369	уже очень	1	1
370	не по	2	1
371	элементами и	1	1
372	иметь в	1	1
373	может только	1	1
374	ничего не	4	1
375	под этим	1	1
376	с религией	1	1
377	видим что	10	1
378	за исключением	1	1
379	другой стороны	4	1
380	говорить лишь	1	1
381	бы по	1	1
382	для одной	1	1
383	от неба	1	1
384	в каком	2	1
385	и несколько	1	1
386	у нас	2	1
387	до земли	1	1
388	и далее	1	1
389	которое в	1	1
390	когда мы	1	1
391	требуют от	1	1
392	могут быть	16	1
393	следует заметить	2	1
394	должны быть	1	1
395	и другим	3	1
396	этого и	1	1
397	о происхождении	2	1
398	не есть	1	1
399	всегда так	1	1
400	таких слов	1	1
401	пор как	1	1
402	эти явления	1	1
403	прибавить к	1	1
404	с ее	1	1
405	как не	1	1
406	в количестве	2	1
407	людей в	1	1
408	здесь не	2	1
409	всего этого	1	1
410	без всякого	2	1
411	некоторые другие	1	1
412	данном случае	1	1
413	совершенно ясно	1	1
414	верно для	1	1
415	существовать и	1	1
416	как с	1	1
417	и совершенно	1	1
418	если они	2	1
419	богатства и	1	1
420	с собой	3	1
421	это мы	1	1
422	том как	1	1
423	что от	1	1
424	между собой	4	1
425	с этого	2	1
426	он сам	1	1
427	собой и	1	1
428	первом случае	3	1
429	то они	2	1
430	настоящее время	3	1
431	в глаза	2	1
432	после того	1	1
433	может не	1	1
434	до известной	1	1
435	известен и	1	1
436	выбор и	1	1
437	следит за	1	1
438	же очень	1	1
439	том или	1	1
440	во втором	3	1
441	а потому	1	1
442	на одном	1	1
443	во всей	1	1
444	представляли собой	1	1
445	встречается лишь	1	1
446	не удалось	1	1
447	ряд других	1	1
448	если прибавить	1	1
449	что здесь	1	1
450	влияют друг	1	1
451	совсем не	3	1
452	мы видим	13	1
453	возможным но	1	1
454	с ними	1	1
455	с попыткой	1	1
456	этот вопрос	2	1
457	дело с	1	1
458	которым он	1	1
459	что даже	1	1
460	друг друга	3	1
461	пор не	1	1
462	как нечто	1	1
463	еще и	1	1
464	других подобных	1	1
465	сказки в	2	1
466	и ее	3	1
467	похожи друг	1	1
468	и его	1	1
469	рассматриваться как	2	1
470	следовательно для	1	1
471	не можем	1	1
472	только на	1	1
473	при помощи	9	1
474	в ином	2	1
475	лишь постольку	1	1
476	не так	1	1
477	и их	2	1
478	не означает	1	1
479	могло бы	1	1
480	сознаем что	1	1
481	с этими	1	1
482	у него	1	1
483	и никогда	1	1
484	заметить что	8	1
485	как раз	1	1
486	тем что	4	1
487	тогда как	2	1
488	это по	1	1
489	перейти к	2	1
490	в очень	1	1
491	представляют собой	11	1
492	найти его	1	1
493	из двух	2	1
494	чему не	2	1
495	а именно	1	1
496	такое же	1	1
497	и пр	37	1
498	и своего	1	1
499	она является	1	1
500	других для	1	1
501	всей своей	1	1
502	одну из	1	1
503	о чем	1	1
504	на эту	1	1
505	силы или	1	1
506	могут рассматриваться	1	1
507	совершенно иное	1	1
508	действия в	1	1
509	так называемых	2	1
510	с помощью	1	1
511	в момент	1	1
512	все более	1	1
513	является его	1	1
514	с этим	11	1
515	в данном	1	1
516	и за	2	1
517	в той	1	1
518	в особый	1	1
519	одновременно с	1	1
520	здесь имеется	2	1
521	главным предметом	1	1
522	таких условиях	1	1
523	там где	5	1
524	два раза	2	1
525	при ближайшем	1	1
526	многих других	1	1
527	сказки не	3	1
528	обращаются с	3	1
529	и некоторые	1	1
530	такой же	1	1
531	происходит с	1	1
532	на которой	1	1
533	но это	6	1
534	о его	1	1
535	к двум	1	1
536	помнить что	1	1
537	но для	2	1
538	понятия и	1	1
539	кроме того	1	1
540	не является	3	1
541	то отношение	1	1
542	известной степени	1	1
543	которых каждый	1	1
544	совершается в	2	1
545	не существует	3	1
546	лишь о	1	1
547	в настоящее	3	1
548	это уже	3	1
549	не представляет	1	1
550	то не	1	1
551	которое следует	1	1
552	на камне	1	1
553	важное значение	1	1
554	ни к	2	1
555	пришлось бы	1	1
556	его жизнь	1	1
557	все они	1	1
558	же в	2	1
559	обстоит дело	1	1
560	конечно чтобы	1	1
561	может и	1	1
562	состоит из	1	1
563	а ведь	1	1
564	совершенно не	1	1
565	по одному	1	1
566	в свое	2	1
567	есть то	1	1
568	которым они	1	1
569	к этой	1	1
570	они не	1	1
