N	2gram	Propp_Morf_1	Vladivir
314	по пути	1	1
315	в этот	1	1
316	например с	2	1
317	как с	1	1
318	во что	1	1
319	есть но	1	1
320	на ее	1	1
321	вследствие чего	1	1
322	к истории	1	1
323	но никто	1	1
324	тем больше	1	1
325	сих пор	1	1
326	более широкой	1	1
327	оно имеет	1	1
328	в какой	3	1
329	его можно	1	1
330	право на	2	1
331	с любовью	1	1
332	как нечто	1	1
333	но мы	3	1
334	раньше чем	3	1
335	средства могут	1	1
336	пришлось бы	1	1
337	в тех	6	1
338	если это	3	1
339	с первых	1	1
340	с двумя	2	1
341	и другие	6	1
342	но с	1	1
343	сперанский в	1	1
344	до сих	1	1
345	а для	1	1
346	дело не	2	1
347	элементы которые	2	1
348	та же	2	1
349	же самый	1	1
350	если в	5	1
351	вообще человека	1	1
352	а на	3	1
353	если она	2	1
354	лес и	1	1
355	ничего общего	1	1
356	то ни	3	1
357	а дальнейшее	1	1
358	если он	1	1
359	в одном	1	1
360	вопросом о	1	1
361	слова не	1	1
362	в нашем	3	1
363	по его	1	1
364	со всеми	1	1
365	он во	1	1
366	по ее	1	1
367	до известной	1	1
368	всего и	1	1
369	он говорил	1	1
370	ли можно	1	1
371	как видно	1	1
372	независимо от	3	1
373	начала в	1	1
374	в которых	2	1
375	где оно	2	1
376	уже было	1	1
377	и мог	1	1
378	другие материалы	1	1
379	и сама	1	1
380	то для	1	1
381	например в	2	1
382	между ними	1	1
383	и т	41	1
384	связанное с	1	1
385	дело с	1	1
386	живой и	2	1
387	очень важный	1	1
388	не удалось	1	1
389	к чему	3	1
390	то как	2	1
391	она есть	1	1
392	здесь нет	1	1
393	может считаться	3	1
394	не так	1	1
395	собственном смысле	3	1
396	с теми	4	1
397	что даже	1	1
398	но если	7	1
399	этом отношении	1	1
400	чему не	2	1
401	но как	2	1
402	но они	1	1
403	обращается в	4	1
404	должны быть	1	1
405	более чем	1	1
406	высшей степени	1	1
407	как уже	2	1
408	он приводит	2	1
409	довольно много	1	1
410	и правильной	1	1
411	него самого	1	1
412	же из	1	1
413	этом случае	8	1
414	всей своей	1	1
415	вообще же	1	1
416	к отдельным	2	1
417	одновременно с	1	1
418	тех же	4	1
419	что этот	1	1
420	следовательно в	1	1
421	на него	3	1
422	слова а	1	1
423	которые в	1	1
424	со мной	1	1
425	во внимание	1	1
426	всякому человеку	1	1
427	в тот	1	1
428	куда он	1	1
429	пор не	1	1
430	признаки а	1	1
431	больше всего	1	1
432	менее мы	1	1
433	совершенно ясно	1	1
434	этого нет	2	1
435	можно установить	1	1
436	утверждать что	3	1
437	и красоту	1	1
438	после всех	1	1
439	в качестве	5	1
440	ее в	1	1
441	от него	1	1
442	частью в	1	1
443	бы на	1	1
444	этой цели	1	1
445	них не	1	1
446	что такое	3	1
447	уже иное	1	1
448	как объяснить	1	1
449	которые он	1	1
450	тут и	1	1
451	в г	1	1
452	смысле слова	4	1
453	вторая половина	2	1
454	для нее	1	1
455	а эта	2	1
456	до его	1	1
457	его самого	4	1
458	не все	6	1
459	уже ввиду	1	1
460	в другое	1	1
461	во всем	1	1
462	он требует	2	1
463	оказывается что	1	1
464	но эти	1	1
465	мы увидим	8	1
466	что до	1	1
467	мы прежде	1	1
468	как а	1	1
469	отправляется в	3	1
470	до наших	2	1
471	о необходимости	1	1
472	том как	1	1
473	теми же	1	1
474	понимает под	1	1
475	тем что	4	1
476	этим в	1	1
477	это делает	1	1
478	не с	2	1
479	от самого	1	1
480	характере этого	1	1
481	и за	2	1
482	заметить что	8	1
483	мы имеем	9	1
484	если исходить	1	1
485	лиц не	1	1
486	если только	1	1
487	если бы	2	1
488	во время	6	1
489	не слишком	2	1
490	и другим	3	1
491	или вовсе	1	1
492	между собою	2	1
493	сравнить с	1	1
494	и др	10	1
495	которые можно	1	1
496	и красоты	1	1
497	и тем	2	1
498	равно как	1	1
499	в церковь	1	1
500	не будет	1	1
501	из нее	1	1
502	это разделение	1	1
503	он вдруг	1	1
504	ясно что	5	1
505	с этими	1	1
506	от того	3	1
507	нельзя было	2	1
508	ни стало	1	1
509	сделать из	2	1
510	что именно	1	1
511	тем и	2	1
512	оно есть	1	1
513	а по	3	1
514	такой же	1	1
515	не могут	4	1
516	сверх того	1	1
517	в высшей	1	1
518	время я	1	1
519	с собой	3	1
520	быть названа	1	1
521	говорить только	1	1
522	раз он	1	1
523	в данной	1	1
524	по одному	1	1
525	и многие	1	1
526	в лице	1	1
527	далеко не	5	1
528	исследование с	1	1
529	большей частью	4	1
530	до этого	1	1
531	и хочет	1	1
532	быть и	2	1
533	всего мира	1	1
534	при помощи	9	1
535	с какой	1	1
536	когда в	1	1
537	на вопрос	2	1
538	самого начала	1	1
539	здесь же	3	1
540	тех пор	1	1
541	с самого	1	1
542	чего в	1	1
543	написано на	1	1
544	ниже в	2	1
545	за ним	1	1
546	в первой	1	1
547	значит что	3	1
548	в каком	2	1
549	мы опять	1	1
550	это будет	1	1
551	собой и	1	1
552	чем в	1	1
553	самом деле	4	1
554	иное чем	3	1
555	не любит	1	1
556	целый ряд	3	1
557	перед ним	1	1
558	между двумя	1	1
559	чем же	1	1
560	была не	1	1
561	что она	2	1
562	на ряд	1	1
563	и ее	3	1
564	и сл	1	1
565	и их	2	1
566	но эта	1	1
567	оно может	3	1
568	что бы	1	1
569	если мы	5	1
570	не будем	4	1
571	одному из	3	1
572	что здесь	1	1
573	как раз	1	1
574	то она	1	1
575	что с	1	1
576	здесь как	1	1
577	можно утверждать	1	1
578	не зная	1	1
579	здесь перед	1	1
580	они не	1	1
581	только на	1	1
582	так например	3	1
583	что так	1	1
584	перед нами	10	1
585	все еще	3	1
586	из них	3	1
587	ответить на	1	1
588	что каждая	1	1
589	но во	1	1
590	этот вопрос	2	1
591	эта история	1	1
592	может спасти	1	1
593	характерно что	1	1
594	иногда не	1	1
595	что мы	2	1
596	ни к	2	1
597	только об	1	1
598	потому не	1	1
599	свою собственную	1	1
600	иначе но	1	1
601	то отношение	1	1
602	на основании	1	1
603	если о	1	1
604	но для	2	1
605	в русской	1	1
606	до него	1	1
607	во втором	3	1
