N	2gram	Berdyaev_O_1	Russkaja
259	и весь	1	1
260	возможностей и	2	1
261	природы в	2	1
262	к ней	2	1
263	русского человека	5	1
264	было не	1	1
265	этом отношении	1	1
266	нем все	1	1
267	это два	1	1
268	только вопрос	1	1
269	могут быть	3	1
270	чтобы сделать	1	1
271	человека в	11	1
272	всего в	2	1
273	а ее	1	1
274	быть назван	1	1
275	от которой	1	1
276	и это	1	1
277	из всего	2	1
278	на нем	1	1
279	людей в	1	1
280	в ее	2	1
281	мысль о	2	1
282	это для	1	1
283	до самого	5	1
284	и когда	1	1
285	что у	2	1
286	так и	2	1
287	его жизни	1	1
288	жизнь а	1	1
289	собой в	1	1
290	человека бог	1	1
291	бы признать	1	1
292	по сравнению	1	1
293	быть может	3	1
294	в эпоху	1	1
295	существенны и	1	1
296	другом месте	1	1
297	с тою	1	1
298	для целей	1	1
299	не захотел	1	1
300	чем и	1	1
301	видят не	1	1
302	в русском	1	1
303	совершенно ином	1	1
304	по своей	1	1
305	один из	1	1
306	и дело	1	1
307	с ними	1	1
308	и судьбу	1	1
309	не идет	1	1
310	может привести	1	1
311	физически и	1	1
312	человека с	1	1
313	же и	1	1
314	а это	1	1
315	и других	1	1
316	к каким	1	1
317	был признан	1	1
318	двух противоположных	1	1
319	почему не	1	1
320	природы и	2	1
321	связан с	1	1
322	может ли	1	1
323	главное и	1	1
324	человека а	2	1
325	и прежде	1	1
326	люди что	1	1
327	что не	4	1
328	был в	1	1
329	на этот	1	1
330	до конца	7	1
331	не таков	1	1
332	к победе	1	1
333	для человека	2	1
334	не допускает	1	1
335	ближе к	1	1
336	в одно	1	1
337	которые будут	1	1
338	связь с	1	1
339	и никакая	1	1
340	в самой	9	1
341	как это	1	1
342	человека к	2	1
343	смысле этого	1	1
344	азии и	1	1
345	понял что	1	1
346	то к	2	1
347	быть не	1	1
348	его творчество	1	1
349	судьбу ее	1	1
350	господа не	1	1
351	своей жизни	2	1
352	ничего кроме	2	1
353	убедятся что	1	1
354	тогда все	1	1
355	отношениях к	1	1
356	человек и	4	1
357	любви и	1	1
358	ее и	1	1
359	бы в	1	1
360	и все	10	1
361	силы в	1	1
362	личности и	2	1
363	была бы	1	1
364	но можно	1	1
365	к его	1	1
366	у которых	1	1
