N	2gram	Bakhtin_fo_1	Sovremen
139	не могут	3	2
140	могут быть	5	2
141	что в	5	2
142	в таком	3	2
143	во всяком	3	2
144	и наиболее	1	1
145	должен быть	1	1
146	новое время	1	1
147	правда не	2	1
148	и это	4	1
149	человека и	11	1
150	функции в	1	1
151	с ее	6	1
152	лишь там	1	1
153	на другой	2	1
154	ведь в	1	1
155	необходимости и	1	1
156	между двумя	6	1
157	здесь и	2	1
158	жизни где	1	1
159	отношению к	5	1
160	так в	1	1
161	по преимуществу	3	1
162	и до	5	1
163	не имеют	3	1
164	иметь место	1	1
165	значение но	2	1
166	в мире	1	1
167	мы уже	11	1
168	те же	2	1
169	их и	2	1
170	из всех	1	1
171	есть не	3	1
172	здесь нет	3	1
173	в социальном	1	1
174	во многом	2	1
175	мы имеем	1	1
176	и само	1	1
177	же как	2	1
178	теперь мы	1	1
179	совершенно так	1	1
180	если бы	5	1
181	и вообще	2	1
182	с человеком	1	1
183	но такая	1	1
184	развернуть в	1	1
185	оно вообще	1	1
186	поэтому ничто	1	1
187	для нашей	1	1
188	и ни	1	1
189	для наших	1	1
190	или как	4	1
191	то они	1	1
192	того же	8	1
193	о том	1	1
194	в ней	4	1
195	на них	2	1
196	он сам	1	1
197	все его	3	1
198	же время	9	1
199	внешний и	1	1
200	его в	3	1
201	с его	9	1
202	во всех	6	1
203	природы и	2	1
204	но конечно	2	1
205	раз и	2	1
206	как нет	1	1
207	данном случае	1	1
208	совсем не	2	1
209	но не	5	1
210	образом все	1	1
211	к этому	3	1
212	мы будем	2	1
213	но как	1	1
214	точка зрения	1	1
215	друг на	2	1
216	во втором	2	1
217	по отношению	3	1
218	жизнь по	1	1
219	позволит нам	1	1
220	эта схема	1	1
221	во всей	3	1
222	вневременной и	1	1
223	к концу	3	1
224	и дадим	1	1
225	в ту	1	1
226	xvii век	1	1
227	идет о	1	1
228	человека как	1	1
229	нормального хода	2	1
230	другой день	2	1
231	независимо от	1	1
232	стороны и	2	1
233	более и	1	1
234	один из	3	1
235	кроме того	4	1
236	перечисленные нами	1	1
237	одной из	3	1
238	пространственного места	1	1
239	природой и	1	1
240	это просто	1	1
241	увидим что	1	1
242	только в	4	1
243	в этот	2	1
244	целого и	1	1
245	то он	1	1
246	жизни к	1	1
247	не приходится	1	1
248	та же	1	1
249	к другому	2	1
250	три различных	1	1
251	до наших	2	1
252	нами в	1	1
253	явлений и	1	1
254	всего необходимо	3	1
255	и тот	1	1
256	этот вопрос	1	1
257	конечно не	4	1
258	был введен	1	1
259	и у	5	1
260	мира но	1	1
261	и те	3	1
262	в большинстве	1	1
263	только на	3	1
264	ни одного	1	1
265	должны еще	1	1
266	вследствие этого	3	1
267	в начале	3	1
268	этот процесс	5	1
269	термин этот	1	1
270	в первых	1	1
271	по самому	2	1
272	в данной	2	1
273	он не	5	1
274	его и	2	1
275	и еще	2	1
276	и их	8	1
277	закономерностей и	1	1
278	эти три	1	1
279	пока не	1	1
280	как их	1	1
281	в корне	1	1
282	по существу	12	1
283	сами по	1	1
284	вовсе не	13	1
285	жизнью на	1	1
286	от различных	2	1
287	для них	3	1
288	как его	1	1
289	всеми этими	1	1
290	в основу	3	1
291	по его	1	1
292	обычно на	1	1
293	уже совершенно	1	1
294	и только	1	1
295	факт что	1	1
296	и может	2	1
297	в совершенно	1	1
298	в другом	1	1
299	одной стороны	2	1
300	или скажем	1	1
301	можем поставить	1	1
302	и речи	5	1
303	чем в	2	1
304	мы это	1	1
305	и т.п	4	1
306	до сих	3	1
307	с другой	2	1
308	на ее	1	1
309	именно в	3	1
310	здесь в	2	1
311	уже знаем	1	1
312	и прежде	2	1
313	бы эти	1	1
314	это своеобразное	1	1
315	на которые	1	1
316	его с	1	1
317	в новое	3	1
318	на ней	1	1
319	в ином	1	1
320	только к	3	1
321	всегда строго	1	1
322	ни в	8	1
323	но уже	1	1
324	нет в	2	1
325	не было	7	1
326	рядом с	2	1
327	она и	1	1
328	ей не	1	1
329	и составляет	1	1
330	для своего	1	1
331	на друга	2	1
332	громадную роль	2	1
333	жизни но	5	1
334	должно быть	1	1
335	и ничего	1	1
336	и следовательно	4	1
337	первое и	1	1
338	в связи	5	1
339	связей и	1	1
340	том что	4	1
341	в эту	1	1
342	все более	1	1
343	этом случае	1	1
344	не способна	1	1
345	и при	1	1
346	своему существу	1	1
347	таким же	1	1
348	так же	6	1
349	уже к	1	1
350	что дело	1	1
351	мы говорим	1	1
352	тот факт	1	1
353	в первый	1	1
354	в дословном	1	1
355	в данном	2	1
356	ряд оказывается	1	1
357	существу не	2	1
358	в течение	2	1
359	мы проследим	1	1
360	является только	1	1
361	но эта	3	1
362	которые в	1	1
363	быть только	3	1
364	на различные	1	1
365	силу и	1	1
366	именно к	1	1
367	и более	1	1
368	там где	2	1
369	человек с	1	1
370	жизни в	8	1
371	этом ее	1	1
372	его здесь	1	1
373	по себе	2	1
374	в своем	4	1
375	и нет	2	1
376	сих пор	3	1
377	лишено всякой	1	1
378	играть в	1	1
379	но они	3	1
380	с ним	2	1
381	третий день	1	1
382	xviii века	3	1
383	она не	1	1
384	ряд в	3	1
385	и тогда	1	1
386	но для	2	1
387	стадии развития	2	1
388	не имеет	4	1
389	например у	3	1
390	дело в	2	1
391	в процессе	4	1
392	это уже	1	1
393	не является	2	1
394	указать на	1	1
395	уже на	2	1
396	и от	1	1
397	остановимся здесь	1	1
398	никогда не	2	1
399	или в	3	1
400	под углом	2	1
401	человек и	2	1
402	но отнюдь	1	1
403	хотя и	3	1
404	только и	5	1
405	жизни не	3	1
406	в отдельных	1	1
407	это то	2	1
408	или другой	1	1
409	себя самого	1	1
410	дословном переводе	1	1
411	не более	1	1
412	и первое	1	1
413	ровно ничего	1	1
414	самому своему	1	1
415	собой поэтому	1	1
416	углом зрения	2	1
417	жизни как	1	1
418	все они	1	1
419	и его	16	1
420	связи с	6	1
421	же в	3	1
422	так называемый	2	1
423	наших дней	1	1
424	всеми его	3	1
425	между ними	3	1
426	совершенно независимо	1	1
427	это делает	1	1
428	не знает	3	1
429	сказать что	3	1
430	не быть	1	1
431	его таким	1	1
432	больших и	1	1
433	и для	4	1
434	равно как	2	1
435	сколько угодно	2	1
436	человека в	17	1
437	можно наблюдать	1	1
438	в то	9	1
439	этого и	1	1
440	той или	2	1
441	в своих	1	1
442	и эта	2	1
443	и снова	1	1
444	и свою	1	1
445	опыта и	1	1
446	они не	3	1
447	на второй	1	1
