N	2gram	Nazirov_Tv_1	VerxiiNi
549	над которыми	1	1
550	души и	1	1
551	выступают как	1	1
552	на словах	1	1
553	в соответствии	3	1
554	и самый	1	1
555	зависит от	2	1
556	жизнь в	1	1
557	о чем	1	1
558	на эту	4	1
559	когда она	1	1
560	с помощью	1	1
561	ничего как	1	1
562	в момент	4	1
563	все более	2	1
564	их с	1	1
565	него в	1	1
566	эти слова	2	1
567	во плоти	1	1
568	ни на	3	1
569	согласно этой	1	1
570	человек есть	1	1
571	с этим	1	1
572	бога было	1	1
573	в данном	2	1
574	это есть	1	1
575	да и	1	1
576	считал что	1	1
577	как средство	1	1
578	человека и	4	1
579	из сердца	1	1
580	ли не	1	1
581	сейчас же	1	1
582	с особым	2	1
583	и некоторые	1	1
584	такой же	2	1
585	но это	5	1
586	о его	1	1
587	кроме того	1	1
588	мира в	2	1
589	в наше	2	1
590	живет и	1	1
591	не существует	3	1
592	причем в	2	1
593	человека для	1	1
594	он решительно	1	1
595	это как	3	1
596	в настоящее	1	1
597	это уже	5	1
598	тем более	1	1
599	ибо в	2	1
600	все они	1	1
601	теперь же	1	1
602	указывает на	1	1
603	же в	1	1
604	причину этого	1	1
605	давно уже	1	1
606	с людьми	1	1
607	может и	1	1
608	из общего	1	1
609	только как	1	1
610	и зла	2	1
611	жизни а	1	1
612	даже за	1	1
613	вся история	2	1
614	к этой	1	1
615	для создания	1	1
616	люди и	1	1
617	в своих	5	1
618	значение в	1	1
619	как результат	1	1
