N	2gram	Bakhtin_sl_2	Morfolog
232	например в	5	1
233	он может	1	1
234	применении к	1	1
235	возможны и	1	1
236	и должны	1	1
237	как такового	1	1
238	говорит ты	1	1
239	между двумя	1	1
240	есть не	1	1
241	она в	1	1
242	он как	1	1
243	о формах	2	1
244	всего о	1	1
245	но она	2	1
246	и такой	1	1
247	разновидности и	1	1
248	конечно и	2	1
249	и заставляет	1	1
250	в виду	1	1
251	тем как	1	1
252	формальных приемов	2	1
253	одним словом	2	1
254	друг к	1	1
255	мы еще	1	1
256	все разновидности	1	1
257	обреченный на	1	1
258	но как	2	1
259	быть окрашена	1	1
260	значение и	1	1
261	отношение к	4	1
262	отличие от	13	1
263	его не	4	1
264	в рамках	1	1
265	если на	1	1
266	для всех	4	1
267	более и	1	1
268	формами передачи	1	1
269	и наконец	5	1
270	но эта	2	1
271	развития все	1	1
272	этой цели	1	1
273	другом случае	1	1
274	лишь о	2	1
275	др эти	1	1
276	его роль	1	1
277	что так	1	1
278	не в	9	1
279	в этой	1	1
280	рассказ о	1	1
281	нами в	1	1
282	формы не	1	1
283	но во	1	1
284	на то	1	1
285	превращением в	1	1
286	самая постановка	1	1
287	всего относится	1	1
288	а вовсе	2	1
289	очень велико	2	1
290	зрения его	1	1
291	но прежде	2	1
292	вообще не	1	1
293	что она	1	1
294	время и	1	1
295	слова а	1	1
296	этом с	1	1
297	всех этих	4	1
298	но некоторые	1	1
299	здесь для	1	1
300	и этот	1	1
301	лишь с	1	1
302	одно и	1	1
303	русском языке	1	1
304	других видов	1	1
305	в каждом	1	1
306	через все	1	1
307	связанные с	4	1
308	и может	1	1
309	конечно в	2	1
310	к другу	1	1
311	них не	1	1
312	на все	1	1
313	те или	1	1
314	с другими	4	1
315	и отдельные	1	1
316	то все	1	1
317	и тем	1	1
318	даже в	2	1
319	постановка вопроса	1	1
320	о которых	1	1
321	и герой	1	1
322	этим и	1	1
323	же два	1	1
324	характерно что	1	1
325	чем в	2	1
326	может идти	1	1
327	этим в	1	1
328	нисколько не	1	1
329	и становится	1	1
330	этот материал	1	1
331	и их	5	1
332	с различными	3	1
333	при изучении	1	1
334	или точнее	1	1
335	лежат в	1	1
336	наконец даже	2	1
337	в их	2	1
338	мы говорили	1	1
339	не столько	3	1
340	самого героя	1	1
341	для изучения	1	1
342	где герой	1	1
343	которые в	2	1
344	при этом	7	1
345	но он	2	1
346	иных форм	1	1
347	силу и	1	1
348	все это	16	1
349	никак нельзя	1	1
350	бы быть	1	1
351	для нее	1	1
352	она не	6	1
353	и определенный	1	1
354	лишь к	1	1
355	самого начала	1	1
356	того как	2	1
357	и притом	1	1
358	весь этот	1	1
359	в основе	4	1
360	дело не	1	1
361	иметь в	1	1
362	значение этого	1	1
363	уже никак	1	1
364	же время	4	1
365	или как	4	1
366	она с	1	1
367	на те	1	1
368	же он	1	1
369	одним из	2	1
370	еще резче	1	1
371	если он	1	1
372	чем перейти	1	1
373	той или	5	1
374	что при	1	1
375	в применении	1	1
376	иногда целых	1	1
377	то она	1	1
378	с ее	2	1
379	как не	1	1
380	людей в	1	1
381	без всякого	2	1
382	как по	1	1
383	испытания героя	2	1
384	и получает	1	1
385	непосредственно о	1	1
386	него самого	1	1
387	и говорит	1	1
388	с самого	1	1
389	приводит к	1	1
390	роль в	2	1
391	на основании	1	1
392	как с	2	1
393	те же	2	1
394	здесь как	2	1
395	здесь нет	1	1
396	мог бы	1	1
397	еще в	1	1
398	различное значение	1	1
399	во второй	1	1
400	и с	9	1
401	в последней	1	1
402	даны в	1	1
403	связанная с	1	1
404	форм передачи	4	1
405	но мы	2	1
406	того или	1	1
407	как они	1	1
408	два типа	1	1
409	в его	7	1
410	во всей	1	1
411	три категории	1	1
412	к ней	2	1
413	все формы	2	1
414	в него	7	1
415	не зная	1	1
416	важное значение	1	1
417	с ними	5	1
418	что различные	1	1
419	говорить о	3	1
420	пор не	2	1
421	таких моментов	1	1
422	и действительно	1	1
423	то прежде	1	1
424	от материала	2	1
425	все они	2	1
426	со всеми	2	1
427	же и	2	1
428	нет прямого	1	1
429	это остается	1	1
430	борьбы с	3	1
431	что не	1	1
432	она строится	1	1
433	как образцы	1	1
434	в борьбу	1	1
435	за ним	1	1
436	и соответствующего	1	1
437	стороны оно	1	1
438	всяком случае	2	1
439	в одном	2	1
440	и со	1	1
441	оно так	1	1
442	у него	3	1
443	и никогда	1	1
444	она имеет	1	1
445	он является	1	1
446	героя его	1	1
447	эти явления	1	1
448	только на	1	1
449	из важнейших	2	1
450	и даже	7	1
451	или иной	5	1
452	даже не	1	1
453	точек зрения	3	1
454	себе представить	1	1
455	его при	1	1
456	до сих	2	1
457	может и	2	1
458	именно в	2	1
459	а именно	2	1
460	и создает	3	1
461	это необходимо	1	1
462	борьба в	1	1
463	могут иметь	1	1
464	материал в	3	1
465	не на	1	1
466	они часто	1	1
467	как ни	1	1
468	ссылка на	1	1
469	могут служить	1	1
470	все более	1	1
471	входить в	2	1
472	вступает в	1	1
473	но оно	2	1
474	о себе	1	1
475	сюда прежде	2	1
476	материал на	1	1
477	и начала	1	1
478	в одной	1	1
479	но такое	1	1
480	мы опять	1	1
481	определяет его	1	1
482	в данном	2	1
483	ведет к	1	1
484	как объект	1	1
485	случае она	4	1
486	есть на	2	1
487	и там	3	1
488	до его	1	1
489	в отдельности	1	1
490	отношения к	4	1
491	как испытание	1	1
492	с изучением	1	1
493	и самая	1	1
494	дело идет	2	1
495	собой только	1	1
496	еще раз	3	1
497	в формах	1	1
498	сих пор	2	1
499	только для	1	1
500	это испытание	2	1
501	все остальные	1	1
502	указать на	1	1
503	на улице	1	1
504	но на	1	1
505	она может	2	1
506	для нас	5	1
507	могли бы	1	1
508	и все	5	1
509	и ни	2	1
510	ведут к	1	1
511	идет об	1	1
512	и предметом	2	1
513	здесь только	1	1
514	как первая	1	1
515	материал и	3	1
516	всех других	1	1
517	одновременно и	3	1
518	только о	2	1
519	и диалог	1	1
520	выходят за	1	1
521	и две	1	1
522	часто начинает	1	1
523	влияния на	1	1
524	герой только	2	1
525	в таком	4	1
526	во всяком	3	1
