N	2gram	Berdyaev_M_1	Russkaja
271	себе что	1	1
272	он был	14	1
273	собой он	1	1
274	не был	7	1
275	друг к	1	1
276	к этому	2	1
277	отказ от	1	1
278	должны были	1	1
279	а две	2	1
280	человек может	2	1
281	которые не	1	1
282	в истории	2	1
283	отношение человека	1	1
284	что во	1	1
285	в одной	1	1
286	революция и	1	1
287	ни того	2	1
288	кто не	1	1
289	когда он	3	1
290	жизни нет	1	1
291	коренным образом	1	1
292	силе и	1	1
293	от этого	2	1
294	есть самое	1	1
295	искусство и	1	1
296	котором она	1	1
297	не быть	1	1
298	в смысл	1	1
299	в которой	6	1
300	привести к	4	1
301	того ни	1	1
302	бы не	2	1
303	сущности и	1	1
304	это единственная	1	1
305	но ведь	1	1
306	то и	1	1
307	только один	2	1
308	если он	5	1
309	духовной культуры	1	1
310	вообще не	2	1
311	что россия	1	1
312	верит в	1	1
313	есть дело	1	1
314	есть та	1	1
315	истории на	1	1
316	к одному	1	1
317	этого вопроса	1	1
318	к переходу	1	1
319	войти в	1	1
320	лишь с	1	1
321	заключает в	3	1
322	к принудительному	1	1
323	и заключается	1	1
324	значительной степени	1	1
325	подход к	1	1
326	может создать	1	1
327	об этой	1	1
328	об этом	1	1
329	к другу	1	1
330	то есть	3	1
331	своей борьбе	1	1
332	входит в	2	1
333	заключается в	1	1
334	не умеет	1	1
335	мира сего	2	1
336	его личности	3	1
337	чтобы все	1	1
338	это не	5	1
339	и мы	2	1
340	в жизни	3	1
341	и рядом	1	1
342	с богом	1	1
343	греха и	1	1
344	человека на	5	1
345	церковь и	2	1
346	природы человек	1	1
347	ли может	2	1
348	его было	1	1
349	сторон в	2	1
350	какой-то новой	1	1
351	культурных ценностей	1	1
352	всегда и	1	1
353	нет и	5	1
354	без этой	1	1
355	не сам	1	1
356	в царстве	1	1
357	перед собой	1	1
358	от своего	1	1
359	в такой	1	1
360	и без	1	1
361	что вся	1	1
362	прийти к	2	1
363	не столько	1	1
364	оказывается что	2	1
365	в которых	4	1
366	он весь	7	1
367	что называли	1	1
368	том основании	2	1
369	стало быть	1	1
370	нельзя было	1	1
371	ко всему	1	1
372	и эти	1	1
373	вовсе не	1	1
374	это особенно	2	1
375	и вся	1	1
376	человеку не	1	1
377	ему как	1	1
378	если и	1	1
379	с необычайной	1	1
380	не менее	1	1
381	есть подлинная	1	1
382	хотелось бы	1	1
383	человек принадлежит	1	1
384	у кого	1	1
385	в основе	2	1
386	он еще	1	1
387	– от	1	1
388	идет в	1	1
389	себе самом	1	1
390	для творчества	1	1
391	казалось бы	1	1
392	от власти	1	1
393	в разных	1	1
394	бывает не	1	1
395	с одним	1	1
396	природы в	3	1
397	к ней	4	1
398	и сама	2	1
399	хочет быть	1	1
400	вне человека	2	1
401	русского человека	2	1
402	нем все	2	1
403	только от	1	1
404	в духе	1	1
405	нет ни	1	1
406	есть только	2	1
407	могут быть	2	1
408	человека в	13	1
409	которые открываются	1	1
410	и счастливым	1	1
411	всего в	2	1
412	одну и	1	1
413	быть назван	1	1
414	от которой	1	1
415	и это	12	1
416	из всего	1	1
417	на нем	1	1
418	людей в	1	1
419	сравнению со	1	1
420	в ее	3	1
421	не могло	1	1
422	внутренние противоречия	1	1
423	всегда были	1	1
424	она там	1	1
425	идет не	1	1
426	роль в	1	1
427	ли вообще	1	1
428	и когда	2	1
429	и ту	1	1
430	так и	1	1
431	собой в	1	1
432	человека можно	1	1
433	мог бы	4	1
434	основанную на	1	1
435	бы признать	1	1
436	по сравнению	2	1
437	быть может	7	1
438	в эпоху	1	1
439	из одного	1	1
440	может в	1	1
441	иное как	1	1
442	первый и	1	1
443	одного из	1	1
444	а во	1	1
445	более глубоко	1	1
446	реальную действительность	1	1
447	совершенно как	1	1
448	от них	1	1
449	переходит в	15	1
450	перед этими	1	1
451	у всех	2	1
452	этой любви	1	1
453	по своей	2	1
454	один из	4	1
455	поэтому для	1	1
456	в обществе	1	1
457	же он	1	1
458	человека с	2	1
459	же и	1	1
460	к какому	1	1
461	в сторону	1	1
462	и у	2	1
463	и исторических	1	1
464	не вне	1	1
465	в праве	1	1
466	он принадлежит	1	1
467	и их	3	1
468	человеку или	1	1
469	если все	1	1
470	жизни конечно	1	1
471	ее не	1	1
472	к ним	1	1
473	связано с	2	1
474	других –	1	1
475	в любви	4	1
476	создать и	1	1
477	все-таки не	1	1
478	но из	1	1
479	бы это	1	1
480	природы и	1	1
481	к католичеству	1	1
482	связан с	1	1
483	в свои	1	1
484	о своей	2	1
485	влияние на	1	1
486	может ли	1	1
487	каждый человек	1	1
488	главное и	1	1
489	связаны с	1	1
490	русской жизни	1	1
491	по своим	1	1
492	человека а	3	1
493	к которому	1	1
494	– к	3	1
495	души и	1	1
496	движения в	2	1
497	что не	1	1
498	это –	16	1
499	а на	1	1
500	был в	4	1
501	на этот	2	1
502	до конца	14	1
503	не таков	1	1
504	не на	1	1
505	власти и	1	1
506	человеческой жизни	2	1
507	в свете	3	1
508	для человека	3	1
509	душевной жизни	2	1
510	ближе к	1	1
511	о себе	3	1
512	в самой	7	1
513	человека к	2	1
514	душой не	1	1
515	гармонии и	1	1
516	в европе	1	1
517	людей без	1	1
518	по своему	2	1
519	не видят	1	1
520	это его	1	1
521	человек с	1	1
522	в состоянии	1	1
523	быть не	2	1
524	его творчество	2	1
525	и побольше	1	1
526	с этой	4	1
527	же принципиально	1	1
528	господа не	1	1
529	является для	1	1
530	своей жизни	1	1
531	россия есть	1	1
532	ничего кроме	1	1
533	сознании и	1	1
534	на все	1	1
535	которых он	4	1
536	решить вопрос	2	1
537	человек или	1	1
538	человек и	6	1
539	но когда	1	1
540	бы в	2	1
541	тем более	1	1
542	и все	10	1
543	силы в	1	1
544	хотя в	1	1
545	личности и	1	1
546	от всякого	1	1
547	к ее	1	1
548	от ее	1	1
549	в свою	2	1
550	стать на	1	1
551	с ней	2	1
552	русские люди	3	1
553	к его	1	1
554	отношению к	2	1
555	у которых	2	1
556	есть то	1	1
557	собственной природы	1	1
558	человека является	1	1
559	бог есть	2	1
560	народ с	1	1
561	можно назвать	1	1
562	они не	1	1
