N	2gram	Tiupa_Lite_3	slovoVRo
117	и сам	2	3
118	его в	2	3
119	было бы	2	3
120	лишь на	2	3
121	он не	1	3
122	или менее	1	3
123	в понимании	1	3
124	и ее	2	3
125	она не	1	3
126	никогда не	4	3
127	к тому	6	3
128	тем чем	1	3
129	о том	6	3
130	переходит в	1	3
131	все время	3	3
132	того что	9	3
133	в том	12	3
134	в качестве	5	3
135	от автора	1	3
136	конечно не	1	3
137	и других	1	3
138	из них	4	3
139	для него	2	3
140	с различными	1	3
141	так как	1	3
142	друг друга	1	3
143	у него	1	3
144	именно в	5	3
145	в свою	2	3
146	смысла и	1	3
147	не было	1	3
148	более того	3	3
149	в истории	1	3
150	не были	1	3
151	с этим	1	3
152	в данном	4	3
153	и там	1	3
154	по существу	4	3
155	с этой	2	3
156	как только	1	3
157	вне себя	2	3
158	лишь как	1	3
159	из существеннейших	1	3
160	хотя бы	1	3
161	одной из	1	3
162	с ними	2	3
163	из этого	1	3
164	которая не	1	3
165	например в	3	2
166	на самом	1	2
167	то в	3	2
168	в котором	1	2
169	оно было	1	2
170	века в	1	2
171	мы уже	1	2
172	той же	3	2
173	из своих	1	2
174	мы и	2	2
175	свою очередь	1	2
176	и то	1	2
177	в сочетании	1	2
178	столь же	1	2
179	своим и	1	2
180	в ее	5	2
181	но не	4	2
182	что они	1	2
183	без другого	2	2
184	хотя и	4	2
185	от этой	1	2
186	в целом	5	2
187	у каждого	1	2
188	ответственность за	2	2
189	на все	1	2
190	и иных	1	2
191	нисколько не	1	2
192	был бы	1	2
193	том что	8	2
194	в этих	1	2
195	высказывания и	1	2
196	но он	1	2
197	друг другу	1	2
198	и эти	1	2
199	даже в	4	2
200	тому что	1	2
201	на один	1	2
202	в единство	1	2
203	в самых	1	2
204	автор и	1	2
205	для нас	1	2
206	ему не	1	2
207	у нас	2	2
208	xx века	1	2
209	на протяжении	1	2
210	мы все	1	2
211	между автором	1	2
212	правда не	1	2
213	и о	1	2
214	но по	1	2
215	так в	1	2
216	на том	1	2
217	не с	2	2
218	в другом	6	2
219	одного из	2	2
220	можно сказать	2	2
221	а также	4	2
222	нас в	1	2
223	жизни но	1	2
224	наконец в	3	2
225	и всякое	1	2
226	и одновременно	2	2
227	здесь не	2	2
228	среди других	1	2
229	выдержана в	1	2
230	между тем	3	2
231	и тем	3	2
232	так что	1	2
233	связи с	2	2
234	уже не	3	2
235	и у	1	2
236	только на	1	2
237	или даже	1	2
238	остаются в	1	2
239	в одном	4	2
240	для того	2	2
241	не есть	1	2
242	чем он	1	2
243	а с	1	2
244	точке зрения	1	2
245	а на	2	2
246	совершенно не	3	2
247	в частности	11	2
248	эти слова	2	2
249	так же	2	2
250	этого типа	1	2
251	такого рода	10	2
252	речь в	1	2
253	быть только	2	2
254	должно быть	4	2
255	в контексте	1	2
256	активности и	1	2
257	автором и	2	2
258	характерные для	1	2
259	как раз	2	2
260	всего произведения	1	2
261	у них	1	2
262	потому что	3	2
263	ни было	2	2
264	с ней	2	2
265	сказать что	1	2
266	бы его	1	2
267	из романа	1	2
268	к этому	2	2
269	эти категории	1	2
270	как известно	1	1
271	с жизнью	4	1
272	художественного произведения	2	1
273	тех же	1	1
274	и есть	1	1
275	такого слова	1	1
276	от самого	1	1
277	из самых	1	1
278	и до	1	1
279	из его	1	1
280	с таким	1	1
281	его не	1	1
282	смотреть на	1	1
283	для своего	2	1
284	не сомневается	2	1
285	место в	4	1
286	приводят к	1	1
287	в кругозоре	2	1
288	совсем иное	1	1
289	прозе и	1	1
290	и со	1	1
291	целого в	1	1
292	и он	1	1
293	предстает как	2	1
294	который может	1	1
295	на другом	1	1
296	он был	1	1
297	в последних	1	1
298	бы то	2	1
299	состояние его	1	1
300	в сторону	3	1
301	в противовес	7	1
302	со всеми	2	1
303	в общем	1	1
304	отличие от	5	1
305	поскольку его	1	1
306	и дети	1	1
307	в значительной	1	1
308	стороны и	2	1
309	культурой в	1	1
310	и где	1	1
311	сознания в	1	1
312	могли бы	2	1
313	так уже	1	1
314	что по	1	1
315	в действительности	1	1
316	в этот	1	1
317	никто его	1	1
318	новые миры	1	1
319	еще на	2	1
320	себе как	1	1
321	существенных для	1	1
322	так или	2	1
323	бы не	1	1
324	в этой	8	1
325	мы чувствуем	1	1
326	стороны всякого	1	1
327	на то	2	1
328	вследствие этого	2	1
329	и если	4	1
330	в определенном	1	1
331	в лирике	1	1
332	отказа от	1	1
333	не к	1	1
334	жизнью и	1	1
335	оно должно	1	1
336	и было	1	1
337	по аналогии	2	1
338	не бывает	1	1
339	человека в	2	1
340	значительной степени	1	1
341	бы они	1	1
342	то ни	2	1
343	а затем	3	1
344	бы быть	1	1
345	здесь как	2	1
346	есть не	1	1
347	действительности в	2	1
348	того о	1	1
349	которая в	1	1
350	в жизни	8	1
351	только одно	1	1
352	но уже	3	1
353	о которых	1	1
354	его стихи	1	1
355	этого не	1	1
356	и уже	1	1
357	и вне	1	1
358	несмотря на	2	1
359	иным путем	1	1
360	как целого	1	1
361	чем в	1	1
362	на этот	1	1
363	и того	1	1
364	из общего	1	1
365	от своего	1	1
366	не столько	1	1
367	прибегает к	1	1
368	в отличие	5	1
369	одном из	2	1
370	тем не	1	1
371	и более	1	1
372	произведения в	3	1
373	однако в	4	1
374	в устах	1	1
375	например и	1	1
376	то с	1	1
377	мир он	1	1
378	не менее	2	1
379	его интенции	1	1
380	мышления и	1	1
381	того чтобы	2	1
382	только не	1	1
383	такой классический	1	1
384	поэтическое произведение	1	1
385	к концу	1	1
386	художника в	4	1
387	по своей	3	1
388	людей и	1	1
389	во всем	1	1
390	всех дорог	1	1
391	языка который	1	1
392	века не	1	1
393	входят в	1	1
394	не столь	1	1
395	оказывается перед	1	1
396	этом отношении	5	1
397	в творческом	2	1
398	эстетический объект	3	1
399	к той	1	1
400	есть только	1	1
401	его за	1	1
402	его с	1	1
403	встречаются и	1	1
404	всегда так	1	1
405	живет на	1	1
406	в виду	1	1
407	находя в	1	1
408	с каким	1	1
409	свои силы	1	1
410	для всего	1	1
411	сознания с	2	1
412	и другими	1	1
413	в чужом	1	1
414	жизнь и	1	1
415	в диалог	1	1
416	был не	1	1
417	если бы	2	1
418	для этого	1	1
419	со стороны	7	1
420	слова из	2	1
421	как у	4	1
422	в эстетической	2	1
423	возникает и	1	1
424	однако с	1	1
425	творчества в	1	1
426	борьба с	1	1
427	во втором	2	1
428	нуждается в	1	1
429	что и	2	1
430	этом как	1	1
431	и только	2	1
432	непосредственно в	1	1
433	на границах	1	1
434	в художественной	1	1
435	и она	1	1
436	в литературе	1	1
437	ибо в	1	1
438	время в	2	1
439	для самих	1	1
440	в двух	1	1
441	отражения в	1	1
442	с каждым	1	1
443	явления в	1	1
444	в стороне	1	1
445	а лишь	2	1
446	в самое	1	1
447	и синтаксическую	1	1
448	именно на	1	1
449	в эти	1	1
450	какой степени	1	1
451	своего собственного	1	1
452	есть в	1	1
453	в начале	4	1
454	к своим	2	1
455	ни с	2	1
456	сам он	1	1
457	и их	1	1
458	его души	1	1
459	в прозе	1	1
460	случае не	1	1
461	не просто	1	1
462	автора как	1	1
463	теперь эта	1	1
464	момент в	1	1
465	где в	1	1
466	нет и	1	1
467	зрения говорящего	1	1
468	с общим	1	1
469	влияние на	1	1
470	различными сторонами	1	1
471	исходят из	1	1
472	в обращении	1	1
473	или иначе	2	1
474	на определенные	1	1
475	в ряде	1	1
476	которых оно	1	1
477	себя и	2	1
478	что не	2	1
479	социальной жизни	1	1
480	что для	1	1
481	предмет и	1	1
482	его из	1	1
483	только по	1	1
484	на смену	3	1
485	то и	1	1
486	ничем не	1	1
487	которое по	1	1
488	как ни	1	1
489	о чем	3	1
490	произведение в	1	1
491	мира в	3	1
492	он и	2	1
493	и ему	1	1
494	в руках	1	1
495	почву для	1	1
496	ведет и	1	1
497	нет ничего	1	1
498	и становятся	1	1
499	вместе с	5	1
500	ко всем	1	1
501	в иных	3	1
502	книге о	1	1
503	днем и	1	1
504	уже об	1	1
505	быть не	2	1
506	зрения которого	1	1
507	своего поэтического	1	1
508	эти два	1	1
509	в первые	1	1
510	на пути	1	1
511	в эстетический	1	1
512	затем и	1	1
513	аналогии с	1	1
514	но это	1	1
515	новые и	1	1
516	но с	2	1
517	за его	2	1
518	творческой личности	1	1
519	потому не	1	1
520	жизнью в	3	1
521	о котором	1	1
522	бы в	1	1
523	для его	3	1
524	послужить эпиграфом	1	1
525	поэт в	2	1
526	же в	2	1
527	потребность в	1	1
528	процессе своего	1	1
529	героя и	1	1
530	не знает	2	1
531	отношением к	2	1
532	себе самому	3	1
533	в последнем	1	1
534	есть и	1	1
535	жизни и	3	1
536	остались те	1	1
537	героя как	2	1
538	по причине	1	1
539	который не	1	1
540	значение в	1	1
541	как на	3	1
542	в таком	1	1
543	этой точки	1	1
544	они не	1	1
