N	2gram	Berdyaev_N_1	RusskieA
151	говорить о	1	1
152	то это	1	1
153	в ней	5	1
154	на нем	1	1
155	в религии	2	1
156	что его	1	1
157	об освящении	1	1
158	нет и	2	1
159	в своем	1	1
160	к новому	7	1
161	хотя и	2	1
162	от других	1	1
163	всего как	1	1
164	от этого	1	1
165	в самом	1	1
166	уже в	1	1
167	он в	1	1
168	ни одна	2	1
169	не могла	2	1
170	вообще не	1	1
171	в ночи	3	1
172	в нем	5	1
173	в статье	1	1
174	вера в	1	1
175	только в	1	1
176	в нее	1	1
177	но все	1	1
178	это конечно	1	1
179	от нее	1	1
180	в одну	2	1
181	что все	2	1
182	значение в	1	1
183	знает что	1	1
184	в новое	3	1
185	нет в	1	1
186	для чего	2	1
187	такой же	2	1
188	оно же	1	1
189	от религии	2	1
190	в такой	1	1
191	начиная со	1	1
192	бы к	1	1
193	с своими	1	1
194	место в	2	1
195	своего рода	1	1
196	возвращение к	3	1
197	как другие	1	1
198	мир и	2	1
199	бог чтобы	1	1
200	только для	1	1
201	что этот	1	1
202	возвращается к	2	1
203	дай бог	1	1
204	и очень	1	1
205	к такой	1	1
206	быть признан	1	1
207	эти формы	3	1
208	в основе	3	1
209	есть уже	1	1
210	по своей	1	1
211	и его	1	1
212	женщины в	1	1
213	как будто	2	1
214	и оно	1	1
215	в духе	3	1
216	во все	1	1
217	оставить в	1	1
218	и всех	1	1
219	оно не	1	1
220	и это	2	1
221	религия не	1	1
222	не будет	7	1
223	не могу	1	1
224	более высокой	1	1
225	так на	1	1
226	приводит к	1	1
227	и когда	1	1
228	с собой	1	1
229	так и	2	1
230	к тем	1	1
231	возможно что	1	1
232	с ним	1	1
233	погружается в	1	1
234	то они	1	1
235	можно сказать	1	1
236	это должно	1	1
237	и во	1	1
238	духовным и	1	1
239	в его	1	1
240	но нет	1	1
241	востока и	1	1
242	которая должна	1	1
243	все время	2	1
244	и мир	1	1
245	античности к	1	1
246	что он	1	1
247	ли он	1	1
248	который в	2	1
249	их не	1	1
250	в эти	1	1
251	же и	1	1
252	вопроса о	1	1
253	в большинстве	1	1
254	вернуться к	2	1
255	значение и	1	1
256	раньше чем	1	1
257	а это	1	1
258	так называемый	1	1
259	мир в	1	1
260	не будут	2	1
261	всяком случае	1	1
262	в конце	1	1
263	почему о	1	1
264	в состоянии	1	1
265	к ним	3	1
266	время как	2	1
267	в это	1	1
268	ней и	1	1
269	и даже	2	1
270	на поверхности	1	1
271	превращается в	1	1
272	и возвращается	1	1
273	не на	1	1
274	зависит от	2	1
275	быть принята	1	1
276	и поставил	1	1
277	а по	1	1
278	которые будут	1	1
279	может иметь	1	1
280	имея в	1	1
281	эти слова	1	1
282	природе и	2	1
283	и потому	4	1
284	другая сторона	1	1
285	более широкого	1	1
286	к себе	1	1
287	по своему	4	1
288	он может	1	1
289	как конец	1	1
290	был в	1	1
291	в человеческом	1	1
292	и более	1	1
293	быть не	1	1
294	и не	11	1
295	свои песни	1	1
296	но это	6	1
297	освобождение от	1	1
298	он видел	1	1
299	времени его	1	1
300	глядит из	1	1
301	магический характер	1	1
302	мы должны	1	1
303	или не	1	1
304	к ее	3	1
305	станет более	1	1
306	и начинается	2	1
307	все еще	1	1
308	в период	1	1
309	в свою	1	1
310	сказать что	3	1
311	другой стороны	2	1
312	есть и	1	1
313	быть признана	1	1
314	во всяком	1	1
315	как на	1	1
316	и особенно	1	1
317	все что	1	1
