N	2gram	Nazirov_Tr_1	Analitik
180	событий и	1	1
181	не способен	1	1
182	что достоевский	4	1
183	в ней	1	1
184	над ним	1	1
185	и ждет	1	1
186	литературы и	1	1
187	для сюжета	1	1
188	он был	2	1
189	он сам	7	1
190	ответа на	1	1
191	быть в	1	1
192	и служит	1	1
193	в чем	1	1
194	сюжетные линии	1	1
195	во всех	1	1
196	в ее	2	1
197	но как	1	1
198	как в	3	1
199	за этим	1	1
200	о жизни	2	1
201	есть в	1	1
202	что ее	1	1
203	и наконец	1	1
204	я к	2	1
205	к числу	1	1
206	опирающаяся на	1	1
207	со своей	1	1
208	именно эта	1	1
209	что это	5	1
210	он в	1	1
211	и отношения	1	1
212	только один	1	1
213	если он	1	1
214	такая трактовка	1	1
215	ответом на	1	1
216	творца и	1	1
217	не значит	1	1
218	в виде	2	1
219	не как	1	1
220	но все	2	1
221	от нее	1	1
222	здесь мы	1	1
223	а затем	1	1
224	что все	2	1
225	же не	1	1
226	его в	2	1
227	заключается в	1	1
228	полноте и	1	1
229	из первых	1	1
230	этом мы	1	1
231	этой позицией	1	1
232	в них	1	1
233	быть понят	1	1
234	с тем	2	1
235	он и	2	1
236	же я	1	1
237	и при	1	1
238	этой связи	1	1
239	и ее	2	1
240	к истории	1	1
241	взгляд на	1	1
242	в такой	1	1
243	знает и	1	1
244	что говорит	2	1
245	есть высшая	1	1
246	одном из	2	1
247	но он	1	1
248	речи в	1	1
249	борьбу с	1	1
250	тому что	1	1
251	раз и	2	1
252	не менее	1	1
253	в обоих	1	1
254	одна из	2	1
255	и холодного	1	1
256	виду не	1	1
257	не вызывает	1	1
258	на котором	1	1
259	ужас и	1	1
260	ничего не	2	1
261	его речи	1	1
262	иными словами	1	1
263	во всем	1	1
264	но это	4	1
265	входят в	1	1
266	дистанции между	1	1
267	мы встречаем	1	1
268	xx века	1	1
269	о счастье	1	1
270	к себе	1	1
271	значение только	1	1
272	вопросу об	1	1
273	позиция в	1	1
274	обратно в	1	1
275	его с	1	1
276	именно таков	1	1
277	утверждать что	1	1
278	говорит о	2	1
279	в виду	1	1
280	но при	2	1
281	людей в	1	1
282	другой мир	1	1
283	как система	1	1
284	в последующих	1	1
285	в диалог	1	1
286	в прошлое	1	1
287	и должно	1	1
288	и т.д	1	1
289	это происходит	1	1
290	в самой	1	1
291	другие и	1	1
292	но мы	1	1
293	и что	4	1
294	теперь и	2	1
295	времени в	2	1
296	это была	1	1
297	восходит к	1	1
298	по слову	1	1
299	связь между	1	1
300	встречи со	1	1
301	все время	1	1
302	вплоть до	1	1
303	я все	2	1
304	и дело	1	1
305	только сам	1	1
306	что даже	1	1
307	друг друга	2	1
308	своих прежних	1	1
309	как нечто	1	1
310	даже если	2	1
311	романа как	1	1
312	что ж	1	1
313	так что	2	1
314	связи с	1	1
315	эпизод с	3	1
316	то и	2	1
317	чтобы он	1	1
318	в душе	2	1
319	но от	1	1
320	не так	2	1
321	всяком случае	1	1
322	могло бы	1	1
323	слова в	1	1
324	в одном	2	1
325	второй части	1	1
326	в xx	1	1
327	у него	6	1
328	тут же	2	1
329	быть по	1	1
330	это по	1	1
331	и вместе	1	1
332	только на	1	1
333	в особенности	1	1
334	и даже	4	1
335	даже не	1	1
336	развития в	1	1
337	одну из	1	1
338	и др	1	1
339	этого персонажа	1	1
340	творческий процесс	1	1
341	не было	1	1
342	полагал что	1	1
343	в рассказе	2	1
344	его как	1	1
345	вступления в	1	1
346	о чем	3	1
347	в связи	1	1
348	виде в	1	1
349	мог быть	1	1
350	люди но	1	1
351	о себе	1	1
352	и особенно	1	1
353	ко всем	1	1
354	как это	3	1
355	для искусства	2	1
356	искусства но	1	1
357	смысле этого	1	1
358	xx веке	1	1
359	с этой	1	1
360	еще раз	2	1
361	о его	2	1
362	перед смертью	1	1
363	перед нами	2	1
364	она должна	2	1
365	является ли	1	1
366	при таком	1	1
367	и от	1	1
368	что оно	1	1
369	в результате	1	1
370	я не	4	1
371	для нас	1	1
372	от него	1	1
373	из себя	1	1
374	не я	1	1
375	но затем	1	1
376	личности и	2	1
377	в карты	1	1
378	жизни в	1	1
379	в романе	10	1
380	совершенно не	1	1
381	сюжета является	1	1
382	время он	1	1
383	где он	1	1
384	а я	5	1
385	по поводу	2	1
386	и эта	1	1
387	это понятие	1	1
388	во всяком	1	1
