N	2gram	Berdyaev_N_1	Psycholo
361	жизнь в	1	1
362	и обнаруживается	1	1
363	ближе к	1	1
364	я называю	2	1
365	равно как	2	1
366	вступает в	1	1
367	была уже	1	1
368	своей основе	1	1
369	и особенно	1	1
370	перейти от	3	1
371	мы говорим	2	1
372	заключается что	2	1
373	истории не	3	1
374	быть только	1	1
375	эту мысль	1	1
376	это значит	1	1
377	отдельное и	1	1
378	оба они	1	1
379	люди не	2	1
380	никогда еще	1	1
381	в мировой	2	1
382	человека это	1	1
383	как не	8	1
384	от всех	1	1
385	или нет	1	1
386	мы должны	1	1
387	в зависимость	1	1
388	я думаю	1	1
389	гораздо больше	1	1
390	мир который	1	1
391	жизни а	1	1
392	есть и	1	1
393	протекает и	1	1
394	тогда не	1	1
395	жизни и	8	1
396	как результат	1	1
397	случае если	1	1
398	все что	1	1
