N	2gram	Berdyaev_O_1	Psycholo
198	была бы	1	2
199	с каким-то	1	2
200	сравнению с	1	2
201	его жизни	1	2
202	но это	1	2
203	не существует	1	2
204	интерес к	1	2
205	состоит из	1	2
206	на этот	1	2
207	в свое	1	2
208	ли он	1	2
209	и от	3	2
210	все что	3	2
211	смысле слова	1	1
212	если вы	1	1
213	чтобы не	1	1
214	человека и	10	1
215	совершенно новый	1	1
216	тем же	1	1
217	к другому	1	1
218	человеческой души	6	1
219	уже указывали	1	1
220	и самое	1	1
221	и больше	1	1
222	отношения к	1	1
223	он понимал	1	1
224	характер его	1	1
225	преступления и	1	1
226	в уста	2	1
227	которой может	1	1
228	о судьбе	1	1
229	и много	2	1
230	он сам	4	1
231	и формы	1	1
232	одним словом	1	1
233	и скорее	1	1
234	иногда и	1	1
235	и достоевский	1	1
236	не самое	1	1
237	в истории	2	1
238	толстого и	1	1
239	что как	1	1
240	сознания в	1	1
241	сострадания к	1	1
242	не очень	2	1
243	то в	1	1
244	уже не	1	1
245	этот случай	1	1
246	говорят о	1	1
247	не хочет	1	1
248	это есть	1	1
249	критики этого	1	1
250	мучительны они	1	1
251	нет художественного	1	1
252	творчество достоевского	2	1
253	человеке и	5	1
254	и кто	1	1
255	только один	1	1
256	чувств и	1	1
257	видел в	1	1
258	ключ к	1	1
259	он должен	1	1
260	что нужно	1	1
261	в силу	1	1
262	в россии	5	1
263	людей и	1	1
264	в пустыне	1	1
265	это конечно	1	1
266	же не	1	1
267	указывали на	1	1
268	и характер	1	1
269	этом он	2	1
270	человеческой психики	1	1
271	в совершенно	1	1
272	различие между	3	1
273	в другом	2	1
274	его не	2	1
275	его в	2	1
276	подходит к	1	1
277	в глазах	1	1
278	только одно	3	1
279	жизни человека	1	1
280	ли может	1	1
281	романы достоевского	1	1
282	всегда и	1	1
283	он и	1	1
284	чем в	2	1
285	должно быть	2	1
286	и почему	1	1
287	и тогда	1	1
288	достоевского но	2	1
289	которую он	2	1
290	вообще вся	1	1
291	и тут	1	1
292	в котором	1	1
293	из которой	1	1
294	как глубоко	1	1
295	есть один	1	1
296	мир и	1	1
297	все чувства	1	1
298	говорит с	1	1
299	что было	1	1
300	при чтении	2	1
301	и очень	2	1
302	нет никакого	1	1
303	что есть	2	1
304	в русской	3	1
305	дело в	1	1
306	одна из	1	1
307	что их	1	1
308	не по	1	1
309	было у	1	1
310	действующие лица	1	1
311	человека от	1	1
312	в разных	1	1
313	жизни не	1	1
314	к ней	2	1
315	его судьбу	1	1
316	вместо того	2	1
317	ничто не	2	1
318	с другом	1	1
319	чтобы сделать	1	1
320	всего что	1	1
321	они и	1	1
322	не есть	2	1
323	он никогда	1	1
324	даже когда	1	1
325	из всего	2	1
326	и о	2	1
327	все противоречия	2	1
328	на нем	1	1
329	людей в	1	1
330	характер и	1	1
331	природе своей	1	1
332	не с	1	1
333	жизнь а	1	1
334	в борьбе	1	1
335	и каждый	1	1
336	которого они	1	1
337	быть может	3	1
338	как у	1	1
339	один человек	1	1
340	о нем	1	1
341	все его	1	1
342	и мыслей	1	1
343	что люди	1	1
344	свой метод	1	1
345	самого конца	2	1
346	все в	4	1
347	вообще и	1	1
348	боль и	1	1
349	самой природе	1	1
350	же можно	2	1
351	он что	1	1
352	людей а	1	1
353	что только	1	1
354	с ними	1	1
355	природой и	1	1
356	он делается	1	1
357	и судьбу	1	1
358	со всеми	1	1
359	бы самый	1	1
360	с одного	1	1
361	же и	1	1
362	его и	1	1
363	был бы	1	1
364	для него	5	1
365	ведь это	2	1
366	прежде всего	9	1
367	двух противоположных	1	1
368	у нее	1	1
369	почему не	1	1
370	художник не	1	1
371	а те	1	1
372	всеми и	1	1
373	до самого	5	1
374	со стороны	1	1
375	для художника	1	1
376	и ему	1	1
377	а кончает	1	1
378	лица в	1	1
379	человека а	2	1
380	и прежде	1	1
381	что бог	1	1
382	системы и	1	1
383	стоит именно	1	1
384	души он	1	1
385	есть лишь	4	1
386	чем на	3	1
387	только несколько	1	1
388	для человека	2	1
389	под влиянием	1	1
390	я хочу	1	1
391	ко всем	2	1
392	его характер	1	1
393	и там	2	1
394	друг с	1	1
395	быть не	1	1
396	бросается в	1	1
397	поэма о	1	1
398	этого слова	1	1
399	его творчество	1	1
400	и нет	2	1
401	о его	5	1
402	нет ничего	7	1
403	сердца людей	1	1
404	любовь к	2	1
405	указать на	1	1
406	его творчества	1	1
407	не подходит	1	1
408	в поэме	1	1
409	от него	7	1
410	о достоевском	2	1
411	бы в	1	1
412	своих героев	1	1
413	он попал	1	1
414	ни к	1	1
415	будто бы	1	1
416	трагедии и	1	1
417	и эта	1	1
418	речи и	1	1
419	которым он	1	1
420	не иметь	1	1
421	кажется и	2	1
422	свои собственные	1	1
423	в достоевском	1	1
424	но еще	1	1
425	к этому	2	1
