N	2gram	Propp_Morf_1	Freidism
267	мы видим	13	2
268	в высшей	1	2
269	не совсем	1	2
270	или во	1	2
271	большую роль	1	2
272	их в	1	2
273	же касается	1	2
274	быть и	2	2
275	при помощи	9	2
276	все они	1	2
277	есть и	4	2
278	только для	1	2
279	мы говорили	1	2
280	и у	1	2
281	всего этого	1	2
282	и до	1	2
283	это не	6	2
284	а не	11	2
285	чем же	1	2
286	к этому	3	2
287	с другой	8	2
288	что она	2	2
289	и то	1	2
290	оно может	3	2
291	что с	1	2
292	же с	1	2
293	в виду	1	2
294	но во	1	2
295	что мы	2	2
296	же самое	1	2
297	не приходится	1	2
298	или вовсе	1	2
299	том что	4	2
300	но для	2	2
301	и при	1	2
302	свои собственные	1	1
303	по их	3	1
304	точек зрения	1	1
305	одним из	1	1
306	о которых	1	1
307	и там	1	1
308	момент в	1	1
309	может и	1	1
310	она хочет	1	1
311	в третий	1	1
312	убежден что	1	1
313	один пример	1	1
314	образом и	1	1
315	и здесь	5	1
316	вывод что	2	1
317	но она	1	1
318	подобная классификация	1	1
319	случае это	1	1
320	переходит на	1	1
321	много лет	1	1
322	таких случаев	2	1
323	очень важных	1	1
324	вопрос о	7	1
325	входит в	2	1
326	это мы	1	1
327	на борьбу	1	1
328	чтобы это	1	1
329	требует чтобы	3	1
330	в поле	4	1
331	становится на	1	1
332	о так	1	1
333	не всегда	9	1
334	действия в	1	1
335	мы берем	1	1
336	каков характер	1	1
337	является одним	1	1
338	что они	2	1
339	других очень	2	1
340	в пропасть	3	1
341	имеем ли	1	1
342	все с	1	1
343	даже не	3	1
344	выдает себя	2	1
345	в один	3	1
346	переходим к	1	1
347	и этот	1	1
348	т д	39	1
349	следует за	2	1
350	сходство не	1	1
351	очень большую	1	1
352	по-видимому не	1	1
353	как по	1	1
354	и со	1	1
355	как с	1	1
356	действительно ни	1	1
357	это один	1	1
358	где кончается	1	1
359	во что	1	1
360	это так	2	1
361	на ее	1	1
362	вследствие чего	1	1
363	нашей работы	2	1
364	и вслед	1	1
365	коем случае	1	1
366	где мы	1	1
367	на то	2	1
368	в виде	2	1
369	не по	2	1
370	может возникнуть	1	1
371	на первый	3	1
372	его можно	1	1
373	или не	3	1
374	увидим что	1	1
375	непосредственно с	1	1
376	этот вывод	1	1
377	и должны	1	1
378	зрения его	1	1
379	там где	5	1
380	это дает	1	1
381	совершенно ясно	1	1
382	если это	3	1
383	и далее	1	1
384	никак нельзя	1	1
385	же элементы	1	1
386	в некоторых	3	1
387	различных народов	1	1
388	та же	2	1
389	а на	3	1
390	о возможности	1	1
391	с большим	1	1
392	там же	1	1
393	в другой	1	1
394	которые можно	1	1
395	что такой	1	1
396	если он	1	1
397	в одном	1	1
398	какое же	1	1
399	в это	1	1
400	имен и	1	1
401	три дня	1	1
402	на которых	1	1
403	следует заметить	2	1
404	одно из	1	1
405	вводит в	1	1
406	одним словом	1	1
407	до известной	1	1
408	же в	2	1
409	чтобы получить	1	1
410	собой в	2	1
411	это достигается	1	1
412	который в	2	1
413	со смертью	2	1
414	вызвать в	1	1
415	там и	1	1
416	должны теперь	1	1
417	не определяются	1	1
418	является его	1	1
419	наконец даже	1	1
420	нет это	1	1
421	только один	1	1
422	этой работе	1	1
423	первый взгляд	3	1
424	его мать	1	1
425	быть не	1	1
426	к различным	2	1
427	дело с	1	1
428	действия и	1	1
429	с теми	4	1
430	какой степени	1	1
431	и т	41	1
432	связанное с	1	1
433	в том	6	1
434	а затем	4	1
435	в ином	2	1
436	работы и	1	1
437	не так	1	1
438	элементы и	1	1
439	дана в	1	1
440	бы не	1	1
441	независимо от	3	1
442	совершенно убежден	1	1
443	для данного	1	1
444	от других	2	1
445	к ней	1	1
446	сторона в	1	1
447	он приводит	2	1
448	на новые	2	1
449	не с	2	1
450	от отца	1	1
451	ее по	3	1
452	из которых	3	1
453	же из	1	1
454	пр с	1	1
455	этом случае	8	1
456	на все	1	1
457	каком материале	1	1
458	как они	1	1
459	следовательно в	1	1
460	материала в	1	1
461	которые в	1	1
462	зуб он	2	1
463	во внимание	1	1
464	на каком	1	1
465	момента в	1	1
466	мог бы	1	1
467	пор не	1	1
468	это сделать	1	1
469	или при	2	1
470	для изучения	1	1
471	жизненных явлений	1	1
472	из этого	1	1
473	скрывается под	1	1
474	же она	2	1
475	в целом	3	1
476	наши дни	1	1
477	можно говорить	1	1
478	других видов	1	1
479	эти две	1	1
480	связанная с	1	1
481	начинает действовать	1	1
482	укажем что	1	1
483	что его	2	1
484	мотивов но	1	1
485	на одном	1	1
486	тут и	1	1
487	или по	2	1
488	а эта	2	1
489	в нее	1	1
490	дело в	1	1
491	можно назвать	3	1
492	все события	1	1
493	и заставляет	1	1
494	во всем	1	1
495	но на	1	1
496	оказывается что	1	1
497	находится в	1	1
498	но эти	1	1
499	же законы	1	1
500	ничего не	4	1
501	более широкого	1	1
502	можно ли	1	1
503	также и	4	1
504	так мы	1	1
505	быть изучены	1	1
506	тем что	4	1
507	так называемых	2	1
508	человека эта	1	1
509	мы легко	1	1
510	у которого	1	1
511	вот как	1	1
512	то это	3	1
513	к целому	2	1
514	ту же	2	1
515	в форме	6	1
516	ему в	1	1
517	при таких	1	1
518	однако и	1	1
519	остановимся на	1	1
520	которое следует	1	1
521	перейти к	2	1
522	наших дней	2	1
523	друг друга	3	1
524	но так	1	1
525	и тем	2	1
526	равно как	1	1
527	исходят из	2	1
528	же относится	1	1
529	но прежде	1	1
530	мы вполне	1	1
531	ясно что	5	1
532	на нескольких	1	1
533	в борьбу	1	1
534	ни стало	1	1
535	то нет	1	1
536	же методами	1	1
537	в интересах	2	1
538	а вовсе	1	1
539	или с	3	1
540	как то	2	1
541	мотивах и	1	1
542	показать что	4	1
543	приходит к	1	1
544	таких условиях	1	1
545	оно есть	1	1
546	как уже	2	1
547	точно и	1	1
548	совершенно одинаково	1	1
549	сам конечно	1	1
550	основано на	1	1
551	с собой	3	1
552	в круг	1	1
553	из одной	1	1
554	в результате	7	1
555	затем он	1	1
556	сведения о	1	1
557	и когда	1	1
558	в качестве	5	1
559	в лице	1	1
560	ними и	1	1
561	далеко не	5	1
562	такое же	1	1
563	заметим что	2	1
564	д таким	1	1
565	этим же	1	1
566	в различных	2	1
567	пр и	2	1
568	наука о	2	1
569	все другие	1	1
570	пойти в	2	1
571	или другими	1	1
572	на своем	1	1
573	не зная	1	1
574	указать на	1	1
575	однако в	2	1
576	нужно только	1	1
577	правда очень	1	1
578	или наоборот	1	1
579	и нет	1	1
580	если же	5	1
581	о том	2	1
582	на друга	2	1
583	то время	3	1
584	ведь и	1	1
585	быть поняты	1	1
586	и предметом	1	1
587	а также	4	1
588	вообще не	1	1
589	кажется что	1	1
590	случаях всегда	2	1
591	уже совершенно	1	1
592	чем в	1	1
593	целый ряд	3	1
594	которые не	1	1
595	заставляет его	2	1
596	или как	1	1
597	и функции	1	1
598	он должен	2	1
599	говорить не	1	1
600	и своего	1	1
601	она в	2	1
602	но эта	1	1
603	о мотивах	2	1
604	не будем	4	1
605	а во	1	1
606	другой пример	1	1
607	то она	1	1
608	благодаря этому	3	1
609	бросается в	1	1
610	мифах и	1	1
611	как будто	2	1
612	друг на	2	1
613	после того	1	1
614	без всякого	2	1
615	имеем в	6	1
616	означает что	2	1
617	ответить на	1	1
618	этой классификации	2	1
619	вытекает из	1	1
620	дальнейшему развитию	1	1
621	имеется и	1	1
622	здесь действительно	1	1
623	возникает вопрос	2	1
624	мысль о	1	1
625	известной степени	1	1
626	какие же	1	1
627	в коем	1	1
628	потому не	1	1
629	служит в	1	1
630	так называемой	1	1
631	в первой	1	1
632	в основу	2	1
633	об их	1	1
634	к следующему	1	1
635	которую они	1	1
