N	2gram	Tiupa_Lite_2	Poddanst
160	новейшей русской	1	1
161	как мастер	1	1
162	и что	2	1
163	притом в	1	1
164	еще не	2	1
165	и на	6	1
166	он был	1	1
167	вечности и	1	1
168	не властно	1	1
169	восходит к	2	1
170	грань между	1	1
171	прошлого не	2	1
172	не все	1	1
173	что и	2	1
174	отличие от	1	1
175	да в	1	1
176	не просто	1	1
177	выступает как	1	1
178	под покровом	1	1
179	к осуществлению	1	1
180	в истории	2	1
181	в преодолении	1	1
182	в рамках	4	1
183	на россию	1	1
184	тех пор	1	1
185	все же	2	1
186	и где	1	1
187	в какой	2	1
188	в самом	1	1
189	только то	1	1
190	пути но	1	1
191	но как	2	1
192	что это	1	1
193	представляет собой	2	1
194	у каждого	1	1
195	в эти	1	1
196	человека с	1	1
197	себя в	6	1
198	в известном	1	1
199	переходит в	1	1
200	уже в	2	1
201	во многих	1	1
202	только на	1	1
203	на то	1	1
204	наш взгляд	3	1
205	тем чтобы	1	1
206	мир в	1	1
207	одно из	2	1
208	друг друга	2	1
209	и только	2	1
210	каждый из	4	1
211	на наш	3	1
212	и по	1	1
213	одно и	2	1
214	в каждом	2	1
215	а затем	2	1
216	в исторической	1	1
217	или иной	1	1
218	из всех	1	1
219	его в	1	1
220	сознания к	1	1
221	и иных	2	1
222	полноте и	1	1
223	например с	1	1
224	а с	1	1
225	русской культуры	1	1
226	что не	2	1
227	в это	1	1
228	к более	1	1
229	гумилева в	1	1
230	кто не	1	1
231	и умножить	1	1
232	далеко не	1	1
233	в этой	3	1
234	черты в	2	1
235	как и	10	1
236	и я	1	1
237	ведет к	1	1
238	в развитии	1	1
239	не об	1	1
240	и еще	2	1
241	движение и	1	1
242	в творчестве	1	1
243	в ходе	1	1
244	от первой	1	1
245	и понятиях	1	1
246	бытия как	1	1
247	так же	1	1
248	усомниться в	1	1
249	на плечи	2	1
250	и правит	1	1
251	место в	1	1
252	в отличие	1	1
253	мысли и	2	1
254	в данном	3	1
255	со столь	1	1
256	что было	2	1
257	как к	3	1
258	богом и	1	1
259	того кто	1	1
260	и менее	1	1
261	государства в	1	1
262	наиболее же	1	1
263	в историческом	1	1
264	в делах	1	1
265	и вся	1	1
266	что есть	1	1
267	и другим	1	1
268	в основном	1	1
269	к победе	1	1
270	того чтобы	1	1
271	не имеет	1	1
272	никогда не	3	1
273	и всегда	1	1
274	в результате	2	1
275	казалось бы	1	1
276	в отношениях	1	1
277	вождя в	2	1
278	этих двух	1	1
279	не более	2	1
280	и притом	1	1
281	как явление	1	1
282	и слабость	1	1
283	что по	1	1
284	в наши	1	1
285	другой стороны	4	1
286	бы за	1	1
287	и теперь	1	1
288	в этих	1	1
289	до тех	1	1
290	на фоне	5	1
291	над ним	2	1
292	нет ничего	1	1
293	в психологии	1	1
294	бытия не	2	1
295	есть у	1	1
296	из тех	2	1
297	только как	1	1
298	мыслилась как	1	1
299	и наряду	1	1
300	есть и	1	1
301	ли не	4	1
302	в других	1	1
303	ни к	1	1
304	начала в	1	1
305	числе и	1	1
306	частности в	1	1
307	всего что	1	1
308	к этой	2	1
309	вместе с	5	1
310	все еще	2	1
311	к истокам	1	1
312	который не	1	1
313	русской литературы	1	1
314	в последующие	1	1
315	они не	1	1
316	гораздо более	1	1
