N	2gram	Berdyaev_V_1	VLabPisa
256	и завистливого	1	1
257	существе своем	2	1
258	же и	1	1
259	конечно не	2	1
260	в следующих	1	1
261	в виде	1	1
262	по законам	1	1
263	или даже	1	1
264	его и	2	1
265	бы мог	1	1
266	многим из	1	1
267	ни в	3	1
268	в существе	2	1
269	не для	1	1
270	в состоянии	1	1
271	себя от	1	1
272	отношение к	1	1
273	но что	1	1
274	не случайно	1	1
275	и никогда	2	1
276	тем что	2	1
277	и вместе	1	1
278	в едином	1	1
279	так не	2	1
280	что тот	1	1
281	бытия в	1	1
282	себя и	1	1
283	них и	1	1
284	не создает	2	1
285	жизнь в	1	1
286	мира в	2	1
287	если не	3	1
288	своей личности	1	1
289	нет ничего	3	1
290	в духе	2	1
291	как в	1	1
292	и самые	1	1
293	их к	1	1
294	сравнению с	1	1
295	это значит	1	1
296	должно быть	3	1
297	еще к	1	1
298	с бытием	1	1
299	но это	3	1
300	о свободе	2	1
301	слова с	1	1
302	мы видим	1	1
303	было еще	2	1
304	его хотя	1	1
305	это как	1	1
306	а к	2	1
307	ее и	2	1
308	и все	4	1
309	вообще в	1	1
310	находится в	1	1
311	потому что	4	1
312	но вот	1	1
313	личности и	3	1
314	объективной реальности	1	1
315	к ее	1	1
316	это в	1	1
317	в последнем	2	1
318	религии и	1	1
319	и идеи	1	1
320	есть и	1	1
321	есть то	1	1
322	и другие	1	1
323	в роли	1	1
