N	2gram	Nazirov_Vr_1	Komedia
305	вот в	1	1
306	перед ними	1	1
307	связывает с	1	1
308	к себе	2	1
309	и дал	1	1
310	бедными и	1	1
311	вошли в	1	1
312	отличается от	1	1
313	его с	2	1
314	пять или	1	1
315	на основе	2	1
316	только при	1	1
317	встреча с	1	1
318	было в	1	1
319	дворца в	1	1
320	но у	1	1
321	жизнь и	1	1
322	о котором	1	1
323	с ним	4	1
324	а их	1	1
325	можно найти	1	1
326	вошедшая в	1	1
327	а также	2	1
328	второй половине	1	1
329	но мы	1	1
330	его жизни	1	1
331	там же	2	1
332	нас в	1	1
333	служит для	1	1
334	от них	1	1
335	ему было	1	1
336	говорить об	1	1
337	полагали что	1	1
338	я думаю	1	1
339	не хуже	1	1
340	во всей	1	1
341	что же	1	1
342	если это	1	1
343	в литературе	1	1
344	к которому	1	1
345	имеется в	1	1
346	по своей	1	1
347	то он	1	1
348	по мнению	2	1
349	за которую	1	1
350	человека с	2	1
351	внимание в	1	1
352	и детей	4	1
353	самую суть	1	1
354	больше не	1	1
355	не все	1	1
356	и явно	1	1
357	целого ряда	1	1
358	к своим	1	1
359	для него	2	1
360	в известной	1	1
361	нравственные муки	1	1
362	как раз	2	1
363	я вижу	1	1
364	никого не	1	1
365	из двух	1	1
366	и даже	6	1
367	и из	1	1
368	не знали	1	1
369	а с	2	1
370	говорит о	1	1
371	этого не	1	1
372	до конца	1	1
373	и самый	1	1
374	выше и	1	1
375	другой стороны	1	1
376	среди них	1	1
377	одну из	1	1
378	из героев	1	1
379	несмотря на	4	1
380	с помощью	1	1
381	свою очередь	1	1
382	него в	1	1
383	или по	1	1
384	времени а	1	1
385	без труда	1	1
386	предположить что	1	1
387	первое место	1	1
388	ироническое отношение	1	1
389	именно в	1	1
390	считал что	3	1
391	в остальном	1	1
392	еще раз	1	1
393	оба они	1	1
394	у вас	1	1
395	ближе к	1	1
396	г а	5	1
397	которую молодой	1	1
398	себя на	1	1
399	это как	1	1
400	не с	1	1
401	но об	1	1
402	ее и	1	1
403	скорее всего	1	1
404	тем более	2	1
405	и как	3	1
406	в разоблачении	1	1
407	хотя в	1	1
408	тому назад	1	1
409	а н	2	1
410	постановки вопроса	1	1
411	нам не	1	1
412	нет ничего	1	1
413	только как	1	1
414	равно как	1	1
415	в свою	2	1
416	о себе	3	1
417	по которой	1	1
418	т е	3	1
419	бы его	1	1
420	это была	1	1
421	от роду	1	1
422	точно так	1	1
423	которому в	1	1
424	по праву	1	1
425	так же	4	1
426	как на	1	1
427	все что	1	1
