N	2gram	Propp_Morf_1	Russkaja
157	но она	1	2
158	в таком	1	2
159	там и	1	2
160	по отношению	4	2
161	тогда как	2	2
162	с этим	11	2
163	что действительно	2	2
164	помнить что	1	2
165	целый ряд	3	2
166	и наконец	1	2
167	но в	2	2
168	не можем	1	2
169	все эти	2	2
170	и тот	1	2
171	другом случае	1	2
172	во многих	1	2
173	состоит в	2	2
174	и вот	1	2
175	чтобы в	1	2
176	мы уже	1	2
177	того или	1	2
178	и тем	2	2
179	стремления к	1	2
180	одному из	3	2
181	на основании	1	2
182	этого не	2	2
183	и тогда	1	2
184	нисколько не	1	2
185	в этих	13	2
186	во время	6	2
187	что такое	3	2
188	ее он	1	2
189	в силу	1	2
190	и более	1	2
191	их в	1	2
192	для нее	1	2
193	тому что	4	2
194	она не	2	2
195	только для	1	2
196	в таких	2	2
197	что с	1	2
198	для нас	2	2
199	у него	1	2
200	больше чем	1	2
201	на которой	1	2
202	как будто	2	2
203	в области	1	2
204	если только	1	2
205	которых каждый	1	2
206	если же	5	2
207	если они	2	2
208	ясно что	5	2
209	даже не	3	2
210	практически это	1	2
211	настоящее время	3	2
212	и что	2	2
213	были бы	1	2
214	они принадлежат	1	2
215	от него	1	2
216	к нему	3	2
217	быть и	2	2
218	этот вопрос	2	2
219	совершенно не	1	2
220	так что	1	2
221	уже не	2	2
222	только на	1	2
223	в начале	3	2
224	его и	2	2
225	не так	1	2
226	ни в	1	2
227	мы можем	2	2
228	в других	3	2
229	и даже	1	2
230	основанный на	1	2
231	а с	2	2
232	в некоторых	3	2
233	а не	11	2
234	большинстве случаев	3	2
235	на эту	1	2
236	совершенно очевидно	1	2
237	в частности	2	2
238	так же	3	2
239	всех людей	1	2
240	в течение	1	2
241	есть и	4	2
242	благодаря этому	3	2
243	но это	6	2
244	этом и	1	2
245	но для	2	2
246	если не	1	2
247	в результате	7	2
248	в настоящее	3	2
249	и однако	1	2
250	ее в	1	2
251	точно так	1	2
252	и действительно	1	1
253	он может	2	1
254	тех же	4	1
255	это и	2	1
256	показать что	4	1
257	исходят из	2	1
258	ту же	2	1
259	свое место	1	1
260	можно лишь	1	1
261	что эти	2	1
262	противном случае	1	1
263	быть достигнуто	1	1
264	к созданию	1	1
265	и за	2	1
266	также и	4	1
267	надо было	1	1
268	мы не	8	1
269	на эти	1	1
270	от своих	1	1
271	такое положение	1	1
272	всего о	1	1
273	в сущности	3	1
274	оно есть	1	1
275	которое в	1	1
276	формы в	1	1
277	с большим	1	1
278	без всякого	2	1
279	он был	1	1
280	но этого	1	1
281	что его	2	1
282	друг к	2	1
283	к этому	3	1
284	но как	2	1
285	значение и	1	1
286	которые не	1	1
287	первый взгляд	3	1
288	в одной	1	1
289	данный момент	1	1
290	что ее	1	1
291	что касается	1	1
292	в противном	1	1
293	перед нами	10	1
294	в полном	1	1
295	по пути	1	1
296	имеет в	1	1
297	этой цели	1	1
298	эти признаки	1	1
299	если о	1	1
300	в которой	3	1
301	привести к	1	1
302	бы не	1	1
303	что так	1	1
304	но ведь	1	1
305	им в	1	1
306	только один	1	1
307	если он	1	1
308	но на	1	1
309	вообще не	1	1
310	на его	4	1
311	тем не	5	1
312	указывается и	1	1
313	прочим и	1	1
314	мало того	1	1
315	постольку поскольку	1	1
316	его можно	1	1
317	лишь с	2	1
318	так например	3	1
319	но все	3	1
320	здесь мы	3	1
321	могла бы	4	1
322	тем в	1	1
323	об этом	4	1
324	к другу	2	1
325	а по	3	1
326	говорить не	1	1
327	и задача	1	1
328	в данной	1	1
329	на каком	1	1
330	входит в	2	1
331	с другими	1	1
332	первый случай	1	1
333	это не	6	1
334	то все	1	1
335	части одной	1	1
336	за другой	1	1
337	чаще всего	7	1
338	и рядом	1	1
339	из нее	1	1
340	это положение	2	1
341	следует считаться	1	1
342	церковь и	1	1
343	как видно	1	1
344	не всегда	9	1
345	такой же	1	1
346	в один	3	1
347	что данный	1	1
348	сделать эти	1	1
349	на первый	3	1
350	переносится в	1	1
351	бы на	1	1
352	где мы	1	1
353	что о	1	1
354	на ряду	1	1
355	не столько	1	1
356	оказывается что	1	1
357	в которых	2	1
358	сведения о	1	1
359	нельзя было	2	1
360	а этой	1	1
361	для данного	1	1
362	очевидно также	1	1
363	теми же	1	1
364	именно по	1	1
365	ни было	2	1
366	чрезвычайно разнообразны	1	1
367	вовсе не	4	1
368	даже в	1	1
369	не менее	5	1
370	до известной	1	1
371	что эта	2	1
372	она могла	1	1
373	самого начала	1	1
374	дело в	1	1
375	или другие	1	1
376	у кого	1	1
377	на него	3	1
378	не по	2	1
379	в основе	1	1
380	не вызывает	1	1
381	иметь в	1	1
382	к ней	1	1
383	и сама	1	1
384	этом отношении	1	1
385	или иных	1	1
386	исходить из	1	1
387	могут быть	16	1
388	же самое	1	1
389	должны быть	1	1
390	элементы для	1	1
391	что при	2	1
392	и материал	1	1
393	оно может	3	1
394	как мы	6	1
395	с ее	1	1
396	как не	1	1
397	людей в	1	1
398	и многие	1	1
399	всего этого	1	1
400	совершенно ясно	1	1
401	в собственном	3	1
402	иногда соединяется	1	1
403	эта задача	1	1
404	мысль о	1	1
405	с самого	1	1
406	ряду с	1	1
407	существовать и	1	1
408	и когда	1	1
409	так и	6	1
410	те же	1	1
411	собой в	2	1
412	мог бы	1	1
413	других и	1	1
414	самых различных	2	1
415	которое будет	1	1
416	стороны их	2	1
417	то они	2	1
418	и просто	1	1
419	можно сказать	2	1
420	в различных	2	1
421	с другой	8	1
422	к освобождению	1	1
423	по их	3	1
424	а во	1	1
425	помощи которых	1	1
426	и хочет	1	1
427	одна не	1	1
428	следить за	1	1
429	по количеству	1	1
430	является результатом	2	1
431	самостоятельно и	1	1
432	в лице	1	1
433	один из	5	1
434	образом как	1	1
435	а если	4	1
436	с ними	1	1
437	на другие	2	1
438	никак нельзя	1	1
439	а после	1	1
440	же он	1	1
441	и у	1	1
442	если мы	5	1
443	вопроса о	1	1
444	или не	3	1
445	на свое	1	1
446	только такое	1	1
447	здесь же	3	1
448	а то	3	1
449	может спасти	1	1
450	этой новой	1	1
451	лишь постольку	1	1
452	за ним	1	1
453	он имеет	1	1
454	и их	2	1
455	могло бы	1	1
456	от тех	1	1
457	ее не	1	1
458	случае не	3	1
459	то придется	1	1
460	само собой	1	1
461	в очень	1	1
462	где есть	1	1
463	особой формой	1	1
464	это будет	1	1
465	фактически не	1	1
466	из двух	2	1
467	чему не	2	1
468	нет если	1	1
469	может ли	1	1
470	на ее	1	1
471	человека а	1	1
472	как же	2	1
473	еще и	1	1
474	что не	1	1
475	а на	3	1
476	на этот	1	1
477	не исключает	2	1
478	на которых	1	1
479	задачи а	1	1
480	не на	2	1
481	однако и	1	1
482	те элементы	1	1
483	всякому человеку	1	1
484	наличности в	1	1
485	в связи	9	1
486	как это	3	1
487	играют в	2	1
488	как та	1	1
489	этих случаях	11	1
490	по своему	2	1
491	неожиданно и	1	1
492	не удалось	1	1
493	эту мысль	1	1
494	в тот	1	1
495	на некотором	1	1
496	при ближайшем	1	1
497	в состоянии	1	1
498	быть не	1	1
499	с этой	1	1
500	собой только	1	1
501	какие же	1	1
502	и некоторые	1	1
503	и таким	2	1
504	между прочим	1	1
505	с большой	1	1
506	тех или	1	1
507	не является	3	1
508	известной степени	1	1
509	на все	1	1
510	решить вопрос	1	1
511	ход и	2	1
512	к данной	1	1
513	в отдельных	3	1
514	случае и	1	1
515	мы прежде	1	1
516	его жизнь	1	1
517	и все	1	1
518	эти задачи	1	1
519	обмен на	3	1
520	может и	1	1
521	в обмен	3	1
522	всех других	1	1
523	отношению к	4	1
524	есть то	1	1
525	же может	2	1
526	также может	2	1
527	кроме тех	1	1
528	этого и	1	1
529	можно назвать	3	1
530	они не	1	1
