N	2gram	Berdyaev_O_1	RusskieA
198	нуждается в	1	1
199	из всего	2	1
200	с той	1	1
201	из жизни	1	1
202	быть не	1	1
203	в которой	2	1
204	было не	1	1
205	совершенно ином	1	1
206	и характер	1	1
207	что для	2	1
208	и бессмертие	1	1
209	вот что	1	1
210	что есть	2	1
211	в совершенно	1	1
212	и каждый	1	1
213	же можно	2	1
214	говорят о	1	1
215	только одно	3	1
216	чтобы сделать	1	1
217	не имеют	1	1
218	есть один	1	1
219	которым можно	1	1
220	проповедей и	1	1
221	дело в	1	1
222	не все	2	1
223	и о	2	1
224	сказать что	2	1
225	которого они	1	1
226	в истории	2	1
227	ее с	1	1
228	всяком случае	1	1
229	под влиянием	1	1
230	два и	1	1
231	видеть в	1	1
232	и был	1	1
233	россии в	2	1
234	любви и	1	1
235	что все	2	1
236	ту же	1	1
237	если бы	1	1
238	из самых	1	1
239	не могли	2	1
240	ко всему	1	1
241	в виду	1	1
242	рисует картину	1	1
243	в этой	5	1
244	от того	1	1
245	православия и	1	1
246	не потому	1	1
247	чтобы не	1	1
248	этом отношении	1	1
249	в иных	1	1
250	не могут	3	1
251	и менее	1	1
252	он не	7	1
253	из всех	1	1
254	и много	2	1
255	должен был	2	1
256	ближе к	1	1
257	как у	1	1
258	сразу же	2	1
259	жизни как	1	1
260	счастье на	1	1
261	и сам	1	1
262	также и	1	1
263	тому кто	1	1
264	и состоит	1	1
265	с его	4	1
266	главное и	1	1
267	не вполне	1	1
268	он во	1	1
269	самом деле	1	1
270	все что	3	1
271	который в	1	1
272	он должен	1	1
273	тем же	1	1
274	быть назван	1	1
275	было бы	3	1
276	связывали с	1	1
277	этот случай	1	1
278	одном из	1	1
279	бросается в	1	1
280	что сам	1	1
281	в глаза	1	1
282	подошел к	1	1
283	себе и	1	1
284	совсем не	2	1
285	можно было	1	1
286	быть может	3	1
287	и раньше	1	1
288	что во	1	1
289	это все	1	1
290	за это	1	1
291	он и	1	1
292	что он	3	1
293	видел в	1	1
