N	2gram	Medvedev_U_1	Psycholo
109	что при	1	3
110	данном случае	1	3
111	так и	1	3
112	что и	2	3
113	и только	5	3
114	тот же	1	3
115	которое мы	1	3
116	для него	3	3
117	у него	1	3
118	художественной формы	2	3
119	в данном	1	3
120	в той	1	3
121	думается что	2	3
122	друг с	1	3
123	при таком	2	3
124	не существует	1	3
125	формы и	2	3
126	хотя бы	5	3
127	это в	1	3
128	к этому	1	3
129	в таком	1	3
130	художественном произведении	2	2
131	же как	1	2
132	своими собственными	1	2
133	почти не	1	2
134	из самых	1	2
135	она все	1	2
136	должна быть	2	2
137	а как	2	2
138	он был	1	2
139	с его	2	2
140	очевидно что	3	2
141	время на	1	2
142	его на	1	2
143	что по	1	2
144	он в	1	2
145	вопроса о	2	2
146	еще один	1	2
147	же не	2	2
148	и с	2	2
149	искусства в	1	2
150	материал для	2	2
151	конструктивный принцип	1	2
152	должно быть	1	2
153	на первый	2	2
154	в котором	1	2
155	в которых	1	2
156	несомненно что	1	2
157	искусства не	1	2
158	в словах	1	2
159	в то	3	2
160	что ему	1	2
161	того как	1	2
162	и так	1	2
163	такое что	1	2
164	приводит к	1	2
165	искусство как	1	2
166	является в	2	2
167	и даже	1	2
168	ничего не	2	2
169	строго говоря	1	2
170	можно сказать	1	2
171	говорит он	1	2
172	этом смысле	2	2
173	в большей	1	2
174	обе эти	1	2
175	это же	1	2
176	в качестве	1	2
177	само по	1	2
178	даже и	2	2
179	такое понимание	1	2
180	и эта	1	2
181	до конца	1	2
182	нам думается	1	2
183	произведения искусства	3	2
184	оказывается чрезвычайно	1	2
185	это значит	1	2
186	в течение	1	2
187	он ставит	1	2
188	по существу	2	2
189	к следующему	1	2
190	этом случае	1	2
191	все это	5	2
192	то о	1	2
193	конце концов	2	2
194	же в	1	2
195	для читателя	1	2
196	одним из	2	1
197	в сфере	1	1
198	он может	1	1
199	развитие в	1	1
200	но такое	1	1
201	художественного переживания	1	1
202	мы и	2	1
203	конечно это	1	1
204	как таковая	1	1
205	к которой	1	1
206	не все	2	1
207	значительной мере	1	1
208	к сожалению	3	1
209	относится к	1	1
210	в художественном	5	1
211	как нам	1	1
212	как всякая	1	1
213	более или	1	1
214	искусство и	1	1
215	в известном	1	1
216	этот анализ	1	1
217	имеем в	1	1
218	этот процесс	1	1
219	но именно	1	1
220	наконец он	2	1
221	о которой	1	1
222	только материал	1	1
223	все черты	1	1
224	далеко не	1	1
225	и вне	1	1
226	эти тенденции	1	1
227	как таковой	2	1
228	какой именно	1	1
229	или менее	1	1
230	что такое	4	1
231	ведет на	1	1
232	она в	1	1
233	все и	1	1
234	бы почти	1	1
235	ценность в	1	1
236	признать что	1	1
237	в россии	4	1
238	и всякого	1	1
239	доказывает что	1	1
240	по крайней	2	1
241	речи в	1	1
242	их в	1	1
243	тому чтобы	1	1
244	формы как	1	1
245	оно конечно	1	1
246	в эстетический	1	1
247	она не	1	1
248	до крайности	1	1
249	тогда когда	1	1
250	факта искусства	1	1
251	у пушкина	1	1
252	в процессе	1	1
253	применение в	1	1
254	больше чем	1	1
255	и является	2	1
256	очевидно не	2	1
257	в области	3	1
258	основного принципа	1	1
259	этого и	1	1
260	это содержание	1	1
261	отказаться от	1	1
262	не делает	1	1
263	но по	1	1
264	в некоторых	2	1
265	только при	1	1
266	в произведении	1	1
267	представлений и	1	1
268	воспринимает не	1	1
269	о нем	1	1
270	и т.д	3	1
271	говорить не	1	1
272	в значительной	1	1
273	в конечном	4	1
274	нас в	2	1
275	между тем	2	1
276	переходит в	1	1
277	так возникает	1	1
278	крайней мере	2	1
279	ночью в	1	1
280	и существенным	1	1
281	что только	1	1
282	не о	3	1
283	этого материала	1	1
284	отказ от	1	1
285	и действительно	1	1
286	верно и	1	1
287	таком понимании	1	1
288	с которыми	1	1
289	построения и	1	1
290	живого человека	1	1
291	уже не	1	1
292	еще одно	1	1
293	в виде	1	1
294	они находятся	1	1
295	или даже	1	1
296	конечном счете	4	1
297	она представляется	1	1
298	его и	2	1
299	конструктивное значение	1	1
300	но что	1	1
301	для начала	1	1
302	и материал	1	1
303	в последние	1	1
304	нет и	1	1
305	именно как	2	1
306	существенным для	1	1
307	деле есть	1	1
308	таковыми как	1	1
309	сюда же	1	1
310	работы так	1	1
311	существует в	1	1
312	звуковой формы	1	1
313	и др	1	1
314	что для	1	1
315	полагаем что	1	1
316	превращается в	2	1
317	не было	1	1
318	его как	1	1
319	не то	1	1
320	что угодно	1	1
321	если не	2	1
322	эмоция и	1	1
323	эстетики он	1	1
324	как временной	1	1
325	конечно не	4	1
326	смысле этого	2	1
327	что же	1	1
328	и всей	1	1
329	к проблеме	1	1
330	иначе говоря	1	1
331	может служить	1	1
332	лучше и	1	1
333	только для	1	1
334	но это	2	1
335	точно и	1	1
336	но для	1	1
337	или по	1	1
338	много но	1	1
339	для наиболее	1	1
340	тем более	1	1
341	все они	2	1
342	произведение а	2	1
343	месте в	1	1
344	состоит из	1	1
345	в поэтическом	1	1
346	равно как	1	1
347	в отдельности	1	1
348	что под	1	1
349	пушкин и	1	1
350	все что	1	1
351	и эстетической	1	1
