N	2gram	Bakhtin_fo_1	VelikijI
195	человек был	3	1
196	менее всего	1	1
197	в новом	1	1
198	но нет	1	1
199	что человек	1	1
200	себе и	3	1
201	бы в	1	1
202	мире и	2	1
203	человеческую жизнь	2	1
204	за эти	1	1
205	его на	2	1
206	как в	6	1
207	и мир	1	1
208	пути в	1	1
209	в своем	4	1
210	я был	2	1
211	все же	6	1
212	могли бы	1	1
213	мы видим	3	1
214	с ними	1	1
215	мы увидим	1	1
216	и свою	1	1
217	это очень	1	1
218	со своей	3	1
219	в самом	8	1
220	их жизни	1	1
221	у них	2	1
222	в которой	2	1
223	образа в	1	1
224	что это	1	1
225	в целом	2	1
226	их не	1	1
227	тоже не	1	1
228	в этой	1	1
229	это тот	1	1
230	же и	2	1
231	человеке и	1	1
232	уже в	2	1
233	то и	1	1
234	в исторических	2	1
235	не преодолевается	1	1
236	должно иметь	1	1
237	или даже	1	1
238	и внешнее	1	1
239	о которой	1	1
240	в понимании	1	1
241	и вот	1	1
242	идет она	1	1
243	вовсе не	13	1
244	не для	2	1
245	отношение к	2	1
246	человека когда	1	1
247	бытия и	1	1
248	у него	6	1
249	этом мире	2	1
250	и по	2	1
251	этого раскрытия	2	1
252	ее на	1	1
253	человека в	17	1
254	для того	5	1
255	конечно в	1	1
256	не были	2	1
257	и с	4	1
258	с другой	2	1
259	есть не	3	1
260	их же	1	1
261	миру и	1	1
262	лишь на	1	1
263	еще и	2	1
264	были в	2	1
265	говорит о	1	1
266	к человеку	1	1
267	них и	1	1
268	и своего	1	1
269	она и	1	1
270	человеческой жизни	6	1
271	идея эта	1	1
272	далее и	1	1
273	и уже	3	1
274	с которым	1	1
275	жизнь в	2	1
276	от труда	1	1
277	своей личности	1	1
278	между собою	1	1
279	очень важное	1	1
280	человека не	1	1
281	жизни но	5	1
282	о чем	1	1
283	в одно	3	1
284	места в	2	1
285	дел и	1	1
286	разные эпохи	1	1
287	таким же	1	1
288	вместе с	3	1
289	так же	6	1
290	то есть	33	1
291	является и	1	1
292	их к	2	1
293	у нас	1	1
294	в которых	2	1
295	как окончательный	1	1
296	котором раскрывается	1	1
297	сравнению с	2	1
298	времени с	2	1
299	в одном	3	1
300	есть одна	1	1
301	образ и	1	1
302	ведет не	1	1
303	происхождения и	1	1
304	есть еще	1	1
305	человек с	1	1
306	который он	1	1
307	и смерти	1	1
308	этого слова	1	1
309	пути на	1	1
310	и очень	1	1
311	раз и	2	1
312	нет никакого	1	1
313	с любовью	1	1
314	и нет	2	1
315	человека есть	1	1
316	общественной жизни	1	1
317	к ним	2	1
318	смысле и	1	1
319	указать на	1	1
320	но она	2	1
321	миру в	1	1
322	не существует	1	1
323	и от	1	1
324	ее но	1	1
325	ничего не	9	1
326	человек и	2	1
327	в разных	5	1
328	жизни не	3	1
329	лишь как	2	1
330	может быть	11	1
331	в русском	1	1
332	как она	2	1
333	будем говорить	1	1
334	во всем	2	1
335	это слово	1	1
336	три образа	2	1
337	к жизни	2	1
338	наших дней	1	1
339	конечно о	1	1
340	жизни в	8	1
341	но какой	1	1
342	не быть	1	1
343	мира для	1	1
344	теперь когда	1	1
345	от природы	2	1
346	но все	5	1
347	к этому	3	1
348	его с	1	1
349	себя только	1	1
350	жизни без	1	1
351	всем мире	1	1
352	в искусстве	1	1
353	и другие	5	1
354	в своих	1	1
355	в процессе	4	1
356	и эта	2	1
357	природу человека	1	1
358	но к	1	1
359	им и	1	1
360	себя и	3	1
361	она не	1	1
362	во власть	1	1
363	они не	3	1
