N	2gram	Nazirov_Tr_1	Tvorches
259	так ли	1	2
260	перед нами	2	2
261	не мог	2	2
262	причем в	1	2
263	из себя	1	2
264	только что	1	2
265	личности и	2	2
266	л п	1	2
267	в стихах	1	2
268	в глаза	2	2
269	что ты	1	2
270	время он	1	2
271	точно так	2	2
272	только он	1	1
273	перед раскольниковым	1	1
274	в сфере	1	1
275	бунта его	1	1
276	чтобы не	1	1
277	отметим что	1	1
278	терпеть не	1	1
279	маски в	1	1
280	к своей	1	1
281	и есть	1	1
282	присутствия рока	1	1
283	из самых	2	1
284	с адом	1	1
285	вот его	1	1
286	и до	2	1
287	в мыслях	1	1
288	сам автор	1	1
289	имеет исключительное	1	1
290	сильное впечатление	1	1
291	на пороге	1	1
292	собой как	1	1
293	xvii века	1	1
294	пришел в	1	1
295	ивана петровича	6	1
296	мечтателя из	1	1
297	событий и	1	1
298	достоевский прямо	1	1
299	весь свет	1	1
300	не способен	1	1
301	из ее	1	1
302	переплетается с	1	1
303	откуда же	1	1
304	в xix	1	1
305	вопрос об	1	1
306	одно из	1	1
307	еще не	4	1
308	он был	2	1
309	между собой	1	1
310	столь же	2	1
311	во всех	1	1
312	в двойнике	1	1
313	роман достоевского	2	1
314	видит в	1	1
315	в голове	1	1
316	использовал материал	1	1
317	наряду с	1	1
318	тогда как	1	1
319	некоторые черты	1	1
320	мелкой буржуазии	1	1
321	к сожалению	1	1
322	в истории	1	1
323	как говорит	2	1
324	людей достоевский	1	1
325	эта связь	1	1
326	он перестает	1	1
327	о жизни	2	1
328	это был	2	1
329	голядкина в	1	1
330	к этой	1	1
331	из книги	1	1
332	романе униженные	1	1
333	них он	1	1
334	отнесены к	1	1
335	для ее	1	1
336	смеются и	1	1
337	добро и	1	1
338	при таком	1	1
339	со своей	1	1
340	при создании	1	1
341	бы и	2	1
342	что это	5	1
343	его правоту	1	1
344	он в	1	1
345	все эти	3	1
346	это тот	1	1
347	этого образа	1	1
348	унижение становится	1	1
349	исповедь ставрогина	1	1
350	если он	1	1
351	человек не	1	1
352	зла в	2	1
353	он считает	1	1
354	и если	1	1
355	оскорбленных в	2	1
356	три года	1	1
357	эпилоге романа	1	1
358	чем для	1	1
359	пушкина и	1	1
360	перестает быть	1	1
361	не значит	1	1
362	сознает свою	1	1
363	чем у	1	1
364	к одному	1	1
365	не к	1	1
366	двух больших	1	1
367	душу и	1	1
368	и вот	1	1
369	способен на	1	1
370	на этом	1	1
371	иваном петровичем	4	1
372	и холод	1	1
373	повторяет в	1	1
374	эта книга	1	1
375	же не	1	1
376	правда что	1	1
377	им как	1	1
378	и чтобы	1	1
379	мечту о	1	1
380	описывает свои	1	1
381	на ту	1	1
382	на все	1	1
383	послужил прототипом	1	1
384	трагедии личности	1	1
385	его в	2	1
386	это было	1	1
387	заключается в	1	1
388	дома и	2	1
389	в глазах	2	1
390	вспомним как	1	1
391	роль в	1	1
392	характерный для	1	1
393	ты мне	1	1
394	лишь на	1	1
395	приходит в	1	1
396	людям в	1	1
397	эпистолярного романа	1	1
398	ни в	2	1
399	повод для	1	1
400	но затем	1	1
401	но мы	1	1
402	от какого-то	1	1
403	был опубликован	1	1
404	в них	1	1
405	он же	1	1
406	выражают его	1	1
407	бессмертие души	1	1
408	на грани	1	1
409	этого персонажа	1	1
410	мировой литературы	1	1
411	с этой	1	1
412	с тем	2	1
413	всю жизнь	1	1
414	его перед	1	1
415	творчество молодого	1	1
416	эту тему	1	1
417	он и	2	1
418	это предвещает	1	1
419	пародия на	1	1
420	и прямо	1	1
421	почти в	1	1
422	с годами	1	1
423	и ее	2	1
424	все как	1	1
425	ощущение что	1	1
426	к истории	1	1
427	можно выразиться	1	1
428	человеком и	1	1
429	миф о	1	1
430	знал и	1	1
431	сам же	1	1
432	дается в	1	1
433	но эта	2	1
434	я скажу	1	1
435	замысел и	1	1
436	такое решение	1	1
437	борьбу с	1	1
438	что этот	2	1
439	на всю	1	1
440	по себе	1	1
441	сам сознает	1	1
442	тому что	1	1
443	истории по	1	1
444	вплоть до	1	1
445	к обществу	2	1
446	что эта	1	1
447	что с	3	1
448	вместе и	1	1
449	что ему	1	1
450	считает что	1	1
451	не имеет	2	1
452	него была	1	1
453	неточке незвановой	1	1
454	от достоевского	1	1
455	этой схемы	1	1
456	он с	1	1
457	это мы	1	1
458	не выдержал	1	1
459	и зло	1	1
460	ним она	1	1
461	не вполне	1	1
462	контакт с	1	1
463	в самой	1	1
464	на себя	1	1
465	в русском	2	1
466	показал что	1	1
467	и добро	1	1
468	xix веке	2	1
469	из белых	1	1
470	собственной личности	1	1
471	входят в	1	1
472	соотношение образов	1	1
473	из униженных	1	1
474	в области	1	1
475	ли это	1	1
476	он вполне	1	1
477	в трагедии	1	1
478	один раз	1	1
479	xx века	1	1
480	к себе	1	1
481	не могут	2	1
482	мы узнаем	1	1
483	достоевский явно	1	1
484	но все	2	1
485	строится как	1	1
486	в недрах	1	1
487	свою личную	1	1
488	что оно	1	1
489	что на	1	1
490	указывает на	1	1
491	не есть	1	1
492	она не	1	1
493	любовь в	1	1
494	и это	2	1
495	того самого	1	1
496	и о	1	1
497	в конце	3	1
498	за самим	1	1
499	стихах и	1	1
500	но при	2	1
501	прошедшая через	1	1
502	всего этого	1	1
503	в ее	2	1
504	для характеристики	1	1
505	что делать?	2	1
506	сей день	2	1
507	только не	1	1
508	говорили что	1	1
509	и прозе	1	1
510	веру в	2	1
511	в образе	6	1
512	над человеком	1	1
513	и опирается	1	1
514	самого автора	1	1
515	заставляет вспомнить	1	1
516	бедных людей	1	1
517	но у	1	1
518	жизнь и	3	1
519	из мертвого	2	1
520	в эпоху	1	1
521	волосы и	1	1
522	с иваном	2	1
523	в таком	2	1
524	здесь достоевский	1	1
525	и здесь	2	1
526	и должно	1	1
527	своей книге	1	1
528	году и	1	1
529	и что	4	1
530	достоевского все	1	1
531	она всегда	1	1
532	потрясающей силой	1	1
533	с того	1	1
534	раскольникова и	1	1
535	как у	2	1
536	мы понимаем	1	1
537	знает что	2	1
538	теме в	1	1
539	нелли это	2	1
540	связь между	1	1
541	к нему	3	1
542	мира сего	1	1
543	между тем	1	1
544	уже чисто	1	1
545	сто тысяч	1	1
546	нуждается в	1	1
547	александрович валковский	1	1
548	восходит к	1	1
549	с безграничным	1	1
550	все время	1	1
551	времени так	1	1
552	в жизнь	1	1
553	бросается в	2	1
554	и демоническое	1	1
555	он стал	1	1
556	как он	1	1
557	с ними	1	1
558	своих прежних	1	1
559	даже если	2	1
560	это очень	5	1
561	что ж	1	1
562	против всех	1	1
563	с одной	1	1
564	всегда с	1	1
565	вот что	1	1
566	особое значение	1	1
567	незванова прошедшая	1	1
568	и любви	1	1
569	достоевский к	1	1
570	был так	1	1
571	петровичем как	1	1
572	то и	2	1
573	не знать	1	1
574	которых можно	1	1
575	в больших	1	1
576	а это	1	1
577	рассказывает о	1	1
578	достоевский сделал	1	1
579	в душе	2	1
580	был прав	1	1
581	на столе	1	1
582	русских раскольников	1	1
583	могло бы	1	1
584	в одном	2	1
585	ее не	1	1
586	лучше меня	1	1
587	к ним	1	1
588	отметить что	1	1
589	жизни на	1	1
590	времени? в	1	1
591	тем что	2	1
592	и герои	1	1
593	не было	1	1
594	в исповеди	1	1
595	достоевского тема	1	1
596	никого не	1	1
597	и стал	1	1
598	возникший в	1	1
599	развития в	1	1
600	с другим	1	1
601	в униженных	6	1
602	эдгара по	1	1
603	к роману	1	1
604	чем он	2	1
605	исходит из	1	1
606	объясняется тем	1	1
607	бесах с	1	1
608	естественно что	1	1
609	и их	1	1
610	в евангелии	1	1
611	тот самый	1	1
612	связи с	1	1
613	а на	1	1
614	на этот	1	1
615	в ребенке	1	1
616	не верит	1	1
617	достоевский стремился	1	1
618	о чем	3	1
619	и я	2	1
620	идет в	1	1
621	школы с	1	1
622	виде в	1	1
623	из петербурга	1	1
624	с помощью	1	1
625	так можно	1	1
626	с потрясающей	1	1
627	он упоминает	1	1
628	как это	3	1
629	я тебе	2	1
630	социального зла	3	1
631	всех людей	1	1
632	в моей	1	1
633	если так	1	1
634	ненависть к	2	1
635	столкновение с	1	1
636	очень важно	2	1
637	xix век	1	1
638	против мира	2	1
639	русский перевод	1	1
640	терпит поражение	1	1
641	писателя к	1	1
642	о его	2	1
643	это выражение	1	1
644	а князь	1	1
645	и сам	3	1
646	великий писатель	2	1
647	из дома	1	1
648	в связи	1	1
649	подполья это	1	1
650	бы неточка	1	1
651	начала и	1	1
652	тип эстетствующего	1	1
653	еще раз	2	1
654	от него	1	1
655	боли и	2	1
656	в последней	1	1
657	за три	1	1
658	у которого	1	1
659	конце концов	1	1
660	мертвецы в	1	1
661	на улице	1	1
662	я в	1	1
663	романа и	3	1
664	очень хорошо	1	1
665	этой теме	1	1
666	необходимое условие	1	1
667	иван петрович	3	1
668	неточки незвановой	3	1
669	но этот	1	1
670	ко всему	1	1
671	т е	1	1
672	и жизнь	1	1
673	по сей	2	1
674	через каторгу	1	1
675	ставрогина и	3	1
676	исключительное значение	1	1
677	о нем	1	1
678	а я	5	1
679	к людям	3	1
680	во сне	2	1
681	свидригайлов перед	1	1
