N	2gram	Vinokur_St_2	Vvedenie
168	в сущности	1	3
169	говорить о	1	3
170	не вполне	1	3
171	в виду	7	3
172	и на	6	3
173	он сам	1	3
174	в чем	1	3
175	своего рода	5	3
176	совсем не	1	3
177	ответ на	1	3
178	хотя и	4	3
179	и к	4	3
180	за собой	1	3
181	что это	3	3
182	все эти	2	3
183	в этой	2	3
184	в известном	3	3
185	что она	1	3
186	при этом	2	3
187	если бы	2	3
188	не как	1	3
189	отношений между	3	3
190	вообще не	3	3
191	свое время	1	3
192	на этом	1	3
193	на нее	3	3
194	на этой	1	3
195	заключается в	1	3
196	отчет в	1	3
197	в свое	1	3
198	в прямом	1	3
199	и уже	1	3
200	мы видели	1	3
201	нисколько не	1	3
202	в этих	3	3
203	есть еще	2	3
204	дело в	4	3
205	дело не	2	3
206	связи с	4	3
207	как будто	1	3
208	в области	2	3
209	в каком	2	3
210	языка в	2	3
211	но все	7	3
212	в ней	7	3
213	в в	1	3
214	на том	1	3
215	прямом смысле	1	3
216	во второй	1	3
217	и вообще	2	3
218	вот почему	1	3
219	можно сказать	1	3
220	а также	2	3
221	что с	2	3
222	раньше чем	4	3
223	известном смысле	1	3
224	одной из	3	3
225	до нас	1	3
226	в начале	3	3
227	при помощи	4	3
228	из них	3	3
229	в известной	1	3
230	в одном	6	3
231	в конце	2	3
232	что и	2	3
233	отношение к	1	3
234	может служить	1	3
235	но что	1	3
236	свое выражение	2	3
237	в очень	1	3
238	именно как	1	3
239	до конца	3	3
240	говорит о	2	3
241	только по	2	3
242	на основании	1	3
243	из наиболее	1	3
244	так называемых	1	3
245	так же	3	3
246	от характера	1	3
247	такого рода	2	3
248	что же	1	3
249	да и	1	3
250	материал для	3	3
251	в своем	9	3
252	но с	4	3
253	к тому	10	3
254	в результате	2	3
255	с русской	1	3
256	к этому	4	3
257	в частности	4	3
258	уже после	2	3
259	гораздо более	1	3
260	вряд ли	3	2
261	не иначе	1	2
262	это однако	1	2
263	языка с	1	2
264	же как	3	2
265	начале xix	1	2
266	это делает	1	2
267	и до	1	2
268	из его	2	2
269	он выражается	1	2
270	мы не	1	2
271	на тему	1	2
272	а во-вторых	1	2
273	в основу	1	2
274	которое в	1	2
275	того же	2	2
276	в каждой	1	2
277	литературы и	1	2
278	в создании	1	2
279	и всего	1	2
280	при жизни	1	2
281	тогда как	2	2
282	себе и	1	2
283	чем же	1	2
284	понимать в	1	2
285	сам же	1	2
286	он написан	1	2
287	знать и	1	2
288	большей части	1	2
289	выражение в	2	2
290	всего к	1	2
291	что к	1	2
292	к тексту	1	2
293	и те	2	2
294	исторического исследования	1	2
295	не следует	1	2
296	и совершенно	1	2
297	в принципе	1	2
298	не к	2	2
299	данном отношении	1	2
300	но вместе	1	2
301	же касается	1	2
302	в другом	4	2
303	и с	4	2
304	традиции и	1	2
305	действительности в	1	2
306	по истории	1	2
307	для них	1	2
308	но уже	1	2
309	о которых	2	2
310	во внимание	2	2
311	несмотря на	2	2
312	ни с	2	2
313	другое дело	3	2
314	она была	1	2
315	не мог	3	2
316	что собственно	2	2
317	из того	1	2
318	и сейчас	3	2
319	с точки	2	2
320	не столько	7	2
321	чтобы можно	1	2
322	и той	1	2
323	не могли	2	2
324	том же	2	2
325	тому что	7	2
326	в отношении	2	2
327	с теми	1	2
328	того как	7	2
329	одна из	1	2
330	например что	2	2
331	о них	1	2
332	это еще	2	2
333	никогда не	3	2
334	ничего не	4	2
335	и ранее	1	2
336	иной раз	1	2
337	из истории	1	2
338	до того	4	2
339	не до	2	2
340	этого термина	1	2
341	у нас	3	2
342	с полной	1	2
343	говоря уже	1	2
344	средних веков	1	2
345	значение в	1	2
346	и сам	2	2
347	так и	9	2
348	принять во	2	2
349	не с	1	2
350	так называемую	1	2
351	к языку	1	2
352	в содержании	2	2
353	и здесь	3	2
354	искусства и	2	2
355	другом месте	2	2
356	второй половине	1	2
357	читать и	1	2
358	с соответствующими	1	2
359	каждом данном	1	2
360	в значительной	2	2
361	по их	2	2
362	связь между	1	2
363	этому поводу	2	2
364	во втором	1	2
365	нуждается в	1	2
366	в языке	5	2
367	в форме	1	2
368	язык в	1	2
369	все время	1	2
370	этой почве	1	2
371	которой в	2	2
372	по содержанию	1	2
373	здесь не	1	2
374	языка на	1	2
375	по этому	2	2
376	что следовательно	1	2
377	к какому	1	2
378	сомнений в	2	2
379	когда говорил	1	2
380	только на	1	2
381	от других	1	2
382	мы можем	1	2
383	могло бы	1	2
384	по его	3	2
385	и др	2	2
386	обратить внимание	5	2
387	не говоря	1	2
388	них и	1	2
389	не было	3	2
390	рукописи и	1	2
391	языка не	1	2
392	должна была	2	2
393	в связи	1	2
394	виде в	1	2
395	внимания к	1	2
396	с этим	3	2
397	на рубеже	3	2
398	в печати	4	2
399	по существу	2	2
400	критики и	1	2
401	еще раз	1	2
402	но это	3	2
403	которые были	1	2
404	в более	1	2
405	в идеале	1	2
406	не существует	1	2
407	котором он	1	2
408	между ними	1	2
409	бы в	1	2
410	конце концов	1	2
411	ни к	1	2
412	будто бы	1	2
413	он и	1	2
414	ко времени	2	2
415	жизни и	1	2
416	точно так	1	2
417	и другие	2	2
418	поворотным пунктом	1	1
419	например в	3	1
420	до него	2	1
421	по адресу	2	1
422	от собственно	1	1
423	сам по	1	1
424	примеров такого	2	1
425	на самом	3	1
426	только потому	2	1
427	это и	1	1
428	отношения между	1	1
429	всем что	1	1
430	речь идет	4	1
431	др в	1	1
432	в зависимости	1	1
433	стороной а	1	1
434	своеобразия и	1	1
435	согласно которой	1	1
436	которыми он	1	1
437	то для	1	1
438	бы уже	1	1
439	нуждаются в	1	1
440	на позиции	1	1
441	в рукописи	2	1
442	к одной	1	1
443	его современников	1	1
444	есть нечто	1	1
445	который был	1	1
446	все здесь	1	1
447	в полной	2	1
448	письма к	2	1
449	находится у	1	1
450	именно только	1	1
451	так а	1	1
452	которые он	1	1
453	он был	2	1
454	на них	1	1
455	этот текст	1	1
456	этим не	1	1
457	действительно все	1	1
458	только после	1	1
459	истории русского	1	1
460	своей работе	1	1
461	предисловии к	2	1
462	но как	1	1
463	жизни своей	1	1
464	в сторону	1	1
465	русского языка	3	1
466	понимать что	1	1
467	очевидно что	2	1
468	как в	3	1
469	г он	1	1
470	отличие от	2	1
471	себе отчет	1	1
472	нет и	2	1
473	и речи	2	1
474	тесно связан	1	1
475	что они	2	1
476	уже потому	1	1
477	та деятельность	1	1
478	в поисках	1	1
479	в черновой	1	1
480	и я	2	1
481	общего с	1	1
482	у автора	1	1
483	самостоятельного и	1	1
484	народа в	2	1
485	уже о	1	1
486	образцом для	2	1
487	кроме того	4	1
488	разного рода	1	1
489	говорит что	1	1
490	духовной атмосфере	1	1
491	в материал	1	1
492	более или	2	1
493	и принципиально	1	1
494	с критикой	1	1
495	конкретных исторических	1	1
496	и последний	1	1
497	них как	1	1
498	стиля а	1	1
499	для которого	1	1
500	не приходится	4	1
501	в которой	11	1
502	с какой	1	1
503	не совпадает	1	1
504	одно время	1	1
505	то обстоятельство	4	1
506	раз в	2	1
507	том каким	1	1
508	остановиться на	1	1
509	и тот	1	1
510	для которых	2	1
511	и материальную	1	1
512	только один	1	1
513	говорят о	1	1
514	пунктом в	1	1
515	на немецкий	7	1
516	тому же	3	1
517	была перенесена	1	1
518	на то	2	1
519	вследствие этого	1	1
520	но важно	1	1
521	на его	2	1
522	по словам	4	1
523	идей и	1	1
524	больше всего	2	1
525	в свет	5	1
526	с традициями	1	1
527	в статье	2	1
528	в какой-то	1	1
529	перестает быть	1	1
530	слова а	1	1
531	научного издания	1	1
532	формы но	1	1
533	с именем	1	1
534	нужно не	1	1
535	котором мы	1	1
536	фактической стороны	1	1
537	новое и	1	1
538	его от	1	1
539	одно и	1	1
540	которого был	1	1
541	исторических источников	1	1
542	то ни	2	1
543	а затем	2	1
544	факт что	6	1
545	что все	1	1
546	в определенном	1	1
547	том-то и	1	1
548	они должны	1	1
549	различие между	1	1
550	говорил что	1	1
551	разница между	1	1
552	литературного языка	2	1
553	зрения на	1	1
554	но совершенно	1	1
555	известно что	1	1
556	эту формулу	1	1
557	лишь на	1	1
558	против этой	1	1
559	думать будто	1	1
560	какой они	1	1
561	бы только	1	1
562	времени была	1	1
563	более глубокого	1	1
564	говорится о	1	1
565	место у	1	1
566	и такая	1	1
567	можно считать	1	1
568	действительно не	2	1
569	с чем-нибудь	1	1
570	языка которая	2	1
571	истории русской	1	1
572	или менее	2	1
573	они говорят	2	1
574	в эту	3	1
575	исторической действительности	1	1
576	одно дело	1	1
577	не выдерживает	1	1
578	во время	2	1
579	никак не	2	1
580	внимание только	1	1
581	академии наук	1	1
582	и без	1	1
583	свободен от	2	1
584	чтобы эта	1	1
585	как произведение	2	1
586	представление о	1	1
587	говорил о	1	1
588	в отличие	2	1
589	далее в	2	1
590	большое впечатление	2	1
591	е по	1	1
592	о языке	1	1
593	от его	2	1
594	но он	3	1
595	в россии	3	1
596	зависимости от	1	1
597	что было	2	1
598	и эти	1	1
599	раз ко	1	1
600	на разные	1	1
601	что этот	2	1
602	этом и	1	1
603	и очень	1	1
604	нет никакого	2	1
605	был уже	1	1
606	не раз	2	1
607	в таких	1	1
608	в обоих	3	1
609	мысли в	1	1
610	самого начала	3	1
611	к новым	1	1
612	тому кто	1	1
613	не по	2	1
614	было не	1	1
615	свою славу	1	1
616	случае не	2	1
617	но далее	2	1
618	ступеней в	1	1
619	не могло	3	1
620	и всегда	2	1
621	источников в	1	1
622	идут от	1	1
623	этих двух	1	1
624	таким путем	1	1
625	к концу	1	1
626	е не	1	1
627	приступает к	1	1
628	что на	3	1
629	ему не	2	1
630	не потому	2	1
631	у меня	3	1
632	обстоятельство что	4	1
633	и картина	1	1
634	с рукописным	1	1
635	в духе	2	1
636	вполне понятным	1	1
637	и формальным	1	1
638	сравнении с	2	1
639	отличается от	1	1
640	должны быть	1	1
641	виде как	1	1
642	как своего	2	1
643	назвать в	1	1
644	же только	1	1
645	которым в	1	1
646	отношении именно	1	1
647	оно не	3	1
648	что при	1	1
649	утверждать что	2	1
650	переворот в	1	1
651	в эпоху	1	1
652	языка по	1	1
653	и которая	1	1
654	дошедшие до	1	1
655	и о	4	1
656	значения и	1	1
657	как не	1	1
658	свою очередь	1	1
659	меня в	2	1
660	без всякого	1	1
661	всякого исторического	1	1
662	только при	1	1
663	воплощен в	1	1
664	реальной действительности	1	1
665	с самого	3	1
666	что именно	2	1
667	в многочисленных	1	1
668	что у	4	1
669	к изданию	2	1
670	и которые	1	1
671	что также	1	1
672	к народности	1	1
673	о связи	1	1
674	не место	1	1
675	еще в	2	1
676	уже наперед	1	1
677	русского литературного	1	1
678	по тому	1	1
679	образом в	1	1
680	в построении	1	1
681	с полным	1	1
682	именно потому	1	1
683	но нужно	1	1
684	имеет право	1	1
685	настоящее время	1	1
686	говорит об	2	1
687	самостоятельных исторических	1	1
688	какие бы	1	1
689	могут дать	1	1
690	одного из	1	1
691	бы то	2	1
692	после того	4	1
693	должно было	3	1
694	это было	2	1
695	которых в	1	1
696	смысле не	1	1
697	если принять	2	1
698	явным образом	1	1
699	но нет	1	1
700	тему о	1	1
701	которая должна	1	1
702	наконец в	3	1
703	в свете	1	1
704	начала xix	2	1
705	в том-то	1	1
706	выражения которые	1	1
707	острова в	1	1
708	нашел в	1	1
709	тех пор	1	1
710	своим источником	1	1
711	правом можно	1	1
712	понятно почему	1	1
713	творчества пушкина	1	1
714	с отношениями	1	1
715	каком он	1	1
716	была создана	1	1
717	и дело	2	1
718	могло быть	3	1
719	очень много	1	1
720	помощи которого	1	1
721	неудивительно что	3	1
722	приводил к	1	1
723	или же	1	1
724	вполне возможно	1	1
725	с которыми	1	1
726	не то	3	1
727	под заглавием	1	1
728	на всем	2	1
729	в текст	1	1
730	в значении	4	1
731	языка как	1	1
732	исторических сведений	1	1
733	а это	1	1
734	этого процесса	1	1
735	это отрицание	1	1
736	совсем другое	1	1
737	для него	4	1
738	самый способ	1	1
739	ведь это	1	1
740	у него	1	1
741	следует понимать	1	1
742	вырастать в	1	1
743	ближайшим образом	2	1
744	были бы	1	1
745	из важнейших	1	1
746	но одно	1	1
747	однако что	1	1
748	мог не	1	1
749	в каких	1	1
750	к которому	1	1
751	и социального	1	1
752	с той	2	1
753	в предисловии	3	1
754	а с	3	1
755	из таких	2	1
756	русской истории	3	1
757	при чем	1	1
758	связано с	1	1
759	не на	2	1
760	нужно сказать	1	1
761	не создает	1	1
762	его исторического	1	1
763	которые не	3	1
764	тот факт	4	1
765	и внутренне	1	1
766	в руках	1	1
767	одну из	1	1
768	той своеобразной	1	1
769	его собственной	1	1
770	на эту	1	1
771	в ряду	1	1
772	жизнь в	1	1
773	его характер	1	1
774	если не	2	1
775	и об	1	1
776	в русский	1	1
777	в момент	1	1
778	имея в	1	1
779	в точности	1	1
780	входить в	1	1
781	в примечаниях	1	1
782	и теми	1	1
783	сделать его	1	1
784	и потому	2	1
785	о возможности	1	1
786	к своему	2	1
787	чем вполне	1	1
788	в изображении	1	1
789	это были	2	1
790	помимо всего	1	1
791	а между	1	1
792	в среде	1	1
793	о чем-нибудь	1	1
794	в тех	2	1
795	опору в	2	1
796	имеют своим	1	1
797	ли все	1	1
798	своего времени	4	1
799	чтобы сделать	2	1
800	отношениями между	1	1
801	том смысле	2	1
802	похож на	1	1
803	быть не	1	1
804	точности соответствует	1	1
805	или с	2	1
806	части своего	1	1
807	что из	1	1
808	впрочем не	1	1
809	и была	2	1
810	но для	1	1
811	имел в	1	1
812	с большой	1	1
813	французского языка	1	1
814	исторического миросозерцания	1	1
815	на одной	1	1
816	и более	2	1
817	прав был	1	1
818	и от	1	1
819	по поводу	8	1
820	основания до	1	1
821	что оно	1	1
822	он по	2	1
823	ранее не	1	1
824	в настоящее	1	1
825	а к	2	1
826	для нас	1	1
827	из различных	1	1
828	всего что	1	1
829	и все	1	1
830	еще более	4	1
831	не должен	2	1
832	случае и	1	1
833	ни было	2	1
834	же в	1	1
835	не дает	2	1
836	г и	1	1
837	нельзя было	1	1
838	давно уже	3	1
839	отношении к	3	1
840	них нет	1	1
841	в свою	1	1
842	от своего	1	1
843	совершенно не	2	1
844	которую принято	1	1
845	одновременно и	1	1
846	которой был	1	1
847	только о	2	1
848	вся история	1	1
849	ее в	2	1
850	того времени	4	1
851	в своих	1	1
852	можно назвать	1	1
853	в таком	1	1
854	все что	1	1
855	они не	2	1
856	которая не	1	1
