N	2gram	Bakhtin_KF_1	Morfolog
323	для меня	20	1
324	она могла	2	1
325	меня не	3	1
326	что ему	1	1
327	форма не	1	1
328	и сама	1	1
329	это нисколько	1	1
330	в основе	5	1
331	как его	4	1
332	дело не	2	1
333	вытекает из	2	1
334	к каждой	1	1
335	же время	2	1
336	или как	2	1
337	постольку поскольку	1	1
338	действительно в	1	1
339	за исключением	1	1
340	бы по	1	1
341	иногда не	1	1
342	и делает	2	1
343	все с	1	1
344	к таким	1	1
345	в момент	3	1
346	исходить из	1	1
347	но там	1	1
348	если он	1	1
349	другой и	1	1
350	должны быть	1	1
351	всего в	1	1
352	к тому	1	1
353	той или	3	1
354	не есть	20	1
355	где он	3	1
356	ничего общего	2	1
357	где есть	1	1
358	быть рассмотрена	1	1
359	не делает	1	1
360	с ее	2	1
361	как не	1	1
362	это будет	1	1
363	же не	1	1
364	и получает	1	1
365	что подобные	1	1
366	него самого	1	1
367	всей своей	2	1
368	приводит к	1	1
369	как с	1	1
370	здесь как	1	1
371	здесь нет	2	1
372	мог бы	1	1
373	во второй	1	1
374	и с	1	1
375	в последней	1	1
376	даны в	2	1
377	связанная с	1	1
378	выйти в	2	1
379	но к	1	1
380	но мы	1	1
381	бы то	2	1
382	и просто	2	1
383	и цели	1	1
384	того или	3	1
385	их в	1	1
386	акта но	1	1
387	за этим	1	1
388	поступок не	5	1
389	в его	40	1
390	во всей	4	1
391	которой все	2	1
392	целом и	3	1
393	ее можно	1	1
394	если это	1	1
395	к ней	1	1
396	в него	2	1
397	теряет свою	1	1
398	целом может	1	1
399	здесь один	1	1
400	о его	1	1
401	задача и	1	1
402	же картина	1	1
403	с ними	3	1
404	говорить о	2	1
405	и действительно	6	1
406	то прежде	1	1
407	всегда следует	1	1
408	все они	1	1
409	со всеми	2	1
410	же и	1	1
411	рассмотрена как	1	1
412	человека эта	1	1
413	мы получим	2	1
414	что не	3	1
415	не дает	3	1
416	в данной	1	1
417	быть определено	1	1
418	и небо	1	1
419	всяком случае	1	1
420	знать о	1	1
421	в одном	4	1
422	ее не	1	1
423	мы обозначаем	1	1
424	которые могут	1	1
425	и никогда	1	1
426	между прочим	1	1
427	для решения	1	1
428	не носит	1	1
429	поступков в	1	1
430	не противоречит	1	1
431	были бы	2	1
432	к двум	1	1
433	только на	1	1
434	и слышит	1	1
435	и даже	1	1
436	со стороны	7	1
437	или иной	2	1
438	точек зрения	1	1
439	на ее	1	1
440	именно в	5	1
441	а именно	1	1
442	в каких	1	1
443	однако что	2	1
444	не нужна	1	1
445	всеми другими	1	1
446	что обусловлено	1	1
447	до этого	1	1
448	и своего	1	1
449	она является	1	1
450	ничем не	1	1
451	здесь этот	1	1
452	лишь постольку	1	1
453	уже давно	1	1
454	вступает в	3	1
455	но оно	1	1
456	в некое	2	1
457	смысл который	1	1
458	путь от	1	1
459	за действительное	1	1
460	этому может	1	1
461	же с	1	1
462	но такое	1	1
463	и объект	1	1
464	определяет его	1	1
465	по своему	3	1
466	ли его	1	1
467	в данном	2	1
468	что за	2	1
469	есть на	2	1
470	эту мысль	1	1
471	отношения к	1	1
472	это значит	1	1
473	к следующему	1	1
474	быть не	2	1
475	и самая	1	1
476	не будем	1	1
477	только для	1	1
478	же самое	1	1
479	все остальные	1	1
480	помнить что	1	1
481	эта задача	1	1
482	она может	1	1
483	действия в	1	1
484	или другой	1	1
485	для нас	4	1
486	и все	7	1
487	лишь как	2	1
488	не обязывающий	1	1
489	и ни	3	1
490	все содержание	1	1
491	том случае	1	1
492	и предметом	1	1
493	не будет	2	1
494	между ними	1	1
495	со мной	4	1
496	равно как	1	1
497	нет но	1	1
498	одновременно и	1	1
499	содержится в	1	1
500	и землю	1	1
501	на своем	3	1
502	что необходимо	1	1
503	во всяком	1	1
504	небо и	1	1
