N	2gram	Vinokur_Vv_1	Poddanst
324	бы ее	2	1
325	к а	1	1
326	и я	1	1
327	относящиеся к	3	1
328	философской мысли	2	1
329	и многие	1	1
330	сфере художественной	1	1
331	нисколько не	3	1
332	в одно	1	1
333	смысле на	1	1
334	должна была	2	1
335	с е	1	1
336	формах и	1	1
337	бы оно	1	1
338	что если	2	1
339	в ходе	1	1
340	и теми	2	1
341	и при	2	1
342	работы в	3	1
343	так же	3	1
344	и особенно	1	1
345	представить себе	5	1
346	всяком случае	3	1
347	к предмету	1	1
348	ли они	1	1
349	многих случаях	1	1
350	прийти к	1	1
351	что именно	2	1
352	одна сторона	1	1
353	важнее всего	1	1
354	общественной мысли	1	1
355	в отличие	3	1
356	мысли и	2	1
357	в данном	11	1
358	вопрос о	8	1
359	сравнению с	3	1
360	чем к	1	1
361	можно говорить	1	1
362	явление и	1	1
363	науки и	2	1
364	смысле могут	1	1
365	как к	1	1
366	и более	1	1
367	в прошлом	2	1
368	и судьбы	1	1
369	и наоборот	2	1
370	xix в	12	1
371	же всего	1	1
372	какой угодно	1	1
373	в историческом	1	1
374	и очень	1	1
375	этой области	3	1
376	нет никакого	1	1
377	должна в	1	1
378	чем то	1	1
379	к идеям	1	1
380	что с	3	1
381	иной раз	2	1
382	входят в	1	1
383	но для	1	1
384	которые были	2	1
385	тогда когда	3	1
386	этом смысле	11	1
387	и глубины	1	1
388	склонность к	1	1
389	находящееся в	2	1
390	и технике	1	1
391	того чтобы	21	1
392	об отношении	2	1
393	не имеет	4	1
394	никогда не	3	1
395	ней только	1	1
396	и всегда	1	1
397	в результате	3	1
398	казалось бы	2	1
399	в отношениях	2	1
400	о котором	8	1
401	в настоящее	1	1
402	чтобы понять	2	1
403	или иным	1	1
404	идут от	1	1
405	находятся в	2	1
406	два различных	1	1
407	этих двух	1	1
408	исторической действительности	1	1
409	иными словами	1	1
410	и которая	1	1
411	как она	4	1
412	как явление	1	1
413	что по	1	1
414	в г	5	1
415	восточных культур	1	1
416	другой стороны	5	1
417	только что	4	1
418	и ранее	2	1
419	в этих	3	1
420	по сохранившимся	1	1
421	значило бы	1	1
422	давно уже	1	1
423	до тех	1	1
424	в каком	1	1
425	половины xix	3	1
426	только как	6	1
427	и внутренне	1	1
428	сопоставлении с	2	1
429	в момент	1	1
430	о духе	1	1
431	к сфере	1	1
432	и именно	12	1
433	одновременно и	1	1
434	что все	1	1
435	есть и	4	1
436	к характеру	1	1
437	ни к	2	1
438	мысли но	1	1
439	науки как	1	1
440	частности в	1	1
441	что оно	2	1
442	и другие	1	1
443	не есть	4	1
444	вместе с	6	1
445	это в	2	1
446	что при	1	1
447	русской литературы	1	1
448	во всяком	3	1
449	они не	1	1
450	из чего	1	1
451	гораздо более	3	1
