N	2gram	Savitsky_E_1	TeoriaLi
162	из перечисленных	1	2
163	имеет место	2	2
164	и о	1	2
165	что может	1	2
166	если бы	2	2
167	в состав	1	2
168	о том	3	2
169	особого рода	1	2
170	времени в	1	2
171	к нему	2	2
172	во всех	6	2
173	или иначе	1	2
174	однако с	1	2
175	во втором	2	2
176	вслед за	6	2
177	существования в	3	2
178	в аспекте	1	2
179	к числу	1	2
180	мире и	1	2
181	с одной	8	2
182	в большинстве	2	2
183	во всей	2	2
184	и даже	6	2
185	со стороны	5	2
186	в области	11	2
187	а именно	2	2
188	одной стороны	8	2
189	а на	1	2
190	не на	4	2
191	человеческой жизни	1	2
192	вместе с	2	2
193	так же	9	2
194	жизни но	1	2
195	к жизни	1	2
196	в той	5	2
197	могут быть	2	2
198	при условии	2	2
199	в мировой	1	2
200	к тому	8	2
201	жизни в	3	2
202	поскольку не	1	2
203	одной из	5	2
204	имеет в	2	2
205	культуры в	4	2
206	рынок и	2	1
207	только к	2	1
208	также что	1	1
209	те же	1	1
210	также и	7	1
211	в сфере	3	1
212	связана с	1	1
213	идет о	3	1
214	же по	1	1
215	этого мира	1	1
216	от своей	1	1
217	и до	1	1
218	всех и	1	1
219	что даже	1	1
220	той же	1	1
221	же как	5	1
222	вопрос о	4	1
223	чтобы не	1	1
224	и со	3	1
225	которое в	2	1
226	революции в	1	1
227	и на	6	1
228	на них	2	1
229	столь же	5	1
230	время в	3	1
231	бы то	4	1
232	тем как	1	1
233	если в	2	1
234	с совершенно	1	1
235	значение для	1	1
236	ближайшего к	1	1
237	или иное	1	1
238	или к	1	1
239	на то	6	1
240	отнюдь не	9	1
241	в истории	2	1
242	всего к	2	1
243	более чем	2	1
244	в центре	1	1
245	независимо от	4	1
246	и где	1	1
247	а блок	1	1
248	могли бы	1	1
249	целый ряд	2	1
250	что по	1	1
251	или иную	3	1
252	то в	4	1
253	можно в	2	1
254	общение с	1	1
255	что это	2	1
256	таковы например	1	1
257	он в	1	1
258	большей части	2	1
259	что автор	1	1
260	в известном	3	1
261	с их	1	1
262	в случае	2	1
263	по средней	2	1
264	жизнью и	1	1
265	на его	1	1
266	исходит из	1	1
267	но именно	2	1
268	на одну	2	1
269	отношений между	2	1
270	в силу	2	1
271	том числе	1	1
272	бытия это	1	1
273	на земле	1	1
274	чтобы в	1	1
275	его можно	1	1
276	как более	1	1
277	мы обнаруживаем	1	1
278	бы они	1	1
279	то ни	4	1
280	не будет	3	1
281	что все	2	1
282	различие между	1	1
283	том случае	1	1
284	культуры они	1	1
285	мира имеет	1	1
286	еще большей	1	1
287	большинстве случаев	3	1
288	и категорий	1	1
289	было бы	8	1
290	весь мир	1	1
291	в них	3	1
292	рядом с	1	1
293	она и	1	1
294	с тем	3	1
295	рода и	1	1
296	духовной жизни	2	1
297	перед собой	1	1
298	развития но	1	1
299	но если	5	1
300	или точнее	2	1
301	это случается	1	1
302	в такой	1	1
303	в котором	2	1
304	и процесс	1	1
305	большей степени	1	1
306	не как	1	1
307	друг другу	1	1
308	и более	2	1
309	в прошлом	3	1
310	с такими	1	1
311	и наоборот	1	1
312	их отношении	3	1
313	не имеет	4	1
314	принадлежат к	1	1
315	дело в	3	1
316	одна из	1	1
317	на себе	1	1
318	бытия и	1	1
319	он мог	1	1
320	только и	1	1
321	в самой	1	1
322	в перспективе	4	1
323	этих случаях	1	1
324	и теперь	2	1
325	связи с	1	1
326	ту или	3	1
327	из того	2	1
328	не является	3	1
329	в каком	4	1
330	у нас	1	1
331	настоящего времени	1	1
332	реальности это	1	1
333	не могут	2	1
334	когда мы	1	1
335	и существенно	2	1
336	ли не	1	1
337	числе и	1	1
338	значительной степени	1	1
339	оно не	1	1
340	прошлом и	1	1
341	она не	2	1
342	говорит о	3	1
343	в каждой	1	1
344	из всего	1	1
345	своего развития	1	1
346	как мы	5	1
347	а затем	1	1
348	того чтобы	6	1
349	существенное значение	1	1
350	по-разному в	1	1
351	та или	1	1
352	людей в	1	1
353	имеет значение	1	1
354	на основе	2	1
355	к какой	1	1
356	то или	1	1
357	мысль о	1	1
358	то время	1	1
359	или иная	1	1
360	значение в	1	1
361	с собой	1	1
362	можно было	3	1
363	осуществляется в	1	1
364	наше внимание	2	1
365	по признаку	3	1
366	является в	1	1
367	для этого	1	1
368	с ним	1	1
369	культура есть	2	1
370	мире в	1	1
371	данная сфера	1	1
372	не случайна	1	1
373	означает что	1	1
374	именно потому	2	1
375	является весьма	1	1
376	на вопрос	1	1
377	одного из	1	1
378	может не	1	1
379	традиции как	1	1
380	в значительной	2	1
381	другой своей	1	1
382	в которую	1	1
383	эти два	1	1
384	и только	3	1
385	в другой	2	1
386	перед тем	1	1
387	эти последние	2	1
388	в формах	1	1
389	один из	1	1
390	но с	2	1
391	в двух	1	1
392	тот же	1	1
393	дело с	1	1
394	именно о	1	1
395	а у	1	1
396	в какой	2	1
397	или же	1	1
398	который в	1	1
399	тот что	1	1
400	с которыми	1	1
401	по большей	1	1
402	для всех	1	1
403	есть в	2	1
404	если мы	1	1
405	всем его	1	1
406	которая способна	1	1
407	не дает	3	1
408	из них	3	1
409	но от	1	1
410	только одно	2	1
411	одно из	1	1
412	и их	1	1
413	представить себе	1	1
414	и прежде	3	1
415	в одном	2	1
416	так как	7	1
417	тому же	1	1
418	к ним	3	1
419	но из	1	1
420	для того	6	1
421	отрекается от	1	1
422	на примере	1	1
423	войны и	2	1
424	не обязательно	1	1
425	отказаться от	1	1
426	по своим	3	1
427	а впоследствии	1	1
428	с той	1	1
429	что для	1	1
430	положений и	1	1
431	не было	1	1
432	принадлежит не	1	1
433	более того	1	1
434	зависит от	1	1
435	с которым	1	1
436	долгое время	2	1
437	которое существует	2	1
438	что из	1	1
439	ближе к	1	1
440	время для	1	1
441	то она	1	1
442	если не	1	1
443	в связи	1	1
444	свести к	1	1
445	в одной	1	1
446	к сфере	1	1
447	будущее в	1	1
448	границ между	1	1
449	с некоторыми	1	1
450	в европейской	2	1
451	одновременно с	1	1
452	реальность и	1	1
453	для понимания	2	1
454	многих других	1	1
455	мыслится как	1	1
456	степени и	1	1
457	если воспринимать	1	1
458	с этой	6	1
459	быть и	1	1
460	каждого из	1	1
461	известном смысле	3	1
462	каждой из	1	1
463	известной степени	3	1
464	и от	3	1
465	в результате	3	1
466	и иного	1	1
467	о котором	1	1
468	которая в	1	1
469	это может	1	1
470	в третьем	1	1
471	бы в	2	1
472	не более	3	1
473	своем значении	1	1
474	стороны в	2	1
475	в мировом	1	1
476	с другими	2	1
477	ни было	4	1
478	же в	2	1
479	мы видим	2	1
480	не есть	2	1
481	с ней	1	1
482	и каждая	2	1
483	не быть	1	1
484	включает в	1	1
485	жизни и	2	1
486	ее в	3	1
487	и другие	1	1
488	случае если	1	1
489	в своих	2	1
490	можно назвать	1	1
491	в таком	3	1
492	все что	1	1
493	этой точки	5	1
