N	2gram	Nazirov_Tv_1	RusskieA
438	который в	3	1
439	их не	1	1
440	от них	1	1
441	с приговором	1	1
442	ночи и	1	1
443	в эти	1	1
444	человека с	2	1
445	характерной для	1	1
446	же и	2	1
447	только на	2	1
448	раз этот	1	1
449	а это	1	1
450	о религии	1	1
451	с описанием	1	1
452	при помощи	2	1
453	и обратно	1	1
454	на столе	1	1
455	например к	1	1
456	момент наивысшего	1	1
457	был бы	2	1
458	не так	3	1
459	для него	6	1
460	могло бы	1	1
461	в одном	1	1
462	в пространстве	2	1
463	в конце	1	1
464	ее не	1	1
465	к ним	1	1
466	как раз	1	1
467	на некоторые	1	1
468	само собой	1	1
469	не противоречит	1	1
470	чем и	1	1
471	время как	1	1
472	и даже	3	1
473	мнению в	1	1
474	как у	1	1
475	в ряде	1	1
476	имеет место	1	1
477	превращается в	1	1
478	на которых	1	1
479	не на	1	1
480	зависит от	2	1
481	пока что	1	1
482	согласиться со	1	1
483	а по	2	1
484	о каком-то	1	1
485	из последних	1	1
486	с презрением	1	1
487	него не	1	1
488	в одно	2	1
489	эти слова	2	1
490	природе и	1	1
491	в одной	2	1
492	некоторые из	2	1
493	к себе	1	1
494	а так	1	1
495	по своему	1	1
496	в область	1	1
497	ненависть к	1	1
498	не дают	1	1
499	нашу задачу	1	1
500	в белых	5	1
501	когда же	1	1
502	ко всему	1	1
503	те и	1	1
504	в современной	1	1
505	и более	1	1
506	и жизнь	1	1
507	и не	7	1
508	это исходная	1	1
509	но это	5	1
510	это выражение	1	1
511	по времени	1	1
512	и тогда	1	1
513	времени его	1	1
514	бы говорить	1	1
515	ли в	2	1
516	на улице	1	1
517	первую очередь	1	1
518	он по	1	1
519	в настоящее	1	1
520	в двух	2	1
521	одно общее	1	1
522	от него	1	1
523	а может	1	1
524	тем более	1	1
525	мы должны	1	1
526	или другому	1	1
527	только что	2	1
528	очень хорошо	1	1
529	его к	1	1
530	он же	1	1
531	только с	1	1
532	в свою	7	1
533	однако более	1	1
534	сказать что	2	1
535	другой стороны	1	1
536	не сами	1	1
537	одновременно и	2	1
538	религии и	1	1
539	него в	1	1
540	из своей	1	1
541	время не	2	1
542	за волосы	1	1
543	на лице	1	1
