N	2gram	Vinokur_Ku_3	UchenyiS
323	равно как	2	1
324	и так	1	1
325	случайно и	1	1
326	этот процесс	1	1
327	в современном	1	1
328	что под	1	1
329	находящихся в	1	1
330	не для	1	1
331	в свое	2	1
332	в совокупности	1	1
333	самое что	1	1
334	может служить	2	1
335	но он	1	1
336	у пушкина	1	1
337	но что	1	1
338	само по	1	1
339	построении поэтики	1	1
340	на форму	1	1
341	всего что	1	1
342	и независимо	1	1
343	так то	2	1
344	поэтики в	1	1
345	находит себе	1	1
346	и делает	1	1
347	и эта	1	1
348	это в	2	1
349	есть слово	2	1
350	отказаться от	1	1
351	к этому	1	1
352	что в	13	1
353	признание что	1	1
354	в таком	4	1
355	все что	1	1
356	от которой	1	1
357	реакцией против	1	1
