N	2gram	Bakhtin_KF_1	Tragedij
191	из предшествующего	1	1
192	в другом	3	1
193	конечно в	2	1
194	и чтобы	1	1
195	на все	1	1
196	лишь в	8	1
197	это было	2	1
198	полноте и	1	1
199	быть не	2	1
200	а это	2	1
201	но уже	1	1
202	что ему	1	1
203	этого не	1	1
204	а за	1	1
205	всю жизнь	1	1
206	которой он	2	1
207	когда я	3	1
208	синтеза и	1	1
209	же мысль	1	1
210	же я	1	1
211	но я	2	1
212	в своей	10	1
213	в котором	24	1
214	знает и	2	1
215	значение для	1	1
216	но он	1	1
217	тем не	2	1
218	по себе	2	1
219	тому что	2	1
220	не менее	3	1
221	не раз	1	1
222	играть в	1	1
223	что эта	2	1
224	она не	1	1
225	это хорошо	1	1
226	как его	4	1
227	например что	1	1
228	но только	1	1
229	только не	1	1
230	или как	2	1
231	к ней	1	1
232	по своей	1	1
233	для нас	4	1
234	и теперь	1	1
235	неясно где	1	1
236	не нужен	2	1
237	ему миром	1	1
238	в области	2	1
239	ли это	2	1
240	в трагедии	1	1
241	в момент	3	1
242	к себе	2	1
243	могут быть	3	1
244	его с	2	1
245	и т.д	2	1
246	всего что	1	1
247	не есть	20	1
248	утверждать что	1	1
249	где он	3	1
250	и о	1	1
251	того чтобы	2	1
252	всего этого	1	1
253	умирает в	1	1
254	с собой	1	1
255	меня как	3	1
256	в последней	1	1
257	только за	1	1
258	но может	1	1
259	а по	2	1
260	себя а	4	1
261	и должно	1	1
262	но мы	1	1
263	она всегда	1	1
264	нас от	1	1
265	чтобы не	2	1
266	от него	3	1
267	все в	1	1
268	связь между	1	1
269	и психологического	1	1
270	между тем	4	1
271	уже чисто	1	1
272	нуждается в	1	1
273	справедливости все	1	1
274	объективный смысл	1	1
275	и она	2	1
276	нет он	1	1
277	для самого	1	1
278	в жизнь	1	1
279	в литературе	1	1
280	того что	3	1
281	он есть	1	1
282	мы видим	1	1
283	согласиться с	1	1
284	с ними	3	1
285	только в	16	1
286	во всем	7	1
287	именно на	2	1
288	только на	1	1
289	дело с	2	1
290	не знать	1	1
291	и чисто	1	1
292	местом в	1	1
293	него нет	1	1
294	одно из	1	1
295	и их	6	1
296	всяком случае	1	1
297	могло бы	4	1
298	слова в	2	1
299	и должна	3	1
300	не для	1	1
301	ее не	1	1
302	к ним	4	1
303	он любит	1	1
304	рядом с	3	1
305	любит и	1	1
306	чувствует себя	1	1
307	с другим	1	1
308	точка где	1	1
309	именно в	5	1
310	в каких	1	1
311	что не	3	1
312	только по	2	1
313	может жить	1	1
314	не было	8	1
315	всему что	1	1
316	а не	17	1
317	любовь по	1	1
318	с которым	1	1
319	его как	5	1
320	не быть	3	1
321	не я	3	1
322	более чем	1	1
323	эти слова	1	1
324	вместе с	1	1
325	до этого	1	1
326	и потому	2	1
327	в духе	1	1
328	в человеке	1	1
329	не из	2	1
330	над ним	1	1
331	в моей	1	1
332	смысле этого	1	1
333	этого слова	2	1
334	и от	1	1
335	здесь есть	1	1
336	не является	1	1
337	при таком	1	1
338	где и	1	1
339	за свое	4	1
340	в результате	1	1
341	а к	1	1
342	о нем	4	1
343	это может	1	1
344	из себя	8	1
345	не понимая	1	1
346	и совершенно	3	1
347	хотя бы	4	1
348	только что	1	1
349	я в	1	1
350	за этим	1	1
351	жизни в	5	1
352	контекст в	1	1
353	совершенно не	6	1
354	в иной	1	1
355	но этот	1	1
356	ко всему	5	1
357	и эта	2	1
358	это в	1	1
359	это понятие	1	1
360	во всяком	1	1
