N	2gram	Medvedev_V_1	VerxiiNi
216	от них	2	2
217	конечно не	1	2
218	уже в	1	2
219	в начале	1	2
220	свидетельствует о	1	2
221	нее не	1	2
222	из своих	2	2
223	или иной	2	2
224	и из	1	2
225	именно в	2	2
226	прежде всего	13	2
227	связано с	1	2
228	не было	7	2
229	и все	1	2
230	так называемой	1	2
231	всех других	3	2
232	если не	1	2
233	и особенно	1	2
234	и мир	3	2
235	по своему	1	2
236	сравнению с	1	2
237	по существу	3	2
238	никем не	1	2
239	благодаря этому	1	2
240	что мы	2	2
241	только для	1	2
242	поэтому что	1	2
243	же самое	2	2
244	о котором	1	2
245	из себя	2	2
246	только что	4	2
247	в свою	1	2
248	связанный с	1	2
249	в процессе	16	2
250	сказать что	5	2
251	к его	2	2
252	одновременно и	1	2
253	к религии	1	2
254	жизни и	3	2
255	тенденции к	1	2
256	можно назвать	1	2
257	этой точки	2	2
258	с новыми	1	1
259	как известно	2	1
260	вряд ли	1	1
261	можно говорить	1	1
262	этого в	1	1
263	речь идет	1	1
264	в сфере	2	1
265	таком случае	1	1
266	чтобы не	2	1
267	начинается с	1	1
268	и через	2	1
269	становится в	1	1
270	а между	1	1
271	смысле слова	2	1
272	самом деле	1	1
273	он может	2	1
274	это и	6	1
275	следует видеть	1	1
276	и есть	5	1
277	этого мира	1	1
278	не всякому	1	1
279	все те	1	1
280	и этот	2	1
281	несколько иной	1	1
282	их и	4	1
283	а как	2	1
284	для достижения	1	1
285	именно к	1	1
286	бы и	6	1
287	духовной и	1	1
288	счел возможным	1	1
289	время как	1	1
290	образом уже	1	1
291	мы и	1	1
292	и приспособить	1	1
293	жизни это	1	1
294	известной работе	1	1
295	к общему	1	1
296	в ней	2	1
297	от всей	1	1
298	а другие	1	1
299	связи со	1	1
300	за это	1	1
301	быть в	1	1
302	что его	2	1
303	в чем	2	1
304	художественном творчестве	6	1
305	видели что	3	1
306	следует упомянуть	1	1
307	одном и	2	1
308	по отношению	7	1
309	а и	1	1
310	уже как	1	1
311	что они	3	1
312	две основные	1	1
313	как в	1	1
314	от до	2	1
315	не связанные	1	1
316	то в	1	1
317	не приходится	2	1
318	а во-вторых	1	1
319	формы в	1	1
320	бы с	1	1
321	не был	1	1
322	то время	1	1
323	чуть ли	2	1
324	элементов в	1	1
325	имеем в	1	1
326	если он	1	1
327	от природы	1	1
328	так сказать	2	1
329	как совершенно	1	1
330	на его	1	1
331	к искусству	1	1
332	отцов и	1	1
333	момента когда	1	1
334	время и	1	1
335	в нашей	4	1
336	них следует	1	1
337	всех этих	2	1
338	и элементарной	1	1
339	влияя на	1	1
340	что еще	1	1
341	эта способность	2	1
342	на этом	1	1
343	частей и	1	1
344	что она	2	1
345	человека в	2	1
346	не следует	8	1
347	том же	6	1
348	и детализации	1	1
349	бы быть	1	1
350	а по	1	1
351	говорить не	3	1
352	что перед	1	1
353	его в	3	1
354	входит в	1	1
355	это было	1	1
356	в музыке	1	1
357	заключается в	2	1
358	было в	2	1
359	таково в	1	1
360	это не	7	1
361	и отдельные	2	1
362	было бы	7	1
363	на почве	1	1
364	что один	1	1
365	в жизни	2	1
366	смерть и	1	1
367	к области	1	1
368	ни в	1	1
369	обходятся без	1	1
370	соответствии с	1	1
371	как видно	1	1
372	в слове	3	1
373	как и	7	1
374	этим и	1	1
375	силу самой	1	1
376	духовной жизни	1	1
377	должно быть	2	1
378	или вообще	1	1
379	их он	1	1
380	в своей	4	1
381	что такое	2	1
382	еще недостаточно	1	1
383	в их	5	1
384	знает и	1	1
385	искусства не	2	1
386	душевное состояние	1	1
387	одном из	3	1
388	отношении представляет	1	1
389	труда и	2	1
390	в прямом	1	1
391	их в	6	1
392	человека идет	1	1
393	радости и	1	1
394	по себе	2	1
395	даже в	5	1
396	этой области	3	1
397	а отсюда	1	1
398	эта мысль	1	1
399	без участия	1	1
400	а иногда	1	1
401	дело не	1	1
402	и отсюда	1	1
403	того как	1	1
404	на себе	1	1
405	не по	2	1
406	иметь в	2	1
407	а тот	1	1
408	может только	1	1
409	для творчества	1	1
410	судя по	1	1
411	казалось бы	1	1
412	и весь	2	1
413	этом процессе	2	1
414	видим что	1	1
415	другой стороны	8	1
416	к этим	2	1
417	относящимися к	1	1
418	в сознании	4	1
419	только с	2	1
420	но даже	3	1
421	другие наоборот	1	1
422	в каком	1	1
423	у нас	2	1
424	он вполне	1	1
425	могут быть	5	1
426	лежит в	1	1
427	материала из	1	1
428	должны быть	2	1
429	необходимость для	1	1
430	а вместе	1	1
431	слова с	1	1
432	на это	2	1
433	эти явления	2	1
434	в каждой	1	1
435	значения и	1	1
436	с ее	1	1
437	как не	1	1
438	в количестве	1	1
439	свою очередь	1	1
440	здесь не	1	1
441	всего этого	1	1
442	в ее	4	1
443	данном случае	1	1
444	в понятие	1	1
445	только то	2	1
446	это для	1	1
447	роль в	4	1
448	прямом смысле	1	1
449	если они	1	1
450	невозможно и	1	1
451	это состояние	1	1
452	это мы	3	1
453	том как	3	1
454	между собой	1	1
455	он сам	2	1
456	по мере	1	1
457	и охотно	1	1
458	с ним	1	1
459	скорее к	1	1
460	и других	1	1
461	характер этого	1	1
462	в глаза	1	1
463	после того	1	1
464	эти планы	1	1
465	каждый образ	2	1
466	может не	2	1
467	учения о	1	1
468	и во	1	1
469	развития не	1	1
470	под именем	1	1
471	том или	1	1
472	ума и	2	1
473	творчества в	7	1
474	а потому	1	1
475	на одном	1	1
476	ними в	1	1
477	во всей	2	1
478	те черты	1	1
479	в ту	1	1
480	к сознанию	1	1
481	в сферу	1	1
482	происходит в	1	1
483	обе эти	1	1
484	у многих	1	1
485	отношении можно	2	1
486	мы видим	1	1
487	жить по	1	1
488	с ними	4	1
489	этот вопрос	3	1
490	дело с	1	1
491	но этим	1	1
492	что даже	2	1
493	друг друга	1	1
494	пор не	1	1
495	как нечто	1	1
496	целого и	1	1
497	еще и	2	1
498	и так	1	1
499	до нас	2	1
500	воплощения в	1	1
501	всех его	2	1
502	и ее	4	1
503	и его	6	1
504	создавать в	1	1
505	образы не	1	1
506	только на	1	1
507	физической природы	1	1
508	только тогда	1	1
509	силу этого	4	1
510	при помощи	3	1
511	в ином	1	1
512	как самый	1	1
513	конечно нет	1	1
514	мы знаем	3	1
515	который как	1	1
516	себе в	1	1
517	и их	3	1
518	представить себе	2	1
519	не означает	1	1
520	многим из	1	1
521	могло бы	2	1
522	сами по	1	1
523	не для	1	1
524	случайное и	1	1
525	у него	6	1
526	и никогда	1	1
527	заметить что	1	1
528	как раз	3	1
529	тем что	1	1
530	или ином	1	1
531	характерны для	1	1
532	смысла и	1	1
533	перейти к	1	1
534	видно из	3	1
535	со всем	1	1
536	о способности	1	1
537	имеет свой	1	1
538	а именно	1	1
539	что тот	1	1
540	бытия в	1	1
541	в соответствии	1	1
542	их можно	1	1
543	целым рядом	1	1
544	и самый	1	1
545	зависит от	2	1
546	жизнь в	1	1
547	о чем	2	1
548	на эту	1	1
549	черт которые	1	1
550	на многие	1	1
551	и том	2	1
552	с половиной	2	1
553	нет никаких	2	1
554	к лицу	1	1
555	нет ничего	1	1
556	него в	3	1
557	от характера	2	1
558	о работе	3	1
559	всем что	1	1
560	или из	1	1
561	творчество как	3	1
562	с этим	3	1
563	без труда	1	1
564	о самоубийстве	1	1
565	в данном	1	1
566	лицом к	1	1
567	в той	1	1
568	да и	1	1
569	рисуется в	1	1
570	человека и	3	1
571	ту атмосферу	1	1
572	и менее	1	1
573	затем в	1	1
574	их отношение	1	1
575	ли не	2	1
576	представляется как	1	1
577	сейчас же	1	1
578	и некоторые	1	1
579	является для	1	1
580	число которых	1	1
581	но это	1	1
582	о его	2	1
583	к двум	1	1
584	но для	2	1
585	понятия и	1	1
586	кроме того	1	1
587	мира в	1	1
588	народных песен	2	1
589	не является	5	1
590	которых он	1	1
591	причем в	1	1
592	лишь о	1	1
593	мира и	3	1
594	это как	1	1
595	не представляет	1	1
596	эти тенденции	1	1
597	то о	2	1
598	находит свое	1	1
599	бы в	3	1
600	ни к	1	1
601	все они	2	1
602	таков второй	2	1
603	же в	6	1
604	как показывает	1	1
605	этих элементов	1	1
606	к ее	1	1
607	наконец что	1	1
608	природы не	1	1
609	состоит из	1	1
610	если некоторые	1	1
611	совершенно не	1	1
612	быть принято	1	1
613	по одному	2	1
614	есть то	1	1
615	они всегда	1	1
616	к этой	1	1
617	в своих	2	1
618	при бедности	1	1
619	они не	2	1
