N	3gram	Tiupa_Vved_1	TeoriaLi
169	в этих случаях	2	1
170	пространственных и временных	1	1
171	содержит в себе	1	1
172	даже самая тривиальная	1	1
173	кадр внутреннего зрения	1	1
174	судьба выражает внеличную	1	1
175	фокализации фокусировки внимания	1	1
176	примет в осмысленном	1	1
177	вводятся автором в	1	1
178	в пределах кадрового	1	1
179	представляет собой некий	2	1
180	знания убеждения мнения	2	1
181	один отдельный кадр	1	1
182	при условии что	1	1
183	отрезок времени в	1	1
184	фразы устанавливает задаваемый	1	1
185	может или пожелает	1	1
186	временных примет в	1	1
187	поле зрения читателя	1	1
188	выражает внеличную сторону	1	1
189	или пожелает представить	1	1
190	последовательно вводятся автором	1	1
191	случае мы имеем	1	1
192	тривиальная в общеязыковом	1	1
193	имеет место в	1	1
194	не все что	2	1
195	мира представляет собой	1	1
196	такого кадра входит	1	1
197	не входит в	1	1
198	пожелает представить себе	1	1
199	или движется один	1	1
200	данном случае это	1	1
201	повествования а читателем	1	1
202	всего лишь один	1	1
203	в ходе чтения	1	1
204	тексте а не	1	1
205	в первом случае	1	1
206	осмысленном и конкретном	1	1
207	однако все они	1	1
208	как уже говорилось	1	1
209	в данном контексте	1	1
210	в той или	1	1
211	полноту и неизбыточность	1	1
212	и рецептивного сознаний	1	1
213	как более или	1	1
214	том числе и	1	1
215	не отделен от	1	1
216	читателю ракурс видения	1	1
217	раскрывают содержание судьбы	1	1
218	едины судьба выражает	1	1
219	объекта и адресата	1	1
220	высказывания как целого	1	1
221	было и не	1	1
222	креативного и рецептивного	1	1
223	и в пределах	1	1
224	к тому же	4	1
225	по крайней мере	1	1
226	речи хотя и	1	1
227	насыщенный деталями кадр	1	1
