N	2gram	Losev_Prob_4	VelikijI
296	не всегда	1	1
297	и уже	1	1
298	между собою	2	1
299	жизни но	1	1
300	о чем	1	1
301	могут сказать	1	1
302	в одно	6	1
303	который я	1	1
304	вместе с	5	1
305	так же	5	1
306	как это	3	1
307	человека к	1	1
308	то есть	27	1
309	есть такое	1	1
310	что всякий	3	1
311	является и	3	1
312	мы в	1	1
313	у нас	14	1
314	в изображении	1	1
315	если оно	2	1
316	сравнению с	1	1
317	для всякого	2	1
318	что тот	1	1
319	в одном	4	1
320	не понимает	2	1
321	ограниченности и	1	1
322	а потом	1	1
323	образ и	2	1
324	у самого	1	1
325	по крайней	6	1
326	красоте и	1	1
327	это символ	4	1
328	это значит	10	1
329	этот мир	1	1
330	и всех	2	1
331	с этой	1	1
332	и очень	5	1
333	с бытием	1	1
334	раз и	1	1
335	нет никакого	3	1
336	в атмосфере	1	1
337	и нет	1	1
338	на тысячу	1	1
339	можно ли	3	1
340	равно не	1	1
341	так ли	1	1
342	и другое	3	1
343	и новой	1	1
344	на два	1	1
345	но она	3	1
346	мы все	3	1
347	и слишком	1	1
348	не существует	5	1
349	нам и	1	1
350	и от	6	1
351	нам же	1	1
352	мира и	1	1
353	ничего не	1	1
354	человек и	1	1
355	в разных	4	1
356	жизни не	1	1
357	число но	1	1
358	может быть	9	1
359	в третьем	1	1
360	конце концов	1	1
361	во всем	2	1
362	будто бы	2	1
363	и любовь	1	1
364	это слово	1	1
365	вот что	1	1
366	в сознании	3	1
367	к жизни	1	1
368	уже и	3	1
369	жизни в	2	1
370	в будущем	1	1
371	хотели бы	2	1
372	о своем	1	1
373	наконец не	1	1
374	другой стороны	6	1
375	но все	3	1
376	насилия и	1	1
377	есть то	1	1
378	в искусстве	1	1
379	и другие	1	1
380	в своих	1	1
381	это в	1	1
382	в противоположность	1	1
383	но к	1	1
384	прошлом и	1	1
385	во власть	1	1
