N	2gram	Losev_Dial_4	UchenyiS
105	понимая под	2	1
106	гораздо больше	1	1
107	об этом	3	1
108	есть конечно	1	1
109	же как	1	1
110	в этот	2	1
111	человека и	2	1
112	даже не	2	1
113	в виду	9	1
114	сам по	2	1
115	говорить не	1	1
116	входит в	1	1
117	данном случае	1	1
118	или иначе	2	1
119	только при	1	1
120	бы равносильно	1	1
121	и исторические	1	1
122	и прежде	1	1
123	наука о	1	1
124	было и	1	1
125	в пределах	1	1
126	или по	4	1
127	и спорить	1	1
128	еще одно	1	1
129	что для	1	1
130	никогда не	2	1
131	но прежде	1	1
132	этот и	1	1
133	так и	5	1
134	и индивидуального	1	1
135	заданность и	1	1
136	той же	5	1
137	в сфере	5	1
138	до конца	1	1
139	будет конечно	1	1
140	с тем	4	1
141	мы имеем	5	1
142	что никакого	1	1
143	своем месте	1	1
144	такое понимание	2	1
145	и вне	2	1
146	именно этот	2	1
147	а где	1	1
148	ни истории	1	1
149	и эстетической	4	1
150	этих функций	1	1
151	об ее	2	1
152	в словах	3	1
153	и даже	6	1
154	должно быть	2	1
155	и слово	2	1
156	можно сказать	5	1
157	никогда и	2	1
158	стороны в	1	1
159	вообще во	1	1
160	о нем	2	1
161	как на	1	1
162	о том	5	1
163	в ней	5	1
164	и потому	3	1
165	почти не	1	1
166	в котором	2	1
167	только для	3	1
168	научного анализа	1	1
169	и что	9	1
170	она в	3	1
171	и этого	1	1
172	первый план	1	1
173	все его	1	1
174	быть в	5	1
175	из которых	3	1
176	в пользу	2	1
177	чем то	1	1
178	где же	1	1
179	как таковая	2	1
180	он будет	1	1
181	все в	1	1
182	в течение	4	1
183	в той	1	1
184	он может	1	1
185	в данном	3	1
186	что же	2	1
187	не то	1	1
188	бы в	4	1
189	не входит	1	1
190	того что	13	1
191	друг другу	1	1
192	в которых	1	1
193	поскольку он	2	1
194	их в	1	1
195	ней не	1	1
196	тому чтобы	1	1
197	это значит	8	1
198	само же	1	1
199	что этот	2	1
200	нет и	2	1
201	если нет	1	1
202	за пределы	3	1
203	на то	5	1
204	быть не	2	1
205	него не	1	1
206	и вся	1	1
207	его как	2	1
208	отнюдь не	4	1
209	она не	4	1
210	этом случае	1	1
211	нас самих	1	1
212	принципов и	1	1
213	в своем	5	1
214	что с	2	1
215	случайной и	1	1
216	но для	2	1
217	имеет свою	1	1
218	оно по	1	1
219	и все	11	1
220	основного принципа	1	1
221	того как	2	1
222	что только	1	1
223	она должна	2	1
224	тот же	1	1
225	на своем	1	1
226	как таковое	3	1
227	объекта и	1	1
228	много но	1	1
229	самим же	1	1
230	которое мы	1	1
231	в точном	1	1
232	почему в	1	1
233	в которой	2	1
234	о котором	1	1
235	бы ни	2	1
236	это то	1	1
237	не было	2	1
238	так или	1	1
239	находятся в	1	1
240	тогда когда	5	1
241	с одной	1	1
242	в качестве	2	1
243	то о	1	1
244	но именно	2	1
245	без этого	1	1
246	тем более	6	1
247	в известном	1	1
248	объекта в	2	1
249	что по	2	1
250	бы только	4	1
251	уже не	9	1
252	имеем в	1	1
253	тут мы	2	1
254	но также	1	1
255	то и	2	1
256	претендует на	2	1
257	в процессе	1	1
258	в виде	3	1
259	и искусства	1	1
260	и явно	1	1
261	только одним	1	1
262	что было	2	1
263	в нем	5	1
264	связанные с	1	1
265	или просто	1	1
266	но если	5	1
267	он не	1	1
268	не самые	1	1
269	где бы	2	1
270	о которой	1	1
271	сказать что	6	1
272	и истории	3	1
273	будет не	1	1
274	путаницу и	1	1
275	очень часто	1	1
276	одно из	1	1
277	в первую	1	1
278	не значит	2	1
279	равно как	2	1
280	и так	2	1
281	природе и	2	1
282	религии и	1	1
283	в понятии	2	1
284	что под	1	1
285	не для	1	1
286	в свое	2	1
287	есть наука	1	1
288	самое что	2	1
289	время не	1	1
290	на эстетику	1	1
291	но он	1	1
292	но что	5	1
293	само по	4	1
294	этого и	1	1
295	мы можем	3	1
296	всего что	1	1
297	так то	4	1
298	ее в	2	1
299	взятого в	1	1
300	для в	1	1
301	что нельзя	1	1
302	и свое	1	1
303	а это	2	1
304	есть слово	2	1
305	невозможна без	2	1
306	к этому	3	1
307	что в	7	1
308	все что	2	1
309	общего и	1	1
310	бы это	1	1
